Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,Imperial Irrigation District,US-CAL-IID,532.41,650.11,4.63,2.93,eia.gov,false,
2024-01-01 01:00:00,USA,Imperial Irrigation District,US-CAL-IID,543.3,662.62,2.66,0.66,eia.gov,false,
2024-01-01 02:00:00,USA,Imperial Irrigation District,US-CAL-IID,544.27,662.48,2.95,0.12,eia.gov,false,
2024-01-01 03:00:00,USA,Imperial Irrigation District,US-CAL-IID,544.12,662.23,3.04,0.11,eia.gov,false,
2024-01-01 04:00:00,USA,Imperial Irrigation District,US-CAL-IID,543.87,661.77,3.12,0.11,eia.gov,false,
2024-01-01 05:00:00,USA,Imperial Irrigation District,US-CAL-IID,543.82,661.7,3.13,0.1,eia.gov,false,
2024-01-01 06:00:00,USA,Imperial Irrigation District,US-CAL-IID,543.11,660.66,3.32,0.14,eia.gov,false,
2024-01-01 07:00:00,USA,Imperial Irrigation District,US-CAL-IID,547.0,664.85,3.25,0.09,eia.gov,false,
2024-01-01 08:00:00,USA,Imperial Irrigation District,US-CAL-IID,549.36,667.98,2.84,0.07,eia.gov,false,
2024-01-01 09:00:00,USA,Imperial Irrigation District,US-CAL-IID,548.79,667.46,2.78,0.06,eia.gov,false,
2024-01-01 10:00:00,USA,Imperial Irrigation District,US-CAL-IID,551.03,670.73,2.25,0.04,eia.gov,false,
2024-01-01 11:00:00,USA,Imperial Irrigation District,US-CAL-IID,551.33,670.97,2.29,0.03,eia.gov,false,
2024-01-01 12:00:00,USA,Imperial Irrigation District,US-CAL-IID,551.63,671.19,2.32,0.02,eia.gov,false,
2024-01-01 13:00:00,USA,Imperial Irrigation District,US-CAL-IID,551.82,671.1,2.48,0.04,eia.gov,false,
2024-01-01 14:00:00,USA,Imperial Irrigation District,US-CAL-IID,553.21,672.38,2.64,0.09,eia.gov,false,
2024-01-01 15:00:00,USA,Imperial Irrigation District,US-CAL-IID,537.02,654.41,5.04,3.2,eia.gov,false,
2024-01-01 16:00:00,USA,Imperial Irrigation District,US-CAL-IID,464.82,571.91,17.25,17.12,eia.gov,false,
2024-01-01 17:00:00,USA,Imperial Irrigation District,US-CAL-IID,426.98,527.73,23.76,23.76,eia.gov,false,
2024-01-01 18:00:00,USA,Imperial Irrigation District,US-CAL-IID,417.83,517.14,25.15,25.15,eia.gov,false,
2024-01-01 19:00:00,USA,Imperial Irrigation District,US-CAL-IID,396.47,492.06,28.9,28.9,eia.gov,false,
2024-01-01 20:00:00,USA,Imperial Irrigation District,US-CAL-IID,396.4,491.79,29.2,29.2,eia.gov,false,
2024-01-01 21:00:00,USA,Imperial Irrigation District,US-CAL-IID,387.16,480.81,31.01,31.01,eia.gov,false,
2024-01-01 22:00:00,USA,Imperial Irrigation District,US-CAL-IID,394.35,489.31,29.67,29.67,eia.gov,false,
2024-01-01 23:00:00,USA,Imperial Irrigation District,US-CAL-IID,440.27,541.61,21.95,20.57,eia.gov,false,
2024-01-02 00:00:00,USA,Imperial Irrigation District,US-CAL-IID,524.28,639.25,6.63,4.18,eia.gov,false,
2024-01-02 01:00:00,USA,Imperial Irrigation District,US-CAL-IID,545.44,663.86,2.86,0.28,eia.gov,false,
2024-01-02 02:00:00,USA,Imperial Irrigation District,US-CAL-IID,546.69,665.48,2.62,0.21,eia.gov,false,
2024-01-02 03:00:00,USA,Imperial Irrigation District,US-CAL-IID,546.8,665.48,2.69,0.22,eia.gov,false,
2024-01-02 04:00:00,USA,Imperial Irrigation District,US-CAL-IID,545.71,663.83,2.99,0.26,eia.gov,false,
2024-01-02 05:00:00,USA,Imperial Irrigation District,US-CAL-IID,546.49,664.56,2.98,0.18,eia.gov,false,
2024-01-02 06:00:00,USA,Imperial Irrigation District,US-CAL-IID,549.7,667.08,3.39,0.14,eia.gov,false,
2024-01-02 07:00:00,USA,Imperial Irrigation District,US-CAL-IID,552.24,670.92,2.77,0.19,eia.gov,false,
2024-01-02 08:00:00,USA,Imperial Irrigation District,US-CAL-IID,556.19,678.49,1.05,0.27,eia.gov,false,
2024-01-02 09:00:00,USA,Imperial Irrigation District,US-CAL-IID,556.71,679.57,0.81,0.3,eia.gov,false,
2024-01-02 10:00:00,USA,Imperial Irrigation District,US-CAL-IID,556.19,678.84,0.92,0.3,eia.gov,false,
2024-01-02 11:00:00,USA,Imperial Irrigation District,US-CAL-IID,557.53,680.63,0.65,0.21,eia.gov,false,
2024-01-02 12:00:00,USA,Imperial Irrigation District,US-CAL-IID,553.35,673.24,2.19,0.12,eia.gov,false,
2024-01-02 13:00:00,USA,Imperial Irrigation District,US-CAL-IID,556.01,677.31,1.57,0.24,eia.gov,false,
2024-01-02 14:00:00,USA,Imperial Irrigation District,US-CAL-IID,555.93,677.36,1.61,0.39,eia.gov,false,
2024-01-02 15:00:00,USA,Imperial Irrigation District,US-CAL-IID,483.22,592.17,14.41,13.28,eia.gov,false,
2024-01-02 16:00:00,USA,Imperial Irrigation District,US-CAL-IID,372.19,462.75,33.89,33.58,eia.gov,false,
2024-01-02 17:00:00,USA,Imperial Irrigation District,US-CAL-IID,349.9,436.99,37.67,37.67,eia.gov,false,
2024-01-02 18:00:00,USA,Imperial Irrigation District,US-CAL-IID,352.2,439.78,37.12,37.12,eia.gov,false,
2024-01-02 19:00:00,USA,Imperial Irrigation District,US-CAL-IID,352.83,440.5,37.05,37.05,eia.gov,false,
2024-01-02 20:00:00,USA,Imperial Irrigation District,US-CAL-IID,353.37,440.99,37.17,37.17,eia.gov,false,
2024-01-02 21:00:00,USA,Imperial Irrigation District,US-CAL-IID,348.36,435.23,37.87,37.87,eia.gov,false,
2024-01-02 22:00:00,USA,Imperial Irrigation District,US-CAL-IID,353.51,441.43,36.74,36.74,eia.gov,false,
2024-01-02 23:00:00,USA,Imperial Irrigation District,US-CAL-IID,419.53,518.39,25.25,24.78,eia.gov,false,
2024-01-03 00:00:00,USA,Imperial Irrigation District,US-CAL-IID,530.59,647.51,5.93,4.43,eia.gov,false,
2024-01-03 01:00:00,USA,Imperial Irrigation District,US-CAL-IID,551.44,670.71,2.6,0.11,eia.gov,false,
2024-01-03 02:00:00,USA,Imperial Irrigation District,US-CAL-IID,550.08,668.97,2.74,0.08,eia.gov,false,
2024-01-03 03:00:00,USA,Imperial Irrigation District,US-CAL-IID,551.67,670.86,2.58,0.05,eia.gov,false,
2024-01-03 04:00:00,USA,Imperial Irrigation District,US-CAL-IID,550.17,668.48,2.99,0.09,eia.gov,false,
