Datetime (UTC),Average Carbon Intensity gCO₂eq/kWh (direct)
2024-01-01 00:00:00,362.632
2024-01-01 01:00:00,365.37800000000004
2024-01-01 02:00:00,351.334
2024-01-01 03:00:00,354.642
2024-01-01 04:00:00,359.16400000000004
2024-01-01 05:00:00,364.96400000000006
2024-01-01 06:00:00,374.096
2024-01-01 07:00:00,388.392
2024-01-01 08:00:00,394.918
2024-01-01 09:00:00,401.602
2024-01-01 10:00:00,403.88199999999995
2024-01-01 11:00:00,404.156
2024-01-01 12:00:00,401.188
2024-01-01 13:00:00,390.416
2024-01-01 14:00:00,383.93399999999997
2024-01-01 15:00:00,380.448
2024-01-01 16:00:00,326.056
2024-01-01 17:00:00,303.218
2024-01-01 18:00:00,286.476
2024-01-01 19:00:00,280.82800000000003
2024-01-01 20:00:00,280.17600000000004
2024-01-01 21:00:00,270.872
2024-01-01 22:00:00,271.804
2024-01-01 23:00:00,305.852
2024-01-02 00:00:00,368.584
2024-01-02 01:00:00,380.36199999999997
2024-01-02 02:00:00,379.11600000000004
2024-01-02 03:00:00,379.76
2024-01-02 04:00:00,386.79200000000003
2024-01-02 05:00:00,393.15999999999997
2024-01-02 06:00:00,393.90599999999995
2024-01-02 07:00:00,389.576
2024-01-02 08:00:00,408.78400000000005
2024-01-02 09:00:00,406.142
2024-01-02 10:00:00,402.78000000000003
2024-01-02 11:00:00,400.97
2024-01-02 12:00:00,399.098
2024-01-02 13:00:00,400.49
2024-01-02 14:00:00,399.08599999999996
2024-01-02 15:00:00,372.54200000000003
2024-01-02 16:00:00,311.11800000000005
2024-01-02 17:00:00,296.822
2024-01-02 18:00:00,302.088
2024-01-02 19:00:00,299.906
2024-01-02 20:00:00,301.896
2024-01-02 21:00:00,300.986
2024-01-02 22:00:00,310.176
2024-01-02 23:00:00,343.054
2024-01-03 00:00:00,399.014
2024-01-03 01:00:00,398.884
2024-01-03 02:00:00,398.974
2024-01-03 03:00:00,403.15400000000005
2024-01-03 04:00:00,407.254
2024-01-03 05:00:00,412.51800000000003
2024-01-03 06:00:00,409.552
2024-01-03 07:00:00,407.31
2024-01-03 08:00:00,404.222
2024-01-03 09:00:00,402.36600000000004
2024-01-03 10:00:00,402.34800000000007
2024-01-03 11:00:00,399.37399999999997
2024-01-03 12:00:00,393.53000000000003
2024-01-03 13:00:00,389.84600000000006
2024-01-03 14:00:00,385.75
2024-01-03 15:00:00,381.47400000000005
2024-01-03 16:00:00,349.308
2024-01-03 17:00:00,327.83000000000004
2024-01-03 18:00:00,318.464
2024-01-03 19:00:00,334.104
2024-01-03 20:00:00,346.57
2024-01-03 21:00:00,342.884
2024-01-03 22:00:00,334.89
2024-01-03 23:00:00,335.178
2024-01-04 00:00:00,377.84799999999996
2024-01-04 01:00:00,388.168
2024-01-04 02:00:00,388.922
2024-01-04 03:00:00,388.906
2024-01-04 04:00:00,399.598
2024-01-04 05:00:00,399.796
2024-01-04 06:00:00,385.63
2024-01-04 07:00:00,385.886
2024-01-04 08:00:00,392.61
2024-01-04 09:00:00,393.24
2024-01-04 10:00:00,394.128
2024-01-04 11:00:00,392.716
2024-01-04 12:00:00,396.70799999999997
2024-01-04 13:00:00,395.232
2024-01-04 14:00:00,381.738
2024-01-04 15:00:00,372.208
2024-01-04 16:00:00,322.87
2024-01-04 17:00:00,296.806
2024-01-04 18:00:00,293.062
2024-01-04 19:00:00,283.114
2024-01-04 20:00:00,278.812
2024-01-04 21:00:00,271.992
