Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,441.41,491.11,39.87,33.78,spp.org,false,
2024-01-01 01:00:00,USA,Southwest Power Pool,US-CENT-SWPP,431.28,480.52,41.02,34.88,spp.org,false,
2024-01-01 02:00:00,USA,Southwest Power Pool,US-CENT-SWPP,443.2,493.21,39.51,33.31,spp.org,false,
2024-01-01 03:00:00,USA,Southwest Power Pool,US-CENT-SWPP,449.2,500.37,38.35,32.09,spp.org,false,
2024-01-01 04:00:00,USA,Southwest Power Pool,US-CENT-SWPP,473.56,526.97,34.91,28.51,spp.org,false,
2024-01-01 05:00:00,USA,Southwest Power Pool,US-CENT-SWPP,502.66,558.96,30.68,24.16,spp.org,false,
2024-01-01 06:00:00,USA,Southwest Power Pool,US-CENT-SWPP,527.24,585.91,27.18,20.58,spp.org,false,
2024-01-01 07:00:00,USA,Southwest Power Pool,US-CENT-SWPP,537.79,597.54,25.68,19.07,spp.org,false,
2024-01-01 08:00:00,USA,Southwest Power Pool,US-CENT-SWPP,544.52,604.61,24.91,18.26,spp.org,false,
2024-01-01 09:00:00,USA,Southwest Power Pool,US-CENT-SWPP,541.27,601.8,24.96,18.23,spp.org,false,
2024-01-01 10:00:00,USA,Southwest Power Pool,US-CENT-SWPP,532.82,593.77,25.51,18.8,spp.org,false,
2024-01-01 11:00:00,USA,Southwest Power Pool,US-CENT-SWPP,524.72,585.66,26.3,19.69,spp.org,false,
2024-01-01 12:00:00,USA,Southwest Power Pool,US-CENT-SWPP,511.14,571.64,27.86,21.43,spp.org,false,
2024-01-01 13:00:00,USA,Southwest Power Pool,US-CENT-SWPP,524.99,586.83,25.92,19.56,spp.org,false,
2024-01-01 14:00:00,USA,Southwest Power Pool,US-CENT-SWPP,528.55,590.49,25.55,19.33,spp.org,false,
2024-01-01 15:00:00,USA,Southwest Power Pool,US-CENT-SWPP,523.68,585.41,26.16,19.89,spp.org,false,
2024-01-01 16:00:00,USA,Southwest Power Pool,US-CENT-SWPP,533.63,596.13,24.85,18.51,spp.org,false,
