Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,403.35,510.89,9.01,0.0,eia.gov,false,
2024-01-01 01:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,403.05,510.24,9.28,0.0,eia.gov,false,
2024-01-01 02:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,401.4,508.35,9.57,0.0,eia.gov,false,
2024-01-01 03:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,398.05,503.94,10.5,0.0,eia.gov,false,
2024-01-01 04:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,398.6,504.19,10.61,0.0,eia.gov,false,
2024-01-01 05:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,394.97,499.34,11.61,0.0,eia.gov,false,
2024-01-01 06:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,394.99,499.07,11.76,0.0,eia.gov,false,
2024-01-01 07:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,393.65,497.48,12.03,0.0,eia.gov,false,
2024-01-01 08:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,393.63,497.25,12.15,0.0,eia.gov,false,
2024-01-01 09:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,393.83,497.45,12.11,0.0,eia.gov,false,
2024-01-01 10:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,393.85,497.6,12.01,0.0,eia.gov,false,
2024-01-01 11:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,397.33,502.09,11.05,0.0,eia.gov,false,
2024-01-01 12:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,390.33,493.8,12.67,2.22,eia.gov,false,
2024-01-01 13:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,373.63,473.55,16.56,6.51,eia.gov,false,
2024-01-01 14:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,362.94,460.28,19.3,9.63,eia.gov,false,
2024-01-01 15:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,356.11,452.12,20.87,11.27,eia.gov,false,
2024-01-01 16:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,359.68,456.19,20.3,10.99,eia.gov,false,
2024-01-01 17:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,364.58,462.0,19.22,9.84,eia.gov,false,
2024-01-01 18:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,366.38,464.35,18.69,9.25,eia.gov,false,
2024-01-01 19:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,364.34,461.99,19.0,9.47,eia.gov,false,
2024-01-01 20:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,368.09,466.38,18.18,8.42,eia.gov,false,
2024-01-01 21:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,385.23,487.03,14.33,4.88,eia.gov,false,
2024-01-01 22:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,399.65,505.37,10.51,1.41,eia.gov,false,
2024-01-01 23:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,404.01,511.32,9.04,0.0,eia.gov,false,
2024-01-02 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,403.45,510.55,9.28,0.0,eia.gov,false,
2024-01-02 01:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,401.84,508.49,9.67,0.0,eia.gov,false,
2024-01-02 02:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,398.2,504.03,10.43,0.0,eia.gov,false,
2024-01-02 03:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,396.08,500.69,11.37,0.0,eia.gov,false,
2024-01-02 04:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,393.17,496.49,12.35,0.0,eia.gov,false,
2024-01-02 05:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,388.95,491.06,13.39,0.0,eia.gov,false,
2024-01-02 06:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,387.38,488.6,14.06,0.0,eia.gov,false,
2024-01-02 07:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,385.94,486.54,14.53,0.0,eia.gov,false,
2024-01-02 08:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,385.22,485.81,14.58,0.0,eia.gov,false,
2024-01-02 09:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,386.82,487.96,14.14,0.0,eia.gov,false,
