Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,443.91,560.54,3.07,0.0,eia.gov,false,
2024-01-01 01:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,445.94,562.74,2.93,0.0,eia.gov,false,
2024-01-01 02:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,444.88,561.39,3.19,0.0,eia.gov,false,
2024-01-01 03:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,443.79,559.98,3.47,0.0,eia.gov,false,
2024-01-01 04:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,442.92,558.91,3.68,0.0,eia.gov,false,
2024-01-01 05:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,442.0,557.65,3.99,0.0,eia.gov,false,
2024-01-01 06:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,444.47,560.39,3.76,0.0,eia.gov,false,
2024-01-01 07:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,444.33,560.17,3.83,0.0,eia.gov,false,
2024-01-01 08:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,442.62,558.18,4.09,0.0,eia.gov,false,
2024-01-01 09:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,442.98,558.6,4.03,0.0,eia.gov,false,
2024-01-01 10:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,439.91,555.03,4.47,0.0,eia.gov,false,
2024-01-01 11:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,437.87,553.0,4.45,0.0,eia.gov,false,
2024-01-01 12:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,432.73,546.65,5.78,1.62,eia.gov,false,
2024-01-01 13:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,442.51,557.57,4.83,2.2,eia.gov,false,
2024-01-01 14:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,432.08,545.32,6.62,3.63,eia.gov,false,
2024-01-01 15:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,425.12,537.27,7.78,4.4,eia.gov,false,
2024-01-01 16:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,428.25,540.95,7.23,4.25,eia.gov,false,
2024-01-01 17:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,431.58,544.92,6.59,4.01,eia.gov,false,
2024-01-01 18:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,436.03,550.22,5.76,3.37,eia.gov,false,
2024-01-01 19:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,434.96,549.09,5.78,3.34,eia.gov,false,
2024-01-01 20:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,439.43,554.32,4.96,2.95,eia.gov,false,
2024-01-01 21:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,441.45,556.96,4.25,1.97,eia.gov,false,
2024-01-01 22:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,441.3,557.27,3.73,0.98,eia.gov,false,
2024-01-01 23:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,447.94,565.13,2.58,0.0,eia.gov,false,
2024-01-02 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,446.05,562.91,2.86,0.0,eia.gov,false,
2024-01-02 01:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,447.26,564.2,2.8,0.0,eia.gov,false,
2024-01-02 02:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,445.73,562.35,3.1,0.0,eia.gov,false,
2024-01-02 03:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,442.3,558.31,3.66,0.0,eia.gov,false,
2024-01-02 04:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,443.09,559.11,3.65,0.0,eia.gov,false,
