Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,500.13,615.54,0.04,0.0,eia.gov,false,
2024-01-01 01:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,496.84,612.4,0.03,0.0,eia.gov,false,
2024-01-01 02:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,494.44,610.14,0.0,0.0,eia.gov,false,
2024-01-01 03:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,498.13,613.68,0.0,0.0,eia.gov,false,
2024-01-01 04:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,495.21,610.88,0.0,0.0,eia.gov,false,
2024-01-01 05:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,483.1,599.22,0.03,0.0,eia.gov,false,
2024-01-01 06:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,452.92,570.22,0.04,0.0,eia.gov,false,
2024-01-01 07:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,444.56,562.18,0.05,0.0,eia.gov,false,
2024-01-01 08:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,446.94,564.47,0.05,0.0,eia.gov,false,
2024-01-01 09:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,465.05,581.89,0.03,0.0,eia.gov,false,
2024-01-01 10:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,491.01,606.76,0.05,0.0,eia.gov,false,
2024-01-01 11:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,495.34,610.86,0.07,0.0,eia.gov,false,
2024-01-01 12:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,488.51,604.27,0.11,0.06,eia.gov,false,
2024-01-01 13:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,485.28,600.74,0.5,0.45,eia.gov,false,
2024-01-01 14:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,489.78,604.38,1.15,1.09,eia.gov,false,
2024-01-01 15:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,496.42,610.91,1.03,0.99,eia.gov,false,
2024-01-01 16:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,502.55,616.47,1.33,1.28,eia.gov,false,
2024-01-01 17:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,481.61,596.26,1.44,1.39,eia.gov,false,
2024-01-01 18:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,461.19,576.52,1.56,1.5,eia.gov,false,
2024-01-01 19:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,460.84,576.37,1.39,1.34,eia.gov,false,
2024-01-01 20:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,464.45,579.8,1.41,1.35,eia.gov,false,
2024-01-01 21:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,484.19,599.19,1.0,0.91,eia.gov,false,
2024-01-01 22:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,490.72,606.4,0.14,0.09,eia.gov,false,
2024-01-01 23:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,487.33,603.21,0.06,0.0,eia.gov,false,
2024-01-02 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,508.38,623.49,0.02,0.0,eia.gov,false,
2024-01-02 01:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,505.4,620.64,0.01,0.0,eia.gov,false,
2024-01-02 02:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,502.05,617.39,0.06,0.0,eia.gov,false,
2024-01-02 03:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,507.46,622.52,0.12,0.01,eia.gov,false,
2024-01-02 04:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,500.37,615.67,0.16,0.01,eia.gov,false,
2024-01-02 05:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,475.56,591.75,0.21,0.01,eia.gov,false,
2024-01-02 06:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,462.92,579.6,0.23,0.01,eia.gov,false,
2024-01-02 07:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,463.34,580.01,0.22,0.01,eia.gov,false,
2024-01-02 08:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,462.38,579.1,0.22,0.01,eia.gov,false,
2024-01-02 09:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,458.81,575.77,0.14,0.01,eia.gov,false,
2024-01-02 10:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,466.09,582.81,0.09,0.01,eia.gov,false,
2024-01-02 11:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,480.38,596.55,0.06,0.0,eia.gov,false,
2024-01-02 12:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,489.28,605.19,0.0,0.0,eia.gov,false,
2024-01-02 13:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,524.41,638.91,0.0,0.0,eia.gov,false,
2024-01-02 14:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,486.93,601.87,0.93,0.89,eia.gov,false,
2024-01-02 15:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,477.19,592.1,1.31,1.26,eia.gov,false,
