Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,Avista Corporation,US-NW-AVA,182.71,237.93,63.44,61.14,eia.gov,false,
2024-01-01 01:00:00,USA,Avista Corporation,US-NW-AVA,177.16,230.94,64.79,62.8,eia.gov,false,
2024-01-01 02:00:00,USA,Avista Corporation,US-NW-AVA,185.5,239.98,63.46,61.46,eia.gov,false,
2024-01-01 03:00:00,USA,Avista Corporation,US-NW-AVA,208.32,264.51,60.03,57.44,eia.gov,false,
2024-01-01 04:00:00,USA,Avista Corporation,US-NW-AVA,220.02,275.56,59.15,55.4,eia.gov,false,
2024-01-01 05:00:00,USA,Avista Corporation,US-NW-AVA,219.68,273.97,59.9,55.97,eia.gov,false,
2024-01-01 06:00:00,USA,Avista Corporation,US-NW-AVA,256.68,317.41,52.32,48.58,eia.gov,false,
2024-01-01 07:00:00,USA,Avista Corporation,US-NW-AVA,270.46,333.55,49.53,45.88,eia.gov,false,
2024-01-01 08:00:00,USA,Avista Corporation,US-NW-AVA,287.61,353.02,46.55,43.25,eia.gov,false,
2024-01-01 09:00:00,USA,Avista Corporation,US-NW-AVA,295.9,362.06,45.35,42.2,eia.gov,false,
2024-01-01 10:00:00,USA,Avista Corporation,US-NW-AVA,297.69,364.63,44.7,41.51,eia.gov,false,
2024-01-01 11:00:00,USA,Avista Corporation,US-NW-AVA,297.92,365.07,44.64,41.37,eia.gov,false,
2024-01-01 12:00:00,USA,Avista Corporation,US-NW-AVA,291.9,357.88,45.86,42.67,eia.gov,false,
2024-01-01 13:00:00,USA,Avista Corporation,US-NW-AVA,272.63,336.65,48.9,45.72,eia.gov,false,
2024-01-01 14:00:00,USA,Avista Corporation,US-NW-AVA,252.91,314.96,52.08,49.31,eia.gov,false,
2024-01-01 15:00:00,USA,Avista Corporation,US-NW-AVA,250.66,312.39,52.67,50.24,eia.gov,false,
2024-01-01 16:00:00,USA,Avista Corporation,US-NW-AVA,255.01,317.69,51.91,49.21,eia.gov,false,
2024-01-01 17:00:00,USA,Avista Corporation,US-NW-AVA,255.76,318.93,51.78,49.07,eia.gov,false,
2024-01-01 18:00:00,USA,Avista Corporation,US-NW-AVA,243.02,304.83,53.76,51.17,eia.gov,false,
2024-01-01 19:00:00,USA,Avista Corporation,US-NW-AVA,237.94,299.24,54.46,51.67,eia.gov,false,
2024-01-01 20:00:00,USA,Avista Corporation,US-NW-AVA,235.75,296.49,55.0,51.95,eia.gov,false,
2024-01-01 21:00:00,USA,Avista Corporation,US-NW-AVA,231.79,291.59,55.85,52.31,eia.gov,false,
2024-01-01 22:00:00,USA,Avista Corporation,US-NW-AVA,230.68,290.87,55.74,52.36,eia.gov,false,
2024-01-01 23:00:00,USA,Avista Corporation,US-NW-AVA,231.41,292.24,55.31,51.93,eia.gov,false,
2024-01-02 00:00:00,USA,Avista Corporation,US-NW-AVA,195.63,253.08,60.81,58.25,eia.gov,false,
2024-01-02 01:00:00,USA,Avista Corporation,US-NW-AVA,194.43,251.73,61.1,58.71,eia.gov,false,
2024-01-02 02:00:00,USA,Avista Corporation,US-NW-AVA,197.32,255.12,60.55,58.23,eia.gov,false,
2024-01-02 03:00:00,USA,Avista Corporation,US-NW-AVA,203.54,261.91,59.55,57.25,eia.gov,false,
2024-01-02 04:00:00,USA,Avista Corporation,US-NW-AVA,214.35,273.7,57.8,54.76,eia.gov,false,
2024-01-02 05:00:00,USA,Avista Corporation,US-NW-AVA,234.21,295.77,54.52,51.13,eia.gov,false,
2024-01-02 06:00:00,USA,Avista Corporation,US-NW-AVA,263.07,328.13,49.64,46.12,eia.gov,false,
2024-01-02 07:00:00,USA,Avista Corporation,US-NW-AVA,282.42,349.57,46.54,43.19,eia.gov,false,
2024-01-02 08:00:00,USA,Avista Corporation,US-NW-AVA,296.47,366.2,43.57,39.96,eia.gov,false,
2024-01-02 09:00:00,USA,Avista Corporation,US-NW-AVA,295.03,364.76,43.61,40.05,eia.gov,false,
2024-01-02 10:00:00,USA,Avista Corporation,US-NW-AVA,299.93,369.35,43.3,39.79,eia.gov,false,
2024-01-02 11:00:00,USA,Avista Corporation,US-NW-AVA,300.69,370.44,42.98,39.49,eia.gov,false,
2024-01-02 12:00:00,USA,Avista Corporation,US-NW-AVA,288.7,357.5,44.7,41.41,eia.gov,false,
2024-01-02 13:00:00,USA,Avista Corporation,US-NW-AVA,232.35,295.09,53.82,51.29,eia.gov,false,
2024-01-02 14:00:00,USA,Avista Corporation,US-NW-AVA,196.26,256.01,59.3,57.58,eia.gov,false,
2024-01-02 15:00:00,USA,Avista Corporation,US-NW-AVA,199.14,257.5,59.74,57.66,eia.gov,false,
2024-01-02 16:00:00,USA,Avista Corporation,US-NW-AVA,221.84,280.89,56.97,53.95,eia.gov,false,
2024-01-02 17:00:00,USA,Avista Corporation,US-NW-AVA,219.23,277.79,57.63,55.31,eia.gov,false,
2024-01-02 18:00:00,USA,Avista Corporation,US-NW-AVA,232.91,292.47,55.86,53.62,eia.gov,false,
2024-01-02 19:00:00,USA,Avista Corporation,US-NW-AVA,236.12,296.3,55.27,53.19,eia.gov,false,
2024-01-02 20:00:00,USA,Avista Corporation,US-NW-AVA,235.56,295.76,55.27,53.22,eia.gov,false,
2024-01-02 21:00:00,USA,Avista Corporation,US-NW-AVA,248.85,310.39,53.26,50.81,eia.gov,false,
2024-01-02 22:00:00,USA,Avista Corporation,US-NW-AVA,255.95,319.04,51.79,49.19,eia.gov,false,
2024-01-02 23:00:00,USA,Avista Corporation,US-NW-AVA,229.14,290.71,55.16,52.14,eia.gov,false,
2024-01-03 00:00:00,USA,Avista Corporation,US-NW-AVA,178.51,235.65,62.83,60.65,eia.gov,false,
2024-01-03 01:00:00,USA,Avista Corporation,US-NW-AVA,167.98,223.74,64.74,62.77,eia.gov,false,
2024-01-03 02:00:00,USA,Avista Corporation,US-NW-AVA,179.27,237.03,62.43,60.0,eia.gov,false,
2024-01-03 03:00:00,USA,Avista Corporation,US-NW-AVA,199.38,259.49,59.01,56.37,eia.gov,false,
2024-01-03 04:00:00,USA,Avista Corporation,US-NW-AVA,208.88,269.89,57.54,54.74,eia.gov,false,
2024-01-03 05:00:00,USA,Avista Corporation,US-NW-AVA,221.3,282.53,56.23,53.62,eia.gov,false,
2024-01-03 06:00:00,USA,Avista Corporation,US-NW-AVA,245.52,309.66,52.02,49.05,eia.gov,false,
