Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-01 01:00:00,USA,Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-01 02:00:00,USA,Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-01 03:00:00,USA,Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-01 04:00:00,USA,Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-01 05:00:00,USA,Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-01 06:00:00,USA,Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-01 07:00:00,USA,Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-01 08:00:00,USA,Chelan County,US-NW-CHPD,2.56,26.73,99.6,99.37,eia.gov,false,
2024-01-01 09:00:00,USA,Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-01 10:00:00,USA,Chelan County,US-NW-CHPD,2.9,27.13,99.54,99.29,eia.gov,false,
2024-01-01 11:00:00,USA,Chelan County,US-NW-CHPD,0.28,24.28,99.96,99.93,eia.gov,false,
2024-01-01 12:00:00,USA,Chelan County,US-NW-CHPD,0.73,24.79,99.88,99.82,eia.gov,false,
2024-01-01 13:00:00,USA,Chelan County,US-NW-CHPD,4.39,28.76,99.29,98.94,eia.gov,false,
2024-01-01 14:00:00,USA,Chelan County,US-NW-CHPD,4.3,28.67,99.3,98.97,eia.gov,false,
2024-01-01 15:00:00,USA,Chelan County,US-NW-CHPD,2.25,26.48,99.61,99.5,eia.gov,false,
2024-01-01 16:00:00,USA,Chelan County,US-NW-CHPD,0.66,24.75,99.88,99.87,eia.gov,false,
2024-01-01 17:00:00,USA,Chelan County,US-NW-CHPD,1.25,25.44,99.77,99.75,eia.gov,false,
2024-01-01 18:00:00,USA,Chelan County,US-NW-CHPD,0.57,24.66,99.89,99.89,eia.gov,false,
2024-01-01 19:00:00,USA,Chelan County,US-NW-CHPD,0.55,24.63,99.89,99.89,eia.gov,false,
2024-01-01 20:00:00,USA,Chelan County,US-NW-CHPD,0.55,24.64,99.89,99.89,eia.gov,false,
2024-01-01 21:00:00,USA,Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-01 22:00:00,USA,Chelan County,US-NW-CHPD,0.27,24.32,99.95,99.94,eia.gov,false,
2024-01-01 23:00:00,USA,Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-02 00:00:00,USA,Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-02 01:00:00,USA,Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-02 02:00:00,USA,Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-02 03:00:00,USA,Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-02 04:00:00,USA,Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-02 05:00:00,USA,Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-02 06:00:00,USA,Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-02 07:00:00,USA,Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-02 08:00:00,USA,Chelan County,US-NW-CHPD,3.82,28.22,99.35,99.0,eia.gov,false,
2024-01-02 09:00:00,USA,Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-02 10:00:00,USA,Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,false,
