Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,Northwestern Energy,US-NW-NWMT,577.91,593.65,42.41,42.41,eia.gov,false,
2024-01-01 01:00:00,USA,Northwestern Energy,US-NW-NWMT,577.08,592.82,42.49,42.49,eia.gov,false,
2024-01-01 02:00:00,USA,Northwestern Energy,US-NW-NWMT,557.18,572.86,44.47,44.47,eia.gov,false,
2024-01-01 03:00:00,USA,Northwestern Energy,US-NW-NWMT,545.68,561.33,45.61,45.61,eia.gov,false,
2024-01-01 04:00:00,USA,Northwestern Energy,US-NW-NWMT,550.98,565.11,45.65,45.65,eia.gov,false,
2024-01-01 05:00:00,USA,Northwestern Energy,US-NW-NWMT,540.96,554.79,46.76,46.76,eia.gov,false,
2024-01-01 06:00:00,USA,Northwestern Energy,US-NW-NWMT,539.76,553.66,46.86,46.86,eia.gov,false,
2024-01-01 07:00:00,USA,Northwestern Energy,US-NW-NWMT,528.52,542.31,47.98,47.98,eia.gov,false,
2024-01-01 08:00:00,USA,Northwestern Energy,US-NW-NWMT,527.98,542.31,47.86,47.84,eia.gov,false,
2024-01-01 09:00:00,USA,Northwestern Energy,US-NW-NWMT,512.58,527.19,49.24,49.21,eia.gov,false,
2024-01-01 10:00:00,USA,Northwestern Energy,US-NW-NWMT,516.95,532.42,48.53,48.49,eia.gov,false,
2024-01-01 11:00:00,USA,Northwestern Energy,US-NW-NWMT,532.5,548.25,46.96,46.91,eia.gov,false,
2024-01-01 12:00:00,USA,Northwestern Energy,US-NW-NWMT,510.19,525.22,49.33,49.29,eia.gov,false,
2024-01-01 13:00:00,USA,Northwestern Energy,US-NW-NWMT,501.35,516.51,50.11,50.1,eia.gov,false,
2024-01-01 14:00:00,USA,Northwestern Energy,US-NW-NWMT,496.54,511.63,50.54,50.53,eia.gov,false,
2024-01-01 15:00:00,USA,Northwestern Energy,US-NW-NWMT,501.69,516.35,50.3,50.27,eia.gov,false,
2024-01-01 16:00:00,USA,Northwestern Energy,US-NW-NWMT,521.22,536.91,48.18,48.1,eia.gov,false,
2024-01-01 17:00:00,USA,Northwestern Energy,US-NW-NWMT,537.44,554.66,46.24,46.1,eia.gov,false,
2024-01-01 18:00:00,USA,Northwestern Energy,US-NW-NWMT,547.42,563.74,45.52,45.4,eia.gov,false,
2024-01-01 19:00:00,USA,Northwestern Energy,US-NW-NWMT,544.4,560.22,45.93,45.82,eia.gov,false,
2024-01-01 20:00:00,USA,Northwestern Energy,US-NW-NWMT,538.76,554.04,46.61,46.51,eia.gov,false,
2024-01-01 21:00:00,USA,Northwestern Energy,US-NW-NWMT,541.05,555.68,46.56,46.51,eia.gov,false,
2024-01-01 22:00:00,USA,Northwestern Energy,US-NW-NWMT,556.04,571.29,44.87,44.77,eia.gov,false,
2024-01-01 23:00:00,USA,Northwestern Energy,US-NW-NWMT,578.62,595.39,42.06,41.95,eia.gov,false,
2024-01-02 00:00:00,USA,Northwestern Energy,US-NW-NWMT,599.78,619.1,38.96,38.95,eia.gov,false,
2024-01-02 01:00:00,USA,Northwestern Energy,US-NW-NWMT,634.33,654.74,35.22,35.2,eia.gov,false,
2024-01-02 02:00:00,USA,Northwestern Energy,US-NW-NWMT,633.7,654.47,35.02,35.0,eia.gov,false,
2024-01-02 03:00:00,USA,Northwestern Energy,US-NW-NWMT,617.43,637.92,36.66,36.65,eia.gov,false,
2024-01-02 04:00:00,USA,Northwestern Energy,US-NW-NWMT,640.68,661.12,34.53,34.53,eia.gov,false,
