Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,Southern Company Services,US-SE-SOCO,362.91,447.31,27.29,3.21,eia.gov,false,
2024-01-01 01:00:00,USA,Southern Company Services,US-SE-SOCO,362.02,446.54,27.24,3.02,eia.gov,false,
2024-01-01 02:00:00,USA,Southern Company Services,US-SE-SOCO,352.23,436.86,27.81,3.34,eia.gov,false,
2024-01-01 03:00:00,USA,Southern Company Services,US-SE-SOCO,345.34,430.26,28.02,3.27,eia.gov,false,
2024-01-01 04:00:00,USA,Southern Company Services,US-SE-SOCO,344.88,430.07,27.8,2.46,eia.gov,false,
2024-01-01 05:00:00,USA,Southern Company Services,US-SE-SOCO,346.85,432.21,27.5,1.71,eia.gov,false,
2024-01-01 06:00:00,USA,Southern Company Services,US-SE-SOCO,348.4,433.54,27.56,1.79,eia.gov,false,
2024-01-01 07:00:00,USA,Southern Company Services,US-SE-SOCO,351.89,437.03,27.35,1.85,eia.gov,false,
2024-01-01 08:00:00,USA,Southern Company Services,US-SE-SOCO,353.13,438.48,27.13,1.76,eia.gov,false,
2024-01-01 09:00:00,USA,Southern Company Services,US-SE-SOCO,349.44,435.05,27.18,1.72,eia.gov,false,
2024-01-01 10:00:00,USA,Southern Company Services,US-SE-SOCO,346.91,432.38,27.45,1.9,eia.gov,false,
2024-01-01 11:00:00,USA,Southern Company Services,US-SE-SOCO,344.33,428.84,28.42,3.71,eia.gov,false,
2024-01-01 12:00:00,USA,Southern Company Services,US-SE-SOCO,347.12,431.1,28.7,4.9,eia.gov,false,
2024-01-01 13:00:00,USA,Southern Company Services,US-SE-SOCO,330.47,413.1,30.89,7.13,eia.gov,false,
2024-01-01 14:00:00,USA,Southern Company Services,US-SE-SOCO,310.74,390.22,34.67,10.76,eia.gov,false,
2024-01-01 15:00:00,USA,Southern Company Services,US-SE-SOCO,301.15,377.42,37.75,12.75,eia.gov,false,
2024-01-01 16:00:00,USA,Southern Company Services,US-SE-SOCO,301.89,378.32,37.59,12.64,eia.gov,false,
2024-01-01 17:00:00,USA,Southern Company Services,US-SE-SOCO,302.24,378.12,37.95,12.47,eia.gov,false,
2024-01-01 18:00:00,USA,Southern Company Services,US-SE-SOCO,301.89,377.39,38.3,12.49,eia.gov,false,
2024-01-01 19:00:00,USA,Southern Company Services,US-SE-SOCO,303.99,379.57,38.02,11.9,eia.gov,false,
2024-01-01 20:00:00,USA,Southern Company Services,US-SE-SOCO,308.95,385.31,37.03,10.57,eia.gov,false,
2024-01-01 21:00:00,USA,Southern Company Services,US-SE-SOCO,325.72,406.25,32.69,6.5,eia.gov,false,
2024-01-01 22:00:00,USA,Southern Company Services,US-SE-SOCO,350.23,434.81,27.92,2.11,eia.gov,false,
2024-01-01 23:00:00,USA,Southern Company Services,US-SE-SOCO,368.52,453.09,26.79,2.47,eia.gov,false,
2024-01-02 00:00:00,USA,Southern Company Services,US-SE-SOCO,370.92,455.39,26.75,3.34,eia.gov,false,
2024-01-02 01:00:00,USA,Southern Company Services,US-SE-SOCO,364.93,449.55,27.04,3.43,eia.gov,false,
2024-01-02 02:00:00,USA,Southern Company Services,US-SE-SOCO,368.47,453.8,26.3,3.15,eia.gov,false,
2024-01-02 03:00:00,USA,Southern Company Services,US-SE-SOCO,376.89,461.96,25.88,2.18,eia.gov,false,
2024-01-02 04:00:00,USA,Southern Company Services,US-SE-SOCO,387.15,471.82,25.46,1.26,eia.gov,false,
2024-01-02 05:00:00,USA,Southern Company Services,US-SE-SOCO,386.65,470.81,25.86,1.28,eia.gov,false,
2024-01-02 06:00:00,USA,Southern Company Services,US-SE-SOCO,386.81,471.48,25.46,0.97,eia.gov,false,
2024-01-02 07:00:00,USA,Southern Company Services,US-SE-SOCO,386.58,471.65,25.18,0.89,eia.gov,false,
2024-01-02 08:00:00,USA,Southern Company Services,US-SE-SOCO,382.22,468.15,24.85,0.88,eia.gov,false,
2024-01-02 09:00:00,USA,Southern Company Services,US-SE-SOCO,378.23,465.03,24.53,1.45,eia.gov,false,
2024-01-02 10:00:00,USA,Southern Company Services,US-SE-SOCO,361.6,446.69,26.97,4.86,eia.gov,false,
2024-01-02 11:00:00,USA,Southern Company Services,US-SE-SOCO,357.56,442.04,27.84,7.25,eia.gov,false,
2024-01-02 12:00:00,USA,Southern Company Services,US-SE-SOCO,357.41,441.28,28.41,8.66,eia.gov,false,
2024-01-02 13:00:00,USA,Southern Company Services,US-SE-SOCO,349.47,431.74,30.25,11.05,eia.gov,false,
