Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,443.33,501.52,40.69,39.03,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 01:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,444.57,505.02,39.06,37.98,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 02:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,437.3,497.58,39.57,38.41,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 03:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,431.58,490.71,40.45,39.04,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 04:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,431.15,488.27,41.22,39.41,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 05:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,426.69,482.6,41.93,39.53,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 06:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,426.43,480.91,42.41,39.5,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 07:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,417.27,471.08,43.47,40.27,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 08:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,409.94,462.52,44.65,41.18,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 09:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,410.65,463.93,44.37,41.39,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 10:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,419.06,472.95,43.37,40.26,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 11:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,431.44,485.78,42.02,38.57,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 12:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,429.02,483.82,42.06,38.78,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 13:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,431.53,487.09,41.82,39.1,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 14:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,435.16,489.56,42.3,39.72,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 15:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,369.22,416.14,53.32,52.13,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 16:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,334.61,379.53,57.66,55.36,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 17:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,310.34,353.74,60.5,58.59,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 18:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,281.62,321.98,64.38,63.06,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 19:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,253.1,290.91,67.98,67.22,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 20:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,243.93,281.32,68.86,68.14,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 21:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,245.14,283.08,68.31,67.17,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 22:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,260.39,298.35,66.7,64.85,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 23:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,359.98,408.09,52.6,50.17,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-02 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,445.59,503.09,40.9,40.06,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
