sim_time,sim_datetime,grid,intensity_gco2kwh,cumulative_carbon_gco2,migrations_so_far,active_pod
1577836800,2020-01-01 00:00,ISNE,1164.8,1164.8,0,carbon-pod
1577840400,2020-01-01 01:00,SCL,0.0,1747.1,1,carbon-pod-1
1577844000,2020-01-01 02:00,SCL,0.0,1747.1,1,carbon-pod-1
1577847600,2020-01-01 03:00,SCL,0.0,1747.1,1,carbon-pod-1
1577851200,2020-01-01 04:00,SCL,0.0,1747.1,1,carbon-pod-1
1577854800,2020-01-01 05:00,SCL,0.0,1747.1,1,carbon-pod-1
1577858400,2020-01-01 06:00,SCL,0.0,1747.1,1,carbon-pod-1
1577862000,2020-01-01 07:00,SCL,0.0,1747.1,1,carbon-pod-1
1577865600,2020-01-01 08:00,SCL,0.0,1747.1,1,carbon-pod-1
1577869200,2020-01-01 09:00,SCL,0.0,1747.1,1,carbon-pod-1
1577872800,2020-01-01 10:00,SCL,0.0,1747.1,1,carbon-pod-1
1577876400,2020-01-01 11:00,SCL,0.0,1747.1,1,carbon-pod-1
1577880000,2020-01-01 12:00,SCL,0.0,1747.1,1,carbon-pod-1
1577883600,2020-01-01 13:00,SCL,0.0,1747.1,1,carbon-pod-1
1577887200,2020-01-01 14:00,SCL,0.0,1747.1,1,carbon-pod-1
1577890800,2020-01-01 15:00,SCL,0.0,1747.1,1,carbon-pod-1
1577894400,2020-01-01 16:00,SCL,0.0,1747.1,1,carbon-pod-1
1577898000,2020-01-01 17:00,SCL,0.0,1747.1,1,carbon-pod-1
1577901600,2020-01-01 18:00,SCL,0.0,1747.1,1,carbon-pod-1
1577905200,2020-01-01 19:00,SCL,0.0,1747.1,1,carbon-pod-1
1577908800,2020-01-01 20:00,SCL,0.0,1747.1,1,carbon-pod-1
1577912400,2020-01-01 21:00,SCL,0.0,1747.1,1,carbon-pod-1
1577916000,2020-01-01 22:00,SCL,0.0,1747.1,1,carbon-pod-1
1577919600,2020-01-01 23:00,SCL,0.0,1747.1,1,carbon-pod-1
1577923200,2020-01-02 00:00,SCL,0.0,1747.1,1,carbon-pod-1
1577926800,2020-01-02 01:00,SCL,0.0,1747.1,1,carbon-pod-1
1577930400,2020-01-02 02:00,SCL,0.0,1747.1,1,carbon-pod-1
1577934000,2020-01-02 03:00,SCL,0.0,1747.1,1,carbon-pod-1
1577937600,2020-01-02 04:00,SCL,0.0,1747.1,1,carbon-pod-1
1577941200,2020-01-02 05:00,SCL,0.0,1747.1,1,carbon-pod-1
1577944800,2020-01-02 06:00,SCL,0.0,1747.1,1,carbon-pod-1
1577948400,2020-01-02 07:00,SCL,0.0,1747.1,1,carbon-pod-1
1577952000,2020-01-02 08:00,SCL,0.0,1747.1,1,carbon-pod-1
1577955600,2020-01-02 09:00,SCL,0.0,1747.1,1,carbon-pod-1
1577959200,2020-01-02 10:00,SCL,0.0,1747.1,1,carbon-pod-1
1577962800,2020-01-02 11:00,SCL,0.0,1747.1,1,carbon-pod-1
1577966400,2020-01-02 12:00,SCL,0.0,1747.1,1,carbon-pod-1
1577970000,2020-01-02 13:00,SCL,0.0,1747.1,1,carbon-pod-1
1577973600,2020-01-02 14:00,SCL,0.0,1747.1,1,carbon-pod-1
1577977200,2020-01-02 15:00,SCL,0.0,1747.1,1,carbon-pod-1
1577980800,2020-01-02 16:00,SCL,0.0,1747.1,1,carbon-pod-1
1577984400,2020-01-02 17:00,SCL,0.0,1747.1,1,carbon-pod-1
1577988000,2020-01-02 18:00,SCL,0.0,1747.1,1,carbon-pod-1
1577991600,2020-01-02 19:00,SCL,0.0,1747.1,1,carbon-pod-1
1577995200,2020-01-02 20:00,SCL,0.0,1747.1,1,carbon-pod-1
1577998800,2020-01-02 21:00,SCL,0.0,1747.1,1,carbon-pod-1
1578002400,2020-01-02 22:00,SCL,0.0,1747.1,1,carbon-pod-1
1578006000,2020-01-02 23:00,SCL,0.0,1747.1,1,carbon-pod-1
1578009600,2020-01-03 00:00,SCL,0.0,1747.1,1,carbon-pod-1
