Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,229.21,306.29,43.88,41.76,eia.gov,false,
2024-01-01 01:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,218.59,292.3,46.81,45.03,eia.gov,false,
2024-01-01 02:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,191.72,259.66,53.26,51.84,eia.gov,false,
2024-01-01 03:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,214.62,287.43,47.9,46.02,eia.gov,false,
2024-01-01 04:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,224.36,299.65,45.43,43.43,eia.gov,false,
2024-01-01 05:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,233.78,311.63,42.97,40.86,eia.gov,false,
2024-01-01 06:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,260.21,345.22,36.19,33.48,eia.gov,false,
2024-01-01 07:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,283.66,375.01,30.16,26.69,eia.gov,false,
2024-01-01 08:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,285.12,376.5,29.75,27.07,eia.gov,false,
2024-01-01 09:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,312.81,411.02,23.03,19.24,eia.gov,false,
2024-01-01 10:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,311.48,409.61,23.4,19.38,eia.gov,false,
2024-01-01 11:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,318.82,418.66,21.72,17.21,eia.gov,false,
2024-01-01 12:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,305.02,401.53,25.13,20.74,eia.gov,false,
2024-01-01 13:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,271.7,360.28,33.04,30.35,eia.gov,false,
2024-01-01 14:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,259.29,344.92,35.86,34.09,eia.gov,false,
