Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,230.43,286.46,58.57,2.83,eia.gov,false,
2024-01-01 01:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,228.13,285.49,57.66,2.21,eia.gov,false,
2024-01-01 02:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,218.76,277.08,56.95,2.19,eia.gov,false,
2024-01-01 03:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,218.63,277.3,56.75,2.06,eia.gov,false,
2024-01-01 04:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,214.35,271.95,57.7,2.15,eia.gov,false,
2024-01-01 05:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,212.19,269.29,58.21,1.98,eia.gov,false,
2024-01-01 06:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,213.07,270.09,58.33,1.92,eia.gov,false,
2024-01-01 07:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,214.84,271.47,58.73,1.91,eia.gov,false,
2024-01-01 08:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,214.65,271.29,58.85,1.74,eia.gov,false,
2024-01-01 09:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,228.82,289.44,55.24,1.51,eia.gov,false,
2024-01-01 10:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,230.49,291.36,55.04,1.7,eia.gov,false,
2024-01-01 11:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,231.51,292.27,55.01,1.96,eia.gov,false,
2024-01-01 12:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,227.16,287.07,55.8,2.87,eia.gov,false,
2024-01-01 13:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,214.26,272.21,58.24,6.88,eia.gov,false,
2024-01-01 14:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,194.34,249.64,61.77,12.02,eia.gov,false,
2024-01-01 15:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,162.9,210.99,69.01,17.05,eia.gov,false,
2024-01-01 16:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,143.6,187.35,73.43,20.11,eia.gov,false,
2024-01-01 17:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,138.41,181.13,74.39,20.41,eia.gov,false,
2024-01-01 18:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,135.75,176.91,75.48,18.49,eia.gov,false,
2024-01-01 19:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,149.11,192.57,72.65,14.51,eia.gov,false,
2024-01-01 20:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,172.86,220.86,67.8,8.92,eia.gov,false,
2024-01-01 21:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,216.05,274.26,57.63,3.53,eia.gov,false,
2024-01-01 22:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,230.44,289.98,55.84,2.48,eia.gov,false,
2024-01-01 23:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,237.06,298.56,53.99,2.56,eia.gov,false,
2024-01-02 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,238.76,300.39,53.81,2.5,eia.gov,false,
2024-01-02 01:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,236.82,298.18,54.14,2.05,eia.gov,false,
2024-01-02 02:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,238.17,298.79,54.68,2.13,eia.gov,false,
2024-01-02 03:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,236.59,296.71,55.17,1.85,eia.gov,false,
2024-01-02 04:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,236.44,296.74,55.13,1.73,eia.gov,false,
2024-01-02 05:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,240.2,300.71,55.04,1.72,eia.gov,false,
2024-01-02 06:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,247.03,308.84,53.97,1.61,eia.gov,false,
2024-01-02 07:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,264.57,327.6,52.9,1.59,eia.gov,false,
2024-01-02 08:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,271.93,335.11,52.61,1.66,eia.gov,false,
2024-01-02 09:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,286.21,350.99,50.95,1.71,eia.gov,false,
2024-01-02 10:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,317.82,387.13,46.93,1.78,eia.gov,false,
2024-01-02 11:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,331.26,401.41,46.07,2.65,eia.gov,false,
2024-01-02 12:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,338.13,409.82,44.83,3.34,eia.gov,false,
2024-01-02 13:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,308.61,376.39,49.56,9.16,eia.gov,false,
2024-01-02 14:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,228.39,285.5,61.22,19.83,eia.gov,false,
2024-01-02 15:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,195.27,247.8,66.17,25.14,eia.gov,false,
2024-01-02 16:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,186.51,237.18,68.12,27.14,eia.gov,false,
2024-01-02 17:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,178.8,227.46,70.1,28.04,eia.gov,false,
2024-01-02 18:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,171.08,217.37,72.32,28.56,eia.gov,false,
2024-01-02 19:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,170.37,215.54,73.12,26.7,eia.gov,false,
2024-01-02 20:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,205.71,258.32,65.22,18.05,eia.gov,false,
2024-01-02 21:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,267.29,329.55,54.32,5.51,eia.gov,false,
2024-01-02 22:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,328.05,395.87,48.24,1.56,eia.gov,false,
2024-01-02 23:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,359.46,429.97,45.78,1.63,eia.gov,false,
2024-01-03 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,359.73,430.34,45.59,1.74,eia.gov,false,
