Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-01 01:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-01 02:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-01 03:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-01 04:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-01 05:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-01 06:00:00,USA,Southwestern Power Administration,US-CENT-SPA,10.06,34.72,98.61,98.49,eia.gov,false,
2024-01-01 07:00:00,USA,Southwestern Power Administration,US-CENT-SPA,58.79,86.7,91.87,91.15,eia.gov,false,
2024-01-01 08:00:00,USA,Southwestern Power Administration,US-CENT-SPA,35.55,61.91,95.1,94.66,eia.gov,false,
2024-01-01 09:00:00,USA,Southwestern Power Administration,US-CENT-SPA,38.14,64.72,94.71,94.24,eia.gov,false,
2024-01-01 10:00:00,USA,Southwestern Power Administration,US-CENT-SPA,7.61,32.14,98.94,98.84,eia.gov,false,
2024-01-01 11:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-01 12:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-01 13:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-01 14:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-01 15:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-01 16:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-01 17:00:00,USA,Southwestern Power Administration,US-CENT-SPA,34.64,61.12,95.14,94.73,eia.gov,false,
2024-01-01 18:00:00,USA,Southwestern Power Administration,US-CENT-SPA,44.47,71.64,93.77,93.23,eia.gov,false,
2024-01-01 19:00:00,USA,Southwestern Power Administration,US-CENT-SPA,2.63,26.81,99.63,99.6,eia.gov,false,
2024-01-01 20:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-01 21:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-01 22:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-01 23:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-02 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-02 01:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-02 02:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-02 03:00:00,USA,Southwestern Power Administration,US-CENT-SPA,32.77,58.6,95.6,95.56,eia.gov,false,
2024-01-02 04:00:00,USA,Southwestern Power Administration,US-CENT-SPA,98.1,127.63,86.79,86.7,eia.gov,false,
2024-01-02 05:00:00,USA,Southwestern Power Administration,US-CENT-SPA,152.5,184.92,79.59,79.47,eia.gov,false,
2024-01-02 06:00:00,USA,Southwestern Power Administration,US-CENT-SPA,113.06,143.77,84.52,84.41,eia.gov,false,
2024-01-02 07:00:00,USA,Southwestern Power Administration,US-CENT-SPA,118.19,149.22,83.82,83.75,eia.gov,false,
2024-01-02 08:00:00,USA,Southwestern Power Administration,US-CENT-SPA,167.19,200.56,77.55,77.44,eia.gov,false,
2024-01-02 09:00:00,USA,Southwestern Power Administration,US-CENT-SPA,118.37,149.04,84.04,83.98,eia.gov,false,
2024-01-02 10:00:00,USA,Southwestern Power Administration,US-CENT-SPA,132.07,163.31,82.35,82.34,eia.gov,false,
2024-01-02 11:00:00,USA,Southwestern Power Administration,US-CENT-SPA,122.19,153.16,83.48,83.44,eia.gov,false,
2024-01-02 12:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-02 13:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-02 14:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-02 15:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-02 16:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-02 17:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-02 18:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-02 19:00:00,USA,Southwestern Power Administration,US-CENT-SPA,17.06,42.24,97.62,97.42,eia.gov,false,
2024-01-02 20:00:00,USA,Southwestern Power Administration,US-CENT-SPA,11.9,36.75,98.33,98.19,eia.gov,false,
2024-01-02 21:00:00,USA,Southwestern Power Administration,US-CENT-SPA,19.56,44.96,97.26,97.02,eia.gov,false,
2024-01-02 22:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-02 23:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-03 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-03 01:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-03 02:00:00,USA,Southwestern Power Administration,US-CENT-SPA,54.41,81.98,92.56,91.97,eia.gov,false,
2024-01-03 03:00:00,USA,Southwestern Power Administration,US-CENT-SPA,70.99,99.71,90.28,89.51,eia.gov,false,
2024-01-03 04:00:00,USA,Southwestern Power Administration,US-CENT-SPA,101.25,132.04,86.15,85.06,eia.gov,false,
2024-01-03 05:00:00,USA,Southwestern Power Administration,US-CENT-SPA,127.66,160.35,82.49,81.1,eia.gov,false,
2024-01-03 06:00:00,USA,Southwestern Power Administration,US-CENT-SPA,143.01,177.06,80.21,78.59,eia.gov,false,
2024-01-03 07:00:00,USA,Southwestern Power Administration,US-CENT-SPA,128.91,161.9,82.18,80.7,eia.gov,false,
2024-01-03 08:00:00,USA,Southwestern Power Administration,US-CENT-SPA,117.63,149.92,83.68,82.32,eia.gov,false,
2024-01-03 09:00:00,USA,Southwestern Power Administration,US-CENT-SPA,109.06,140.75,84.85,83.59,eia.gov,false,
2024-01-03 10:00:00,USA,Southwestern Power Administration,US-CENT-SPA,97.85,128.89,86.31,85.18,eia.gov,false,
2024-01-03 11:00:00,USA,Southwestern Power Administration,US-CENT-SPA,71.63,100.99,89.85,89.04,eia.gov,false,
2024-01-03 12:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-03 13:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-03 14:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-03 15:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-03 16:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-03 17:00:00,USA,Southwestern Power Administration,US-CENT-SPA,104.78,137.34,84.88,83.96,eia.gov,false,
2024-01-03 18:00:00,USA,Southwestern Power Administration,US-CENT-SPA,122.1,156.13,82.33,81.24,eia.gov,false,
2024-01-03 19:00:00,USA,Southwestern Power Administration,US-CENT-SPA,121.86,155.8,82.41,81.3,eia.gov,false,
2024-01-03 20:00:00,USA,Southwestern Power Administration,US-CENT-SPA,148.74,184.77,78.57,77.2,eia.gov,false,
2024-01-03 21:00:00,USA,Southwestern Power Administration,US-CENT-SPA,161.11,198.09,76.81,75.28,eia.gov,false,
2024-01-03 22:00:00,USA,Southwestern Power Administration,US-CENT-SPA,130.53,165.08,81.16,79.91,eia.gov,false,
2024-01-03 23:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-04 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-04 01:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-04 02:00:00,USA,Southwestern Power Administration,US-CENT-SPA,82.02,111.92,88.36,87.48,eia.gov,false,
2024-01-04 03:00:00,USA,Southwestern Power Administration,US-CENT-SPA,125.46,158.33,82.22,80.8,eia.gov,false,
2024-01-04 04:00:00,USA,Southwestern Power Administration,US-CENT-SPA,143.54,177.63,79.68,78.04,eia.gov,false,
2024-01-04 05:00:00,USA,Southwestern Power Administration,US-CENT-SPA,133.69,167.2,80.92,79.26,eia.gov,false,
2024-01-04 06:00:00,USA,Southwestern Power Administration,US-CENT-SPA,142.83,176.87,79.57,77.73,eia.gov,false,
2024-01-04 07:00:00,USA,Southwestern Power Administration,US-CENT-SPA,131.5,164.58,81.27,79.54,eia.gov,false,
2024-01-04 08:00:00,USA,Southwestern Power Administration,US-CENT-SPA,54.78,82.42,92.25,91.52,eia.gov,false,
2024-01-04 09:00:00,USA,Southwestern Power Administration,US-CENT-SPA,60.91,88.97,91.35,90.55,eia.gov,false,
2024-01-04 10:00:00,USA,Southwestern Power Administration,US-CENT-SPA,30.29,56.32,95.68,95.28,eia.gov,false,
2024-01-04 11:00:00,USA,Southwestern Power Administration,US-CENT-SPA,14.19,39.16,97.97,97.78,eia.gov,false,
2024-01-04 12:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-04 13:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-04 14:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-04 15:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-04 16:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-04 17:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-04 18:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-04 19:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
