Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,556.81,619.19,5.52,0.0,eia.gov,false,
2024-01-01 01:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,554.5,617.5,5.7,0.0,eia.gov,false,
2024-01-01 02:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,554.77,618.13,5.88,0.0,eia.gov,false,
2024-01-01 03:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,542.28,609.36,6.54,0.0,eia.gov,false,
2024-01-01 04:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,587.58,640.07,5.52,0.0,eia.gov,false,
2024-01-01 05:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,593.58,643.33,5.77,0.0,eia.gov,false,
2024-01-01 06:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,606.14,650.5,5.73,0.0,eia.gov,false,
2024-01-01 07:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,609.63,652.8,5.71,0.0,eia.gov,false,
2024-01-01 08:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,608.22,651.4,5.9,0.0,eia.gov,false,
2024-01-01 09:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,626.99,664.37,5.31,0.0,eia.gov,false,
2024-01-01 10:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,637.55,670.55,5.26,0.0,eia.gov,false,
2024-01-01 11:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,641.17,672.91,4.87,0.0,eia.gov,false,
2024-01-01 12:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,622.11,655.18,7.05,1.98,eia.gov,false,
2024-01-01 13:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,590.46,628.18,10.02,4.81,eia.gov,false,
2024-01-01 14:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,560.81,605.19,12.28,7.18,eia.gov,false,
2024-01-01 15:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,535.55,587.91,13.39,8.32,eia.gov,false,
2024-01-01 16:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,533.18,589.1,12.86,8.2,eia.gov,false,
2024-01-01 17:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,542.33,597.74,11.84,7.6,eia.gov,false,
2024-01-01 18:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,551.58,607.3,10.56,6.73,eia.gov,false,
2024-01-01 19:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,558.31,615.29,9.21,5.5,eia.gov,false,
2024-01-01 20:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,558.32,616.49,8.77,5.06,eia.gov,false,
2024-01-01 21:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,581.24,635.96,6.6,3.05,eia.gov,false,
2024-01-01 22:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,581.11,638.07,5.3,1.35,eia.gov,false,
2024-01-01 23:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,597.26,650.45,3.92,0.0,eia.gov,false,
2024-01-02 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,597.56,651.5,3.96,0.0,eia.gov,false,
2024-01-02 01:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,578.57,638.86,4.46,0.0,eia.gov,false,
2024-01-02 02:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,595.68,651.24,4.12,0.0,eia.gov,false,
2024-01-02 03:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,582.04,643.35,4.5,0.0,eia.gov,false,
2024-01-02 04:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,567.4,635.95,4.55,0.0,eia.gov,false,
2024-01-02 05:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,560.95,632.05,4.8,0.0,eia.gov,false,
2024-01-02 06:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,562.41,633.06,4.81,0.0,eia.gov,false,
2024-01-02 07:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,563.86,633.71,4.91,0.0,eia.gov,false,
2024-01-02 08:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,568.1,634.52,5.17,0.0,eia.gov,false,
2024-01-02 09:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,602.9,653.77,4.9,0.0,eia.gov,false,
2024-01-02 10:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,650.54,683.74,4.01,0.0,eia.gov,false,
2024-01-02 11:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,643.89,683.54,3.35,0.0,eia.gov,false,
2024-01-02 12:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,610.43,654.18,6.14,1.72,eia.gov,false,
2024-01-02 13:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,594.23,637.5,8.67,4.2,eia.gov,false,
2024-01-02 14:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,565.19,612.28,11.28,6.59,eia.gov,false,
2024-01-02 15:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,568.7,606.97,12.9,7.97,eia.gov,false,
2024-01-02 16:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,541.0,588.81,13.68,8.65,eia.gov,false,
2024-01-02 17:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,518.42,574.82,14.02,8.85,eia.gov,false,
2024-01-02 18:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,507.99,570.41,13.65,8.62,eia.gov,false,
2024-01-02 19:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,506.06,571.69,12.91,7.97,eia.gov,false,
2024-01-02 20:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,525.03,586.79,11.4,6.65,eia.gov,false,
2024-01-02 21:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,522.17,588.24,9.74,4.58,eia.gov,false,
2024-01-02 22:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,579.25,630.81,6.19,1.62,eia.gov,false,
2024-01-02 23:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,615.11,659.08,3.96,0.0,eia.gov,false,
2024-01-03 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,596.98,649.73,4.11,0.0,eia.gov,false,
2024-01-03 01:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,597.67,650.28,4.2,0.0,eia.gov,false,
2024-01-03 02:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,583.4,642.17,4.57,0.0,eia.gov,false,
