Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,Tampa Electric Company,US-FLA-TEC,407.04,525.07,0.74,0.05,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 01:00:00,USA,Tampa Electric Company,US-FLA-TEC,407.12,525.3,0.7,0.05,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 02:00:00,USA,Tampa Electric Company,US-FLA-TEC,407.51,526.05,0.63,0.05,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 03:00:00,USA,Tampa Electric Company,US-FLA-TEC,409.97,528.33,0.7,0.05,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 04:00:00,USA,Tampa Electric Company,US-FLA-TEC,410.67,528.96,0.75,0.05,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 05:00:00,USA,Tampa Electric Company,US-FLA-TEC,411.37,529.28,0.92,0.05,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 06:00:00,USA,Tampa Electric Company,US-FLA-TEC,412.38,530.02,0.92,0.05,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 07:00:00,USA,Tampa Electric Company,US-FLA-TEC,413.67,531.14,0.93,0.06,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 08:00:00,USA,Tampa Electric Company,US-FLA-TEC,414.15,531.58,0.98,0.06,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 09:00:00,USA,Tampa Electric Company,US-FLA-TEC,414.03,531.84,0.91,0.05,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 10:00:00,USA,Tampa Electric Company,US-FLA-TEC,412.9,530.24,1.02,0.05,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 11:00:00,USA,Tampa Electric Company,US-FLA-TEC,410.01,527.08,1.0,0.05,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 12:00:00,USA,Tampa Electric Company,US-FLA-TEC,404.68,521.09,1.82,0.94,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 13:00:00,USA,Tampa Electric Company,US-FLA-TEC,380.59,491.13,8.1,7.25,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 14:00:00,USA,Tampa Electric Company,US-FLA-TEC,353.39,457.75,15.2,14.35,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 15:00:00,USA,Tampa Electric Company,US-FLA-TEC,340.95,442.57,18.46,17.65,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 16:00:00,USA,Tampa Electric Company,US-FLA-TEC,332.99,433.0,20.19,19.47,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 17:00:00,USA,Tampa Electric Company,US-FLA-TEC,334.11,434.41,19.91,19.21,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 18:00:00,USA,Tampa Electric Company,US-FLA-TEC,340.87,442.97,18.03,17.36,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 19:00:00,USA,Tampa Electric Company,US-FLA-TEC,344.22,447.16,17.17,16.51,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 20:00:00,USA,Tampa Electric Company,US-FLA-TEC,352.25,457.17,15.05,14.34,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 21:00:00,USA,Tampa Electric Company,US-FLA-TEC,376.57,486.95,9.0,8.2,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 22:00:00,USA,Tampa Electric Company,US-FLA-TEC,401.02,517.65,2.27,1.55,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 23:00:00,USA,Tampa Electric Company,US-FLA-TEC,407.18,524.87,0.77,0.06,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-02 00:00:00,USA,Tampa Electric Company,US-FLA-TEC,407.2,525.13,0.68,0.05,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-02 01:00:00,USA,Tampa Electric Company,US-FLA-TEC,406.62,524.96,0.68,0.05,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-02 02:00:00,USA,Tampa Electric Company,US-FLA-TEC,407.31,525.69,0.87,0.06,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-02 03:00:00,USA,Tampa Electric Company,US-FLA-TEC,409.41,527.47,1.07,0.06,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-02 04:00:00,USA,Tampa Electric Company,US-FLA-TEC,409.8,527.59,1.2,0.07,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-02 05:00:00,USA,Tampa Electric Company,US-FLA-TEC,420.72,537.36,1.6,0.09,eia.gov,false,
2024-01-02 06:00:00,USA,Tampa Electric Company,US-FLA-TEC,421.71,538.15,1.73,0.09,eia.gov,false,
2024-01-02 07:00:00,USA,Tampa Electric Company,US-FLA-TEC,422.58,538.92,1.79,0.1,eia.gov,false,
2024-01-02 08:00:00,USA,Tampa Electric Company,US-FLA-TEC,423.56,539.94,1.8,0.1,eia.gov,false,
2024-01-02 09:00:00,USA,Tampa Electric Company,US-FLA-TEC,423.39,539.92,1.68,0.08,eia.gov,false,
2024-01-02 10:00:00,USA,Tampa Electric Company,US-FLA-TEC,421.1,537.97,1.43,0.08,eia.gov,false,
2024-01-02 11:00:00,USA,Tampa Electric Company,US-FLA-TEC,418.88,535.73,1.12,0.08,eia.gov,false,
2024-01-02 12:00:00,USA,Tampa Electric Company,US-FLA-TEC,413.27,528.74,2.1,1.19,eia.gov,false,
2024-01-02 13:00:00,USA,Tampa Electric Company,US-FLA-TEC,376.62,483.29,11.43,10.61,eia.gov,false,
2024-01-02 14:00:00,USA,Tampa Electric Company,US-FLA-TEC,336.47,433.03,22.11,21.21,eia.gov,false,
2024-01-02 15:00:00,USA,Tampa Electric Company,US-FLA-TEC,323.19,416.59,25.67,24.76,eia.gov,false,
2024-01-02 16:00:00,USA,Tampa Electric Company,US-FLA-TEC,315.4,407.32,27.57,26.68,eia.gov,false,
2024-01-02 17:00:00,USA,Tampa Electric Company,US-FLA-TEC,311.05,402.43,28.55,27.68,eia.gov,false,
2024-01-02 18:00:00,USA,Tampa Electric Company,US-FLA-TEC,314.48,406.72,27.83,26.99,eia.gov,false,
2024-01-02 19:00:00,USA,Tampa Electric Company,US-FLA-TEC,306.58,396.93,29.68,28.86,eia.gov,false,
2024-01-02 20:00:00,USA,Tampa Electric Company,US-FLA-TEC,325.88,420.82,24.72,23.73,eia.gov,false,
2024-01-02 21:00:00,USA,Tampa Electric Company,US-FLA-TEC,368.17,474.46,12.8,11.85,eia.gov,false,
2024-01-02 22:00:00,USA,Tampa Electric Company,US-FLA-TEC,406.4,522.94,1.78,0.96,eia.gov,false,
2024-01-02 23:00:00,USA,Tampa Electric Company,US-FLA-TEC,410.09,526.9,0.87,0.08,eia.gov,false,
