Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,67.33,95.61,89.79,80.57,eia.gov,false,
2024-01-01 01:00:00,USA,Bonneville Power Administration,US-NW-BPAT,68.94,96.75,89.92,81.14,eia.gov,false,
2024-01-01 02:00:00,USA,Bonneville Power Administration,US-NW-BPAT,69.7,97.6,89.75,81.01,eia.gov,false,
2024-01-01 03:00:00,USA,Bonneville Power Administration,US-NW-BPAT,79.01,107.09,88.6,79.37,eia.gov,false,
2024-01-01 04:00:00,USA,Bonneville Power Administration,US-NW-BPAT,80.71,108.99,88.27,78.84,eia.gov,false,
2024-01-01 05:00:00,USA,Bonneville Power Administration,US-NW-BPAT,86.09,114.59,87.52,77.61,eia.gov,false,
2024-01-01 06:00:00,USA,Bonneville Power Administration,US-NW-BPAT,98.43,127.45,85.86,75.31,eia.gov,false,
2024-01-01 07:00:00,USA,Bonneville Power Administration,US-NW-BPAT,113.46,145.16,82.63,71.63,eia.gov,false,
2024-01-01 08:00:00,USA,Bonneville Power Administration,US-NW-BPAT,125.89,159.2,80.35,68.97,eia.gov,false,
2024-01-01 09:00:00,USA,Bonneville Power Administration,US-NW-BPAT,131.08,164.39,79.75,68.3,eia.gov,false,
2024-01-01 10:00:00,USA,Bonneville Power Administration,US-NW-BPAT,136.25,170.79,78.55,66.91,eia.gov,false,
2024-01-01 11:00:00,USA,Bonneville Power Administration,US-NW-BPAT,133.57,168.03,78.95,67.34,eia.gov,false,
2024-01-01 12:00:00,USA,Bonneville Power Administration,US-NW-BPAT,131.97,166.41,79.11,67.9,eia.gov,false,
2024-01-01 13:00:00,USA,Bonneville Power Administration,US-NW-BPAT,125.74,159.53,80.11,69.08,eia.gov,false,
2024-01-01 14:00:00,USA,Bonneville Power Administration,US-NW-BPAT,117.12,149.81,81.64,70.93,eia.gov,false,
2024-01-01 15:00:00,USA,Bonneville Power Administration,US-NW-BPAT,119.2,152.4,81.21,70.93,eia.gov,false,
2024-01-01 16:00:00,USA,Bonneville Power Administration,US-NW-BPAT,125.0,160.74,79.42,68.91,eia.gov,false,
2024-01-01 17:00:00,USA,Bonneville Power Administration,US-NW-BPAT,124.91,161.7,79.06,68.63,eia.gov,false,
2024-01-01 18:00:00,USA,Bonneville Power Administration,US-NW-BPAT,120.52,156.68,79.87,69.57,eia.gov,false,
2024-01-01 19:00:00,USA,Bonneville Power Administration,US-NW-BPAT,118.74,154.71,80.13,69.83,eia.gov,false,
2024-01-01 20:00:00,USA,Bonneville Power Administration,US-NW-BPAT,119.37,155.53,79.96,69.57,eia.gov,false,
