Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,146.75,199.19,66.9,61.3,eia.gov,false,
2024-01-01 01:00:00,USA,Puget Sound Energy,US-NW-PSEI,144.68,195.98,67.83,62.42,eia.gov,false,
2024-01-01 02:00:00,USA,Puget Sound Energy,US-NW-PSEI,146.89,198.76,67.23,61.91,eia.gov,false,
2024-01-01 03:00:00,USA,Puget Sound Energy,US-NW-PSEI,155.15,207.89,65.8,60.26,eia.gov,false,
2024-01-01 04:00:00,USA,Puget Sound Energy,US-NW-PSEI,158.61,212.26,64.85,59.32,eia.gov,false,
2024-01-01 05:00:00,USA,Puget Sound Energy,US-NW-PSEI,164.95,219.69,63.49,57.82,eia.gov,false,
2024-01-01 06:00:00,USA,Puget Sound Energy,US-NW-PSEI,175.94,232.26,61.35,55.48,eia.gov,false,
2024-01-01 07:00:00,USA,Puget Sound Energy,US-NW-PSEI,192.3,251.7,57.72,51.41,eia.gov,false,
2024-01-01 08:00:00,USA,Puget Sound Energy,US-NW-PSEI,203.36,264.67,55.37,48.88,eia.gov,false,
2024-01-01 09:00:00,USA,Puget Sound Energy,US-NW-PSEI,205.3,266.52,55.17,48.75,eia.gov,false,
2024-01-01 10:00:00,USA,Puget Sound Energy,US-NW-PSEI,210.58,273.0,53.97,47.4,eia.gov,false,
2024-01-01 11:00:00,USA,Puget Sound Energy,US-NW-PSEI,209.22,271.75,54.07,47.58,eia.gov,false,
2024-01-01 12:00:00,USA,Puget Sound Energy,US-NW-PSEI,205.89,267.61,54.89,48.54,eia.gov,false,
2024-01-01 13:00:00,USA,Puget Sound Energy,US-NW-PSEI,198.77,258.87,56.52,50.1,eia.gov,false,
2024-01-01 14:00:00,USA,Puget Sound Energy,US-NW-PSEI,188.33,246.07,59.01,52.58,eia.gov,false,
2024-01-01 15:00:00,USA,Puget Sound Energy,US-NW-PSEI,184.99,241.62,60.1,53.78,eia.gov,false,
2024-01-01 16:00:00,USA,Puget Sound Energy,US-NW-PSEI,186.24,243.78,59.64,53.12,eia.gov,false,
2024-01-01 17:00:00,USA,Puget Sound Energy,US-NW-PSEI,185.08,242.89,59.8,53.25,eia.gov,false,
2024-01-01 18:00:00,USA,Puget Sound Energy,US-NW-PSEI,180.39,237.24,60.84,54.32,eia.gov,false,
2024-01-01 19:00:00,USA,Puget Sound Energy,US-NW-PSEI,178.9,235.54,61.09,54.58,eia.gov,false,
2024-01-01 20:00:00,USA,Puget Sound Energy,US-NW-PSEI,179.22,235.98,60.99,54.42,eia.gov,false,
2024-01-01 21:00:00,USA,Puget Sound Energy,US-NW-PSEI,179.95,237.05,60.71,54.03,eia.gov,false,
2024-01-01 22:00:00,USA,Puget Sound Energy,US-NW-PSEI,177.35,234.36,61.05,54.63,eia.gov,false,
2024-01-01 23:00:00,USA,Puget Sound Energy,US-NW-PSEI,178.13,235.08,60.96,54.5,eia.gov,false,
2024-01-02 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,157.72,211.1,65.18,59.24,eia.gov,false,
2024-01-02 01:00:00,USA,Puget Sound Energy,US-NW-PSEI,151.9,204.06,66.54,60.77,eia.gov,false,
2024-01-02 02:00:00,USA,Puget Sound Energy,US-NW-PSEI,154.68,207.46,65.84,60.09,eia.gov,false,
2024-01-02 03:00:00,USA,Puget Sound Energy,US-NW-PSEI,158.23,211.52,65.13,59.37,eia.gov,false,
2024-01-02 04:00:00,USA,Puget Sound Energy,US-NW-PSEI,159.75,213.44,64.74,58.94,eia.gov,false,
2024-01-02 05:00:00,USA,Puget Sound Energy,US-NW-PSEI,169.58,225.29,62.5,56.53,eia.gov,false,
2024-01-02 06:00:00,USA,Puget Sound Energy,US-NW-PSEI,181.47,239.61,59.77,53.58,eia.gov,false,
2024-01-02 07:00:00,USA,Puget Sound Energy,US-NW-PSEI,196.19,257.22,56.54,50.08,eia.gov,false,
2024-01-02 08:00:00,USA,Puget Sound Energy,US-NW-PSEI,210.59,275.15,52.9,45.94,eia.gov,false,
2024-01-02 09:00:00,USA,Puget Sound Energy,US-NW-PSEI,212.35,277.87,52.12,45.37,eia.gov,false,
2024-01-02 10:00:00,USA,Puget Sound Energy,US-NW-PSEI,216.18,282.17,51.39,44.76,eia.gov,false,
2024-01-02 11:00:00,USA,Puget Sound Energy,US-NW-PSEI,215.3,281.03,51.56,45.04,eia.gov,false,
2024-01-02 12:00:00,USA,Puget Sound Energy,US-NW-PSEI,203.93,266.86,54.34,47.95,eia.gov,false,
2024-01-02 13:00:00,USA,Puget Sound Energy,US-NW-PSEI,171.74,228.06,61.67,55.77,eia.gov,false,
2024-01-02 14:00:00,USA,Puget Sound Energy,US-NW-PSEI,159.24,213.6,64.23,58.37,eia.gov,false,
2024-01-02 15:00:00,USA,Puget Sound Energy,US-NW-PSEI,158.86,212.54,64.77,58.94,eia.gov,false,
2024-01-02 16:00:00,USA,Puget Sound Energy,US-NW-PSEI,167.21,221.75,63.52,57.61,eia.gov,false,
2024-01-02 17:00:00,USA,Puget Sound Energy,US-NW-PSEI,170.41,225.54,62.94,57.0,eia.gov,false,
2024-01-02 18:00:00,USA,Puget Sound Energy,US-NW-PSEI,181.21,237.2,61.31,54.76,eia.gov,false,
2024-01-02 19:00:00,USA,Puget Sound Energy,US-NW-PSEI,180.65,236.27,61.53,54.97,eia.gov,false,
2024-01-02 20:00:00,USA,Puget Sound Energy,US-NW-PSEI,179.42,234.34,62.12,55.22,eia.gov,false,
2024-01-02 21:00:00,USA,Puget Sound Energy,US-NW-PSEI,182.98,238.03,61.76,54.69,eia.gov,false,
2024-01-02 22:00:00,USA,Puget Sound Energy,US-NW-PSEI,183.21,238.59,61.47,54.47,eia.gov,false,
2024-01-02 23:00:00,USA,Puget Sound Energy,US-NW-PSEI,162.64,215.44,64.97,58.55,eia.gov,false,
2024-01-03 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,137.81,187.27,69.47,63.77,eia.gov,false,
2024-01-03 01:00:00,USA,Puget Sound Energy,US-NW-PSEI,133.22,182.32,70.17,64.81,eia.gov,false,
2024-01-03 02:00:00,USA,Puget Sound Energy,US-NW-PSEI,136.35,186.63,69.19,63.68,eia.gov,false,
2024-01-03 03:00:00,USA,Puget Sound Energy,US-NW-PSEI,144.32,195.84,67.65,61.89,eia.gov,false,
2024-01-03 04:00:00,USA,Puget Sound Energy,US-NW-PSEI,150.09,202.53,66.5,60.66,eia.gov,false,
2024-01-03 05:00:00,USA,Puget Sound Energy,US-NW-PSEI,165.05,219.2,63.82,57.53,eia.gov,false,
2024-01-03 06:00:00,USA,Puget Sound Energy,US-NW-PSEI,176.57,233.17,61.11,54.83,eia.gov,false,
2024-01-03 07:00:00,USA,Puget Sound Energy,US-NW-PSEI,192.58,252.4,57.48,50.69,eia.gov,false,
2024-01-03 08:00:00,USA,Puget Sound Energy,US-NW-PSEI,211.65,275.83,52.9,45.96,eia.gov,false,
