Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,Seattle City Light,US-NW-SCL,46.75,75.31,92.01,86.81,eia.gov,false,
2024-01-01 01:00:00,USA,Seattle City Light,US-NW-SCL,45.69,73.6,92.53,87.64,eia.gov,false,
2024-01-01 02:00:00,USA,Seattle City Light,US-NW-SCL,50.0,78.31,91.79,86.52,eia.gov,false,
2024-01-01 03:00:00,USA,Seattle City Light,US-NW-SCL,54.86,83.26,91.19,85.74,eia.gov,false,
2024-01-01 04:00:00,USA,Seattle City Light,US-NW-SCL,58.19,86.98,90.57,84.82,eia.gov,false,
2024-01-01 05:00:00,USA,Seattle City Light,US-NW-SCL,62.49,91.61,89.88,83.81,eia.gov,false,
2024-01-01 06:00:00,USA,Seattle City Light,US-NW-SCL,74.83,104.66,88.1,81.2,eia.gov,false,
2024-01-01 07:00:00,USA,Seattle City Light,US-NW-SCL,85.4,116.88,85.96,78.61,eia.gov,false,
2024-01-01 08:00:00,USA,Seattle City Light,US-NW-SCL,99.86,132.98,83.41,75.31,eia.gov,false,
2024-01-01 09:00:00,USA,Seattle City Light,US-NW-SCL,102.72,135.63,83.19,75.05,eia.gov,false,
2024-01-01 10:00:00,USA,Seattle City Light,US-NW-SCL,108.82,142.92,81.89,73.46,eia.gov,false,
2024-01-01 11:00:00,USA,Seattle City Light,US-NW-SCL,107.47,141.49,82.12,73.63,eia.gov,false,
2024-01-01 12:00:00,USA,Seattle City Light,US-NW-SCL,103.16,136.78,82.81,74.81,eia.gov,false,
2024-01-01 13:00:00,USA,Seattle City Light,US-NW-SCL,101.32,135.03,82.91,75.0,eia.gov,false,
2024-01-01 14:00:00,USA,Seattle City Light,US-NW-SCL,93.59,126.39,84.25,76.7,eia.gov,false,
2024-01-01 15:00:00,USA,Seattle City Light,US-NW-SCL,92.45,125.08,84.55,77.37,eia.gov,false,
2024-01-01 16:00:00,USA,Seattle City Light,US-NW-SCL,93.98,127.91,83.86,76.58,eia.gov,false,
