Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,331.07,370.9,56.64,52.72,eia.gov,false,
2024-01-01 01:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,324.57,364.04,57.41,53.47,eia.gov,false,
2024-01-01 02:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,321.26,362.08,57.17,53.06,eia.gov,false,
2024-01-01 03:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,338.08,380.51,54.61,50.26,eia.gov,false,
2024-01-01 04:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,193.71,224.16,76.08,74.4,eia.gov,false,
2024-01-01 05:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,154.3,188.22,78.72,76.73,eia.gov,false,
2024-01-01 06:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,161.28,195.88,77.73,75.71,eia.gov,false,
2024-01-01 07:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-01 08:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,268.46,287.55,73.49,73.48,eia.gov,false,
2024-01-01 09:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,260.63,279.86,74.19,74.17,eia.gov,false,
2024-01-01 10:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,265.1,284.73,73.61,73.58,eia.gov,false,
2024-01-01 11:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,275.12,294.86,72.6,72.57,eia.gov,false,
2024-01-01 12:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,238.37,258.18,76.33,76.31,eia.gov,false,
2024-01-01 13:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,215.49,235.69,78.56,78.55,eia.gov,false,
2024-01-01 14:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,231.44,251.28,76.95,76.94,eia.gov,false,
2024-01-01 15:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,240.97,260.48,76.13,76.11,eia.gov,false,
2024-01-01 16:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,252.2,272.18,74.92,74.89,eia.gov,false,
2024-01-01 17:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,251.38,272.21,74.85,74.79,eia.gov,false,
2024-01-01 18:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,266.93,287.18,73.43,73.38,eia.gov,false,
2024-01-01 19:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,274.45,294.33,72.74,72.69,eia.gov,false,
2024-01-01 20:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,282.21,301.64,72.03,71.98,eia.gov,false,
2024-01-01 21:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,276.91,296.12,72.65,72.62,eia.gov,false,
2024-01-01 22:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,328.57,347.4,67.42,67.37,eia.gov,false,
2024-01-01 23:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,274.93,295.56,72.43,72.37,eia.gov,false,
2024-01-02 00:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,163.32,197.16,77.46,75.16,eia.gov,false,
2024-01-02 01:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,260.31,300.18,63.68,59.67,eia.gov,false,
2024-01-02 02:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,267.52,308.12,62.22,57.87,eia.gov,false,
2024-01-02 03:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,265.18,306.18,62.08,57.42,eia.gov,false,
2024-01-02 04:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,285.19,325.03,60.35,55.53,eia.gov,false,
2024-01-02 05:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,240.79,279.05,65.38,60.02,eia.gov,false,
2024-01-02 06:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,242.65,280.16,65.35,59.74,eia.gov,false,
2024-01-02 07:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,240.93,278.28,65.6,59.68,eia.gov,false,
2024-01-02 08:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,215.12,251.68,68.99,63.65,eia.gov,false,
2024-01-02 09:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,237.76,275.48,66.4,61.36,eia.gov,false,
2024-01-02 10:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,253.1,291.8,64.4,59.33,eia.gov,false,
2024-01-02 11:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,250.71,286.97,66.2,62.33,eia.gov,false,
2024-01-02 12:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,191.48,224.41,74.44,71.83,eia.gov,false,
2024-01-02 13:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,214.57,249.29,71.1,68.29,eia.gov,false,
2024-01-02 14:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,225.95,264.06,68.04,64.62,eia.gov,false,
2024-01-02 15:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,227.57,260.28,71.06,68.99,eia.gov,false,
2024-01-02 16:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,190.22,218.49,77.54,76.45,eia.gov,false,
2024-01-02 17:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,115.2,137.76,88.45,88.43,eia.gov,false,
2024-01-02 18:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,151.31,173.99,84.68,84.64,eia.gov,false,
2024-01-02 19:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,140.65,163.49,85.73,85.7,eia.gov,false,
2024-01-02 20:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,132.97,155.9,86.55,86.51,eia.gov,false,
2024-01-02 21:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,116.98,140.36,88.06,88.01,eia.gov,false,
2024-01-02 22:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,329.54,352.68,66.16,66.02,eia.gov,false,
2024-01-02 23:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,329.69,352.47,66.27,66.2,eia.gov,false,
2024-01-03 00:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,336.15,358.92,65.62,65.58,eia.gov,false,
2024-01-03 01:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,352.61,375.9,63.89,63.84,eia.gov,false,
2024-01-03 02:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,367.97,392.62,61.85,61.8,eia.gov,false,
2024-01-03 03:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,365.97,391.05,61.93,61.87,eia.gov,false,
2024-01-03 04:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,369.68,394.59,61.65,61.6,eia.gov,false,
2024-01-03 05:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,247.44,271.96,74.34,74.31,eia.gov,false,
2024-01-03 06:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,330.98,355.81,65.63,65.58,eia.gov,false,
2024-01-03 07:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,363.38,387.68,62.58,62.52,eia.gov,false,
2024-01-03 08:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,271.42,295.74,72.02,71.94,eia.gov,false,
2024-01-03 09:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,267.55,291.73,72.47,72.4,eia.gov,false,
2024-01-03 10:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,263.5,287.93,72.79,72.7,eia.gov,false,
2024-01-03 11:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,283.96,308.43,70.65,70.55,eia.gov,false,
2024-01-03 12:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,81.11,105.15,91.65,91.63,eia.gov,false,
2024-01-03 13:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,248.55,280.27,70.36,69.26,eia.gov,false,
2024-01-03 14:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,198.1,229.15,75.89,74.91,eia.gov,false,
2024-01-03 15:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,258.4,293.65,67.62,66.24,eia.gov,false,
2024-01-03 16:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,219.61,252.08,73.05,72.07,eia.gov,false,
2024-01-03 17:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,238.52,270.73,71.21,70.29,eia.gov,false,
2024-01-03 18:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,280.3,315.36,65.45,64.21,eia.gov,false,
2024-01-03 19:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,281.23,314.91,66.08,64.96,eia.gov,false,
2024-01-03 20:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,282.05,316.33,65.73,64.52,eia.gov,false,
2024-01-03 21:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,285.67,319.5,65.56,64.36,eia.gov,false,
2024-01-03 22:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,327.81,351.65,66.29,66.24,eia.gov,false,
2024-01-03 23:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,296.04,319.78,69.54,69.51,eia.gov,false,
2024-01-04 00:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,227.86,258.46,72.96,72.04,eia.gov,false,
2024-01-04 01:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,249.3,279.49,70.84,69.87,eia.gov,false,
2024-01-04 02:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,264.85,294.56,69.39,68.43,eia.gov,false,
2024-01-04 03:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,251.08,280.93,70.67,69.67,eia.gov,false,
2024-01-04 04:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,238.04,268.43,71.75,70.7,eia.gov,false,
2024-01-04 05:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,239.25,268.97,71.93,70.8,eia.gov,false,
2024-01-04 06:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,212.5,242.86,74.35,73.16,eia.gov,false,
2024-01-04 07:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,216.21,246.82,73.86,72.62,eia.gov,false,
2024-01-04 08:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,163.29,195.66,78.3,76.6,eia.gov,false,
2024-01-04 09:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,165.21,197.76,77.94,76.23,eia.gov,false,
2024-01-04 10:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,155.21,187.64,79.0,77.29,eia.gov,false,
2024-01-04 11:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,177.12,213.21,74.63,72.3,eia.gov,false,
2024-01-04 12:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,170.52,206.14,75.62,73.38,eia.gov,false,
2024-01-04 13:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,197.33,234.68,72.03,69.57,eia.gov,false,
2024-01-04 14:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,318.26,361.26,56.08,52.14,eia.gov,false,
2024-01-04 15:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,386.1,435.09,45.89,40.6,eia.gov,false,
2024-01-04 16:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,468.44,510.66,41.13,37.15,eia.gov,false,
2024-01-04 17:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,553.34,582.29,39.46,37.92,eia.gov,false,
2024-01-04 18:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,521.93,554.95,40.62,38.25,eia.gov,false,
2024-01-04 19:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,535.19,567.73,39.51,37.24,eia.gov,false,
2024-01-04 20:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,536.05,567.16,40.13,38.05,eia.gov,false,
2024-01-04 21:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,534.2,566.2,39.91,37.65,eia.gov,false,
2024-01-04 22:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,551.5,580.79,39.5,37.8,eia.gov,false,
