Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,340.01,412.07,35.81,21.01,eia.gov,false,
2024-01-01 01:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,291.54,357.13,44.75,32.39,eia.gov,false,
2024-01-01 02:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,278.81,342.43,47.38,36.18,eia.gov,false,
2024-01-01 03:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,283.94,348.21,46.26,34.43,eia.gov,false,
2024-01-01 04:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,295.59,361.7,43.89,32.04,eia.gov,false,
2024-01-01 05:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,346.99,420.88,33.86,19.33,eia.gov,false,
2024-01-01 06:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,341.56,415.27,34.44,18.83,eia.gov,false,
2024-01-01 07:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,383.09,461.06,27.63,10.01,eia.gov,false,
2024-01-01 08:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,397.51,477.75,24.93,7.7,eia.gov,false,
2024-01-01 09:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,399.01,479.66,24.51,6.33,eia.gov,false,
2024-01-01 10:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,399.6,480.16,24.49,5.72,eia.gov,false,
2024-01-01 11:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,400.91,481.3,24.5,5.94,eia.gov,false,
2024-01-01 12:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,412.11,491.74,24.13,7.21,eia.gov,false,
2024-01-01 13:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,426.84,504.11,24.45,8.3,eia.gov,false,
2024-01-01 14:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,417.38,493.32,26.09,10.39,eia.gov,false,
2024-01-01 15:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,406.17,478.96,29.14,13.53,eia.gov,false,
2024-01-01 16:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,389.83,461.74,31.25,15.91,eia.gov,false,
2024-01-01 17:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,377.27,449.4,32.24,16.9,eia.gov,false,
2024-01-01 18:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,346.28,416.1,36.82,22.06,eia.gov,false,
2024-01-01 19:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,339.71,408.23,38.03,21.99,eia.gov,false,
2024-01-01 20:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,333.2,400.43,39.35,21.25,eia.gov,false,
2024-01-01 21:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,320.55,388.98,40.01,23.67,eia.gov,false,
2024-01-01 22:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,325.09,394.45,38.79,20.82,eia.gov,false,
2024-01-01 23:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,365.57,439.87,31.51,13.18,eia.gov,false,
2024-01-02 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,395.08,470.59,28.39,13.78,eia.gov,false,
2024-01-02 01:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,345.44,413.04,38.49,26.94,eia.gov,false,
2024-01-02 02:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,331.59,397.51,41.07,30.18,eia.gov,false,
2024-01-02 03:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,343.84,411.52,38.66,27.19,eia.gov,false,
2024-01-02 04:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,373.15,444.14,33.52,20.97,eia.gov,false,
2024-01-02 05:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,378.64,450.92,32.13,18.41,eia.gov,false,
2024-01-02 06:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,382.23,456.31,30.7,16.18,eia.gov,false,
2024-01-02 07:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,395.45,470.93,28.47,11.26,eia.gov,false,
2024-01-02 08:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,404.47,480.94,26.59,9.18,eia.gov,false,
2024-01-02 09:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,383.57,459.45,28.81,12.21,eia.gov,false,
2024-01-02 10:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,385.53,462.4,27.91,10.99,eia.gov,false,
2024-01-02 11:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,384.51,461.97,27.73,11.86,eia.gov,false,
2024-01-02 12:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,404.66,483.35,25.28,11.23,eia.gov,false,
2024-01-02 13:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,396.1,469.77,29.45,16.74,eia.gov,false,
2024-01-02 14:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,372.55,443.71,33.39,21.02,eia.gov,false,
2024-01-02 15:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,387.91,459.53,31.56,16.52,eia.gov,false,
2024-01-02 16:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,360.21,427.5,36.75,19.16,eia.gov,false,
2024-01-02 17:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,331.82,395.79,41.8,23.26,eia.gov,false,
2024-01-02 18:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,352.13,414.8,40.73,22.61,eia.gov,false,
2024-01-02 19:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,360.97,423.46,39.89,20.18,eia.gov,false,
2024-01-02 20:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,355.84,417.36,40.72,18.9,eia.gov,false,
2024-01-02 21:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,349.53,411.32,41.31,18.33,eia.gov,false,
2024-01-02 22:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,359.06,422.31,39.47,16.64,eia.gov,false,
2024-01-02 23:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,372.28,442.61,33.57,13.89,eia.gov,false,
2024-01-03 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,366.51,437.56,33.96,19.92,eia.gov,false,
2024-01-03 01:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,327.11,392.84,41.37,29.39,eia.gov,false,
2024-01-03 02:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,343.2,410.96,38.69,26.2,eia.gov,false,
2024-01-03 03:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,335.73,402.99,39.62,27.49,eia.gov,false,
2024-01-03 04:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,354.64,423.36,36.3,23.87,eia.gov,false,
2024-01-03 05:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,364.72,435.63,33.79,20.99,eia.gov,false,
2024-01-03 06:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,362.89,434.46,33.33,20.03,eia.gov,false,
2024-01-03 07:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,349.01,419.71,35.06,19.52,eia.gov,false,
2024-01-03 08:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,361.52,429.64,35.2,16.34,eia.gov,false,
2024-01-03 09:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,337.76,402.56,39.58,21.63,eia.gov,false,
2024-01-03 10:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,332.06,395.89,40.6,22.15,eia.gov,false,
2024-01-03 11:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,333.91,398.21,40.06,21.99,eia.gov,false,
2024-01-03 12:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,336.33,398.3,41.21,25.91,eia.gov,false,
2024-01-03 13:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,330.87,391.43,42.98,30.39,eia.gov,false,
2024-01-03 14:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,306.08,365.26,46.35,35.29,eia.gov,false,
2024-01-03 15:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,303.65,362.04,47.21,34.7,eia.gov,false,
2024-01-03 16:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,315.74,375.77,44.92,28.43,eia.gov,false,
2024-01-03 17:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,313.41,373.97,44.84,25.57,eia.gov,false,
2024-01-03 18:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,318.29,377.2,45.31,24.7,eia.gov,false,
2024-01-03 19:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,325.78,382.81,45.55,25.87,eia.gov,false,
2024-01-03 20:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,335.78,393.99,43.89,25.87,eia.gov,false,
2024-01-03 21:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,328.48,387.05,44.16,27.16,eia.gov,false,
2024-01-03 22:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,342.23,406.6,39.55,21.49,eia.gov,false,
2024-01-03 23:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,351.08,416.83,38.14,19.8,eia.gov,false,
2024-01-04 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,315.09,375.06,45.32,32.05,eia.gov,false,
2024-01-04 01:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,304.04,362.16,47.98,36.37,eia.gov,false,
2024-01-04 02:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,338.37,400.63,42.35,30.66,eia.gov,false,
2024-01-04 03:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,352.72,416.71,39.66,27.12,eia.gov,false,
2024-01-04 04:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,382.28,448.82,35.01,21.2,eia.gov,false,
2024-01-04 05:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,391.42,459.2,33.26,18.57,eia.gov,false,
2024-01-04 06:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,392.06,461.9,32.0,15.78,eia.gov,false,
2024-01-04 07:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,406.56,479.97,28.27,9.74,eia.gov,false,
2024-01-04 08:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,406.24,480.06,28.27,9.92,eia.gov,false,
2024-01-04 09:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,408.27,481.52,28.34,9.73,eia.gov,false,
2024-01-04 10:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,411.81,484.69,28.22,9.57,eia.gov,false,
2024-01-04 11:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,407.9,481.49,28.2,10.14,eia.gov,false,
2024-01-04 12:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,409.12,479.54,30.44,16.13,eia.gov,false,
2024-01-04 13:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,409.78,479.98,30.81,18.9,eia.gov,false,
2024-01-04 14:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,363.82,429.77,37.97,28.28,eia.gov,false,
2024-01-04 15:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,341.85,407.0,40.28,28.17,eia.gov,false,
2024-01-04 16:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,321.89,383.28,44.29,25.13,eia.gov,false,
2024-01-04 17:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,324.08,387.04,43.23,20.76,eia.gov,false,
