policy,source_grid,start_ts,start_datetime,hw_weighting,overhead_cost,deadline_gate,ablation_id,lookahead_hours,app_size_mb,expected_completion_min,deadline_multiplier,total_carbon_gco2,baseline_carbon_gco2,savings_pct,migration_count,completed_hours,sweep_kind
1,AECI,1577836800,2020-01-01T00:00:00+00:00,,,,n/a,,64.0,120,1.5,8170.2,8170.2,0.0,0,2,main
1,AECI,1578888000,2020-01-13T04:00:00+00:00,,,,n/a,,64.0,120,1.5,8836.9,8836.9,0.0,0,2,main
1,AECI,1579939200,2020-01-25T08:00:00+00:00,,,,n/a,,64.0,120,1.5,7897.0,7897.0,0.0,0,2,main
1,AECI,1580990400,2020-02-06T12:00:00+00:00,,,,n/a,,64.0,120,1.5,7315.3,7315.3,0.0,0,2,main
1,AECI,1582041600,2020-02-18T16:00:00+00:00,,,,n/a,,64.0,120,1.5,7851.2,7851.2,0.0,0,2,main
1,AECI,1583092800,2020-03-01T20:00:00+00:00,,,,n/a,,64.0,120,1.5,6364.8,6364.8,0.0,0,2,main
1,AECI,1584144000,2020-03-14T00:00:00+00:00,,,,n/a,,64.0,120,1.5,7240.7,7240.7,0.0,0,2,main
1,AECI,1585195200,2020-03-26T04:00:00+00:00,,,,n/a,,64.0,120,1.5,5567.8,5567.8,0.0,0,2,main
1,AECI,1586246400,2020-04-07T08:00:00+00:00,,,,n/a,,64.0,120,1.5,4521.9,4521.9,0.0,0,2,main
1,AECI,1587297600,2020-04-19T12:00:00+00:00,,,,n/a,,64.0,120,1.5,6030.0,6030.0,0.0,0,2,main
1,AECI,1588348800,2020-05-01T16:00:00+00:00,,,,n/a,,64.0,120,1.5,5136.0,5136.0,0.0,0,2,main
1,AECI,1589400000,2020-05-13T20:00:00+00:00,,,,n/a,,64.0,120,1.5,5986.2,5986.2,0.0,0,2,main
1,AECI,1590451200,2020-05-26T00:00:00+00:00,,,,n/a,,64.0,120,1.5,7815.9,7815.9,0.0,0,2,main
1,AECI,1591502400,2020-06-07T04:00:00+00:00,,,,n/a,,64.0,120,1.5,5947.4,5947.4,0.0,0,2,main
1,AECI,1592553600,2020-06-19T08:00:00+00:00,,,,n/a,,64.0,120,1.5,6003.5,6003.5,0.0,0,2,main
1,AECI,1593604800,2020-07-01T12:00:00+00:00,,,,n/a,,64.0,120,1.5,7528.0,7528.0,0.0,0,2,main
