grid,region,name,power_per_core,available_cores,tdp_watts,physical_cores,clock_speed_ghz,hostname
AECI,MIDW,AMD EPYC 7713 64-Core Processor,3.515,16384,225.0,64,2.5,gpn-fiona-mizzou-3.rnet.missouri.edu
AECI,MIDW,AMD EPYC 7713 64-Core Processor,3.515,16384,225.0,64,2.56,gpn-fiona-mizzou-4.rnet.missouri.edu
AECI,MIDW,AMD EPYC 7713 64-Core Processor,3.515,16384,225.0,64,2.49,gpn-fiona-mizzou-5.rnet.missouri.edu
AECI,MIDW,AMD EPYC 7713 64-Core Processor,3.515,16384,225.0,64,2.48,gpn-fiona-mizzou-6.rnet.missouri.edu
AECI,MIDW,Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,6.25,1600,125.0,20,2.17,gpn-fiona-mizzou-7.rnet.missouri.edu
AECI,MIDW,Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,6.25,1600,125.0,20,2.2,gpn-fiona-mizzou-8.rnet.missouri.edu
AECI,MIDW,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,6.25,1600,125.0,20,3.01,gpn-fiona-mizzou-9.rnet.missouri.edu
AECI,MIDW,Intel(R) Xeon(R) Gold 6134 CPU @ 3.20GHz,16.25,128,130.0,8,3.58,gpn-fiona-mizzou.rnet.missouri.edu
AZPS,SW,AMD EPYC 7402P 24-Core Processor,7.5,1152,180.0,24,3.29,pas.phoe.net.internet2.edu
BANC,CAL,AMD EPYC 7443P 24-Core Processor,8.33,576,200.0,24,3.58,k8s-a6000-01.csus.edu
BANC,CAL,AMD EPYC 7402P 24-Core Processor,7.5,1152,180.0,24,3.33,pas.sacr.net.internet2.edu
CISO,CAL,AMD EPYC 7532 32-Core Processor,6.25,2048,200.0,32,2.41,alveo.sdsu.edu
CISO,CAL,AMD EPYC 7402P 24-Core Processor,7.5,576,180.0,24,3.28,bak-hpc1.csub.edu
CISO,CAL,INTEL(R) XEON(R) GOLD 6526Y,12.187,1024,195.0,16,3.49,bak-hpc2.csub.edu
CISO,CAL,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,15.83,200,158.0,10,3.12,clu-fiona2.ucmerced.edu
CISO,CAL,Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,7.77,1296,140.0,18,2.72,cph-blade01.humboldt.edu
CISO,CAL,Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz,8.437,1600,169.0,20,2.73,cph-dgx-node2.humboldt.edu
CISO,CAL,Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz,8.437,1600,169.0,20,3.16,cph-dgx-node5.humboldt.edu
CISO,CAL,Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz,8.437,1600,169.0,20,2.79,cph-dgx-node6.humboldt.edu
CISO,CAL,Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz,8.437,1600,169.0,20,2.97,cph-dgx-node7.humboldt.edu
CISO,CAL,Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz,8.437,1600,169.0,20,3.0,cph-dgx-node8.humboldt.edu
CISO,CAL,Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz,8.437,1600,169.0,20,2.67,cph-dgx-node9.humboldt.edu
CISO,CAL,Intel(R) Xeon(R) Gold 5222 CPU @ 3.80GHz,26.25,32,105.0,4,3.76,cph-perfsonar.humboldt.edu
CISO,CAL,Intel(R) Xeon(R) CPU E5-2687W v3 @ 3.10GHz,16.0,400,160.0,10,3.46,edex.calit2.optiputer.net
CISO,CAL,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,8.055,648,145.0,18,3.42,fiona-dtn-1.calit2.uci.edu
CISO,CAL,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,8.75,576,105.0,12,2.5,fiona8-0.calit2.uci.edu
CISO,CAL,Intel(R) Xeon(R) Gold 6136 CPU @ 3.00GHz,12.5,576,150.0,12,3.59,fiona8-1.calit2.uci.edu
CISO,CAL,AMD EPYC 7551P 32-Core Processor,5.625,2048,180.0,32,2.49,fiona8.ucsc.edu
CISO,CAL,AMD EPYC 9254 24-Core Processor,8.33,2304,200.0,24,3.71,k8s-100g-dtn-6.ucsc.edu
CISO,CAL,Intel(R) Xeon(R) Gold 6136 CPU @ 3.00GHz,12.5,576,150.0,12,3.25,k8s-chase-ci-01.calit2.optiputer.net
