grid,region,name,power_per_core,available_cores,tdp_watts,physical_cores,clock_speed_ghz
AECI,MIDW,"Average of [AMD EPYC 7713 64-Core Processor, Intel(R) Xeon(R) Gold 6134 CPU @ 3.20GHz, Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz, Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz]",6.1325,8808,175.625,40.5,2.6238
AZPS,SW,Average of [AMD EPYC 7402P 24-Core Processor],7.5,1152,180.0,24,3.29
BANC,CAL,"Average of [AMD EPYC 7402P 24-Core Processor, AMD EPYC 7443P 24-Core Processor]",7.915,864,190.0,24,3.455
CISO,CAL,"Average of [AMD EPYC 7252 8-Core Processor, AMD EPYC 7343 16-Core Processor, AMD EPYC 7401P 24-Core Processor, AMD EPYC 7402 24-Core Processor, AMD EPYC 7402P 24-Core Processor, AMD EPYC 7443P 24-Core Processor, AMD EPYC 7453 28-Core Processor, AMD EPYC 7532 32-Core Processor, AMD EPYC 7551P 32-Core Processor, AMD EPYC 7742 64-Core Processor, AMD EPYC 9254 24-Core Processor, AMD EPYC 9334 32-Core Processor, AMD EPYC 9554 64-Core Processor, AMD EPYC 9684X 96-Core Processor, INTEL(R) XEON(R) GOLD 6526Y, Intel(R) Core(TM) i9-9820X CPU @ 3.30GHz, Intel(R) Xeon(R) CPU E5-1660 v4 @ 3.20GHz, Intel(R) Xeon(R) CPU E5-1680 v4 @ 3.40GHz, Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz, Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz, Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz, Intel(R) Xeon(R) CPU E5-2667 v4 @ 3.20GHz, Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz, Intel(R) Xeon(R) CPU E5-2687W v3 @ 3.10GHz, Intel(R) Xeon(R) CPU E5-2697 v3 @ 2.60GHz, Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz, Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz, Intel(R) Xeon(R) Gold 5222 CPU @ 3.80GHz, Intel(R) Xeon(R) Gold 6136 CPU @ 3.00GHz, Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz, Intel(R) Xeon(R) Gold 6226 CPU @ 2.70GHz, Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz, Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz, Intel(R) Xeon(R) Gold 6346 CPU @ 3.10GHz, Intel(R) Xeon(R) Gold 6430, Intel(R) Xeon(R) Silver 4114 CPU @ 2.20GHz, Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz, Intel(R) Xeon(R) Silver 4410Y, Intel(R) Xeon(R) W-3223 CPU @ 3.50GHz]",10.5164,1763,163.7365,20.43,2.8872
DUK,CAR,"Average of [AMD EPYC 7402P 24-Core Processor, AMD EPYC 7453 28-Core Processor, Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz]",7.835,1004,192.5,24.5,3.15
EPE,SW,Average of [AMD EPYC 7402P 24-Core Processor],7.5,1152,180.0,24,3.32
ERCO,TEX,Average of [AMD EPYC 7402P 24-Core Processor],7.5,1152,180.0,24,3.19
IPCO,NW,Average of [AMD EPYC 7402P 24-Core Processor],7.5,1152,180.0,24,3.22
ISNE,NE,"Average of [AMD EPYC 7402P 24-Core Processor, AMD EPYC 7502 32-Core Processor, AMD EPYC 9254 24-Core Processor]",6.2357,3311,182.6667,29.87,3.0813
JEA,FLA,Average of [AMD EPYC 7402P 24-Core Processor],7.5,1152,180.0,24,3.23
LDWP,CAL,"Average of [AMD EPYC 7402P 24-Core Processor, AMD EPYC 7453 28-Core Processor]",7.6338,1060,191.25,25,3.1125
MISO,MIDW,"Average of [AMD EPYC 7262 8-Core Processor, AMD EPYC 7402P 24-Core Processor, AMD EPYC 7713 64-Core Processor, Intel(R) Xeon(R) Gold 5115 CPU @ 2.40GHz, Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz]",9.3983,3355,160.8333,24,3.1717
NEVP,NW,Average of [AMD EPYC 7402P 24-Core Processor],7.5,1152,180.0,24,3.31
NWMT,NW,Average of [AMD EPYC 7402P 24-Core Processor],7.5,1152,180.0,24,3.22
NYIS,NY,"Average of [AMD EPYC 7402P 24-Core Processor, AMD EPYC 7443P 24-Core Processor, AMD EPYC 7451 24-Core Processor, AMD EPYC 7552 48-Core Processor, Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz]",7.8322,2419,172.0,25.2,2.898
PACE,NW,Average of [AMD EPYC 7402P 24-Core Processor],7.5,1152,180.0,24,3.28
PGE,NW,Average of [AMD EPYC 7402P 24-Core Processor],7.5,1152,180.0,24,3.23
PJM,MIDA,"Average of [AMD EPYC 7252 8-Core Processor, AMD EPYC 7402P 24-Core Processor, Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz, Intel(R) Xeon(R) Silver 4310 CPU @ 2.10GHz]",8.6932,913,160.4545,20,3.1373
PNM,SW,Average of [AMD EPYC 7443P 24-Core Processor],8.33,576,200.0,24,3.69
PSCO,NW,Average of [AMD EPYC 7402P 24-Core Processor],7.5,1152,180.0,24,3.34
SCL,NW,Average of [AMD EPYC 7402P 24-Core Processor],7.5,1152,180.0,24,3.31
SOCO,SE,"Average of [AMD EPYC 7402P 24-Core Processor, Intel(R) Xeon(R) E E-2456, Intel(R) Xeon(R) E-2374G CPU @ 3.70GHz, Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz]",15.1186,253,122.8571,9.43,3.6257
SWPP,CENT,"Average of [AMD EPYC 7282 16-Core Processor, AMD EPYC 7402P 24-Core Processor, AMD EPYC 7443P 24-Core Processor, AMD EPYC 7502 32-Core Processor, AMD EPYC 7713 64-Core Processor, Intel(R) Xeon(R) 6517P, Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz, Intel(R) Xeon(R) Gold 6134 CPU @ 3.20GHz]",7.9754,3343,166.7308,28,2.9554
TEPC,SW,Average of [AMD EPYC 7402P 24-Core Processor],7.5,1152,180.0,24,3.17
TVA,TEN,Average of [INTEL(R) XEON(R) SILVER 4509Y],15.625,128,125.0,8,3.405
WACM,NW,"Average of [AMD EPYC 7713 64-Core Processor, Intel(R) Xeon(R) CPU E5-2643 v4 @ 3.40GHz, Intel(R) Xeon(R) Gold 6134 CPU @ 3.20GHz]",17.4217,2840,183.3333,26,3.2967
