overhead_min,policy,source_grid,dest_grid,start_ts,total_carbon_kgco2eq,baseline_carbon_kgco2eq,migration_count
0,2,BANC,CISO,1577836800,75.453,76.253,2
0,2,BANC,CISO,1579154400,81.548,81.548,0
0,2,BANC,CISO,1580472000,55.83,55.83,0
0,2,BANC,CISO,1581789600,51.062,52.267,4
0,2,BANC,CISO,1583107200,52.333,52.43,2
0,2,BANC,CISO,1584424800,83.316,83.316,0
0,2,BANC,CISO,1585742400,44.283,44.33,2
0,2,BANC,CISO,1587060000,33.313,33.313,0
0,2,BANC,CISO,1588377600,38.903,42.749,5
0,2,BANC,CISO,1589695200,38.038,42.187,4
0,2,BANC,CISO,1591012800,42.378,42.378,0
0,2,BANC,CISO,1592330400,39.351,40.383,4
0,2,BANC,CISO,1593648000,37.587,37.688,2
0,2,BANC,CISO,1594965600,55.127,55.204,4
0,2,BANC,CISO,1596283200,56.231,56.684,4
0,2,BANC,CISO,1597600800,78.197,78.197,0
0,2,BANC,CISO,1598918400,75.058,75.022,4
0,2,BANC,CISO,1600236000,80.174,80.174,0
0,2,BANC,CISO,1601553600,81.036,81.036,0
0,2,BANC,CISO,1602871200,74.249,74.249,0
0,2,BANC,CISO,1604188800,86.497,87.09,2
0,2,BANC,CISO,1605506400,91.418,93.475,4
0,2,BANC,CISO,1606824000,106.832,108.643,4
0,2,BANC,CISO,1608141600,91.201,91.972,6
0,6,BANC,CISO,1577836800,76.253,76.253,0
0,6,BANC,CISO,1579154400,81.548,81.548,0
0,6,BANC,CISO,1580472000,55.83,55.83,0
0,6,BANC,CISO,1581789600,52.267,52.267,0
0,6,BANC,CISO,1583107200,52.43,52.43,0
0,6,BANC,CISO,1584424800,83.316,83.316,0
0,6,BANC,CISO,1585742400,44.33,44.33,0
0,6,BANC,CISO,1587060000,33.313,33.313,0
0,6,BANC,CISO,1588377600,41.117,42.749,1
0,6,BANC,CISO,1589695200,42.187,42.187,0
0,6,BANC,CISO,1591012800,42.378,42.378,0
0,6,BANC,CISO,1592330400,40.383,40.383,0
0,6,BANC,CISO,1593648000,37.688,37.688,0
0,6,BANC,CISO,1594965600,55.204,55.204,0
0,6,BANC,CISO,1596283200,56.684,56.684,0
0,6,BANC,CISO,1597600800,78.197,78.197,0
0,6,BANC,CISO,1598918400,75.022,75.022,0
0,6,BANC,CISO,1600236000,80.174,80.174,0
0,6,BANC,CISO,1601553600,81.036,81.036,0
0,6,BANC,CISO,1602871200,74.249,74.249,0
0,6,BANC,CISO,1604188800,87.09,87.09,0
0,6,BANC,CISO,1605506400,93.475,93.475,0
0,6,BANC,CISO,1606824000,108.643,108.643,0
0,6,BANC,CISO,1608141600,91.972,91.972,0
0,2,CISO,BANC,1577836800,77.233,130.428,3
0,2,CISO,BANC,1579154400,83.411,140.472,1
0,2,CISO,BANC,1580472000,57.556,117.952,1
0,2,CISO,BANC,1581789600,51.182,103.569,5
0,2,CISO,BANC,1583107200,52.851,104.144,3
0,2,CISO,BANC,1584424800,84.87,135.48,1
0,2,CISO,BANC,1585742400,45.644,79.732,3
0,2,CISO,BANC,1587060000,33.344,80.679,1
0,2,CISO,BANC,1588377600,38.823,56.36,4
0,2,CISO,BANC,1589695200,39.029,62.849,5
0,2,CISO,BANC,1591012800,43.464,94.687,1
0,2,CISO,BANC,1592330400,39.089,66.377,3
0,2,CISO,BANC,1593648000,38.15,73.665,3
0,2,CISO,BANC,1594965600,56.289,90.516,5
0,2,CISO,BANC,1596283200,57.218,92.419,5
0,2,CISO,BANC,1597600800,78.689,127.384,1
0,2,CISO,BANC,1598918400,75.944,110.116,5
0,2,CISO,BANC,1600236000,81.403,126.99,1
0,2,CISO,BANC,1601553600,82.318,129.978,1
0,2,CISO,BANC,1602871200,74.766,142.021,1
0,2,CISO,BANC,1604188800,87.91,143.8,3
0,2,CISO,BANC,1605506400,93.105,123.623,5
0,2,CISO,BANC,1606824000,107.079,121.375,5
0,2,CISO,BANC,1608141600,91.787,120.762,7
0,6,CISO,BANC,1577836800,78.033,130.428,1
0,6,CISO,BANC,1579154400,83.411,140.472,1
0,6,CISO,BANC,1580472000,57.556,117.952,1
0,6,CISO,BANC,1581789600,52.387,103.569,1
0,6,CISO,BANC,1583107200,52.948,104.144,1
0,6,CISO,BANC,1584424800,84.87,135.48,1
0,6,CISO,BANC,1585742400,45.691,79.732,1
0,6,CISO,BANC,1587060000,33.344,80.679,1
0,6,CISO,BANC,1588377600,41.037,56.36,2
0,6,CISO,BANC,1589695200,43.178,62.849,1
0,6,CISO,BANC,1591012800,43.464,94.687,1
0,6,CISO,BANC,1592330400,40.121,66.377,1
0,6,CISO,BANC,1593648000,38.251,73.665,1
0,6,CISO,BANC,1594965600,56.366,90.516,1
0,6,CISO,BANC,1596283200,57.672,92.419,1
0,6,CISO,BANC,1597600800,78.689,127.384,1
0,6,CISO,BANC,1598918400,75.908,110.116,1
0,6,CISO,BANC,1600236000,81.403,126.99,1
0,6,CISO,BANC,1601553600,82.318,129.978,1
0,6,CISO,BANC,1602871200,74.766,142.021,1
0,6,CISO,BANC,1604188800,88.504,143.8,1
0,6,CISO,BANC,1605506400,95.162,123.623,1
0,6,CISO,BANC,1606824000,108.889,121.375,1
0,6,CISO,BANC,1608141600,92.558,120.762,1
5,2,BANC,CISO,1577836800,77.274,77.755,2
5,2,BANC,CISO,1579154400,81.548,81.548,0
5,2,BANC,CISO,1580472000,55.83,55.83,0
5,2,BANC,CISO,1581789600,53.075,53.687,5
5,2,BANC,CISO,1583107200,53.594,53.467,2
5,2,BANC,CISO,1584424800,83.316,83.316,0
5,2,BANC,CISO,1585742400,45.279,45.136,2
5,2,BANC,CISO,1587060000,33.313,33.313,0
