overhead_min,policy,source_grid,dest_grid,start_ts,total_carbon_kgco2eq,baseline_carbon_kgco2eq,migration_count
0,6,BANC,CISO,1577836800,76.253,76.253,0
0,6,BANC,CISO,1579154400,81.548,81.548,0
0,6,BANC,CISO,1580472000,55.83,55.83,0
0,6,BANC,CISO,1581789600,52.267,52.267,0
0,6,BANC,CISO,1583107200,52.43,52.43,0
0,6,BANC,CISO,1584424800,83.316,83.316,0
0,6,BANC,CISO,1585742400,44.33,44.33,0
0,6,BANC,CISO,1587060000,33.313,33.313,0
0,6,BANC,CISO,1588377600,41.787,42.749,1
0,6,BANC,CISO,1589695200,42.187,42.187,0
0,6,BANC,CISO,1591012800,42.378,42.378,0
0,6,BANC,CISO,1592330400,40.383,40.383,0
0,6,BANC,CISO,1593648000,37.688,37.688,0
0,6,BANC,CISO,1594965600,55.204,55.204,0
0,6,BANC,CISO,1596283200,56.684,56.684,0
0,6,BANC,CISO,1597600800,78.197,78.197,0
0,6,BANC,CISO,1598918400,75.022,75.022,0
0,6,BANC,CISO,1600236000,80.174,80.174,0
0,6,BANC,CISO,1601553600,81.036,81.036,0
0,6,BANC,CISO,1602871200,74.249,74.249,0
0,6,BANC,CISO,1604188800,87.09,87.09,0
0,6,BANC,CISO,1605506400,93.475,93.475,0
0,6,BANC,CISO,1606824000,108.643,108.643,0
0,6,BANC,CISO,1608141600,91.972,91.972,0
0,6,CISO,BANC,1577836800,78.033,130.428,1
0,6,CISO,BANC,1579154400,83.411,140.472,1
0,6,CISO,BANC,1580472000,57.556,117.952,1
0,6,CISO,BANC,1581789600,52.387,103.569,1
0,6,CISO,BANC,1583107200,52.948,104.144,1
0,6,CISO,BANC,1584424800,84.87,135.48,1
0,6,CISO,BANC,1585742400,45.691,79.732,1
0,6,CISO,BANC,1587060000,33.344,80.679,1
0,6,CISO,BANC,1588377600,41.707,56.36,2
0,6,CISO,BANC,1589695200,43.178,62.849,1
0,6,CISO,BANC,1591012800,43.464,94.687,1
0,6,CISO,BANC,1592330400,40.121,66.377,1
0,6,CISO,BANC,1593648000,38.251,73.665,1
0,6,CISO,BANC,1594965600,56.366,90.516,1
0,6,CISO,BANC,1596283200,57.672,92.419,1
0,6,CISO,BANC,1597600800,78.689,127.384,1
0,6,CISO,BANC,1598918400,75.908,110.116,1
0,6,CISO,BANC,1600236000,81.403,126.99,1
0,6,CISO,BANC,1601553600,82.318,129.978,1
0,6,CISO,BANC,1602871200,74.766,142.021,1
0,6,CISO,BANC,1604188800,88.504,143.8,1
0,6,CISO,BANC,1605506400,95.162,123.623,1
0,6,CISO,BANC,1606824000,108.889,121.375,1
0,6,CISO,BANC,1608141600,92.558,120.762,1
5,6,BANC,CISO,1577836800,76.253,76.253,0
5,6,BANC,CISO,1579154400,81.548,81.548,0
5,6,BANC,CISO,1580472000,55.83,55.83,0
5,6,BANC,CISO,1581789600,52.267,52.267,0
5,6,BANC,CISO,1583107200,52.43,52.43,0
5,6,BANC,CISO,1584424800,83.316,83.316,0
5,6,BANC,CISO,1585742400,44.33,44.33,0
5,6,BANC,CISO,1587060000,33.313,33.313,0
5,6,BANC,CISO,1588377600,42.536,43.544,1
5,6,BANC,CISO,1589695200,42.187,42.187,0
5,6,BANC,CISO,1591012800,42.378,42.378,0
5,6,BANC,CISO,1592330400,40.383,40.383,0
5,6,BANC,CISO,1593648000,37.688,37.688,0
5,6,BANC,CISO,1594965600,55.204,55.204,0
5,6,BANC,CISO,1596283200,56.684,56.684,0
5,6,BANC,CISO,1597600800,78.197,78.197,0
5,6,BANC,CISO,1598918400,75.022,75.022,0
5,6,BANC,CISO,1600236000,80.174,80.174,0
5,6,BANC,CISO,1601553600,81.036,81.036,0
5,6,BANC,CISO,1602871200,74.249,74.249,0
5,6,BANC,CISO,1604188800,87.09,87.09,0
5,6,BANC,CISO,1605506400,93.475,93.475,0
5,6,BANC,CISO,1606824000,108.643,108.643,0
5,6,BANC,CISO,1608141600,91.972,91.972,0
5,6,CISO,BANC,1577836800,79.791,133.596,1
5,6,CISO,BANC,1579154400,85.396,143.954,1
5,6,CISO,BANC,1580472000,59.104,120.693,1
5,6,CISO,BANC,1581789600,53.931,104.847,1
5,6,CISO,BANC,1583107200,54.14,106.009,1
5,6,CISO,BANC,1584424800,87.248,138.572,1
5,6,CISO,BANC,1585742400,46.676,81.722,1
5,6,CISO,BANC,1587060000,34.071,81.482,1
5,6,CISO,BANC,1588377600,42.534,57.048,2
5,6,CISO,BANC,1589695200,44.327,64.365,1
5,6,CISO,BANC,1591012800,44.669,97.07,1
5,6,CISO,BANC,1592330400,40.913,67.397,1
5,6,CISO,BANC,1593648000,39.129,75.098,1
5,6,CISO,BANC,1594965600,57.624,92.803,1
5,6,CISO,BANC,1596283200,59.035,94.38,1
5,6,CISO,BANC,1597600800,80.466,129.72,1
5,6,CISO,BANC,1598918400,77.237,112.244,1
5,6,CISO,BANC,1600236000,83.481,129.943,1
5,6,CISO,BANC,1601553600,84.228,132.794,1
5,6,CISO,BANC,1602871200,76.511,143.701,1
5,6,CISO,BANC,1604188800,89.863,146.605,1
5,6,CISO,BANC,1605506400,97.667,126.344,1
5,6,CISO,BANC,1606824000,111.736,124.252,1
5,6,CISO,BANC,1608141600,94.222,122.495,1
10,6,BANC,CISO,1577836800,76.253,76.253,0
10,6,BANC,CISO,1579154400,81.548,81.548,0
10,6,BANC,CISO,1580472000,55.83,55.83,0
10,6,BANC,CISO,1581789600,52.267,52.267,0
10,6,BANC,CISO,1583107200,52.43,52.43,0
10,6,BANC,CISO,1584424800,83.316,83.316,0
10,6,BANC,CISO,1585742400,44.33,44.33,0
10,6,BANC,CISO,1587060000,33.313,33.313,0
10,6,BANC,CISO,1588377600,42.595,43.544,1
10,6,BANC,CISO,1589695200,42.187,42.187,0
10,6,BANC,CISO,1591012800,42.378,42.378,0
10,6,BANC,CISO,1592330400,40.383,40.383,0
10,6,BANC,CISO,1593648000,37.688,37.688,0
10,6,BANC,CISO,1594965600,55.204,55.204,0
10,6,BANC,CISO,1596283200,56.684,56.684,0
10,6,BANC,CISO,1597600800,78.197,78.197,0
10,6,BANC,CISO,1598918400,75.022,75.022,0
10,6,BANC,CISO,1600236000,80.174,80.174,0
10,6,BANC,CISO,1601553600,81.036,81.036,0
10,6,BANC,CISO,1602871200,74.249,74.249,0
10,6,BANC,CISO,1604188800,87.09,87.09,0
10,6,BANC,CISO,1605506400,93.475,93.475,0
10,6,BANC,CISO,1606824000,108.643,108.643,0
10,6,BANC,CISO,1608141600,91.972,91.972,0
10,6,CISO,BANC,1577836800,80.048,133.596,1
10,6,CISO,BANC,1579154400,85.693,143.954,1
10,6,CISO,BANC,1580472000,59.358,120.693,1
10,6,CISO,BANC,1581789600,54.055,104.847,1
10,6,CISO,BANC,1583107200,54.295,106.009,1
10,6,CISO,BANC,1584424800,87.527,138.572,1
10,6,CISO,BANC,1585742400,46.855,81.722,1
10,6,CISO,BANC,1587060000,34.145,81.482,1
10,6,CISO,BANC,1588377600,42.672,57.048,2
10,6,CISO,BANC,1589695200,44.483,64.365,1
10,6,CISO,BANC,1591012800,44.827,97.07,1
10,6,CISO,BANC,1592330400,40.969,67.397,1
10,6,CISO,BANC,1593648000,39.243,75.098,1
10,6,CISO,BANC,1594965600,57.801,92.803,1
10,6,CISO,BANC,1596283200,59.228,94.38,1
10,6,CISO,BANC,1597600800,80.645,129.72,1
10,6,CISO,BANC,1598918400,77.411,112.244,1
10,6,CISO,BANC,1600236000,83.726,129.943,1
10,6,CISO,BANC,1601553600,84.481,132.794,1
10,6,CISO,BANC,1602871200,76.696,143.701,1
10,6,CISO,BANC,1604188800,90.099,146.605,1
10,6,CISO,BANC,1605506400,97.916,126.344,1
10,6,CISO,BANC,1606824000,111.962,124.252,1
10,6,CISO,BANC,1608141600,94.397,122.495,1
15,6,BANC,CISO,1577836800,76.253,76.253,0
15,6,BANC,CISO,1579154400,81.548,81.548,0
15,6,BANC,CISO,1580472000,55.83,55.83,0
15,6,BANC,CISO,1581789600,52.267,52.267,0
