overhead_min,policy,source_grid,dest_grid,start_ts,total_carbon_kgco2eq,baseline_carbon_kgco2eq,migration_count
0,1,AECI,EPE,1577836800,171.652,171.652,0
0,1,AECI,EPE,1579154400,184.829,184.829,0
0,1,AECI,EPE,1580472000,179.08,179.08,0
0,1,AECI,EPE,1581789600,190.047,190.047,0
0,1,AECI,EPE,1583107200,177.533,177.533,0
0,1,AECI,EPE,1584424800,173.609,173.609,0
0,1,AECI,EPE,1585742400,130.078,130.078,0
0,1,AECI,EPE,1587060000,146.519,146.519,0
0,1,AECI,EPE,1588377600,154.192,154.192,0
0,1,AECI,EPE,1589695200,158.058,158.058,0
0,1,AECI,EPE,1591012800,151.782,151.782,0
0,1,AECI,EPE,1592330400,159.195,159.195,0
0,1,AECI,EPE,1593648000,183.868,183.868,0
0,1,AECI,EPE,1594965600,175.21,175.21,0
0,1,AECI,EPE,1596283200,180.832,180.832,0
0,1,AECI,EPE,1597600800,201.072,201.072,0
0,1,AECI,EPE,1598918400,180.384,180.384,0
0,1,AECI,EPE,1600236000,202.899,202.899,0
0,1,AECI,EPE,1601553600,182.573,182.573,0
0,1,AECI,EPE,1602871200,178.75,178.75,0
0,1,AECI,EPE,1604188800,219.569,219.569,0
0,1,AECI,EPE,1605506400,205.232,205.232,0
0,1,AECI,EPE,1606824000,196.187,196.187,0
0,1,AECI,EPE,1608141600,194.483,194.483,0
0,2,AECI,EPE,1577836800,171.766,171.652,2
0,2,AECI,EPE,1579154400,184.602,184.829,4
0,2,AECI,EPE,1580472000,167.125,179.08,4
0,2,AECI,EPE,1581789600,174.684,190.047,7
0,2,AECI,EPE,1583107200,172.929,177.533,4
0,2,AECI,EPE,1584424800,173.45,173.609,4
0,2,AECI,EPE,1585742400,130.078,130.078,0
0,2,AECI,EPE,1587060000,145.593,146.519,3
0,2,AECI,EPE,1588377600,152.42,154.192,3
0,2,AECI,EPE,1589695200,157.642,158.058,2
0,2,AECI,EPE,1591012800,151.782,151.782,0
0,2,AECI,EPE,1592330400,159.315,159.195,2
0,2,AECI,EPE,1593648000,183.071,183.868,6
0,2,AECI,EPE,1594965600,175.21,175.21,0
0,2,AECI,EPE,1596283200,180.513,180.832,2
0,2,AECI,EPE,1597600800,198.988,201.072,3
0,2,AECI,EPE,1598918400,180.449,180.384,4
0,2,AECI,EPE,1600236000,191.701,202.899,4
0,2,AECI,EPE,1601553600,182.608,182.573,4
0,2,AECI,EPE,1602871200,179.278,178.75,4
0,2,AECI,EPE,1604188800,201.054,219.569,5
0,2,AECI,EPE,1605506400,193.768,205.232,8
0,2,AECI,EPE,1606824000,186.827,196.187,4
0,2,AECI,EPE,1608141600,192.466,194.483,4
0,3,AECI,EPE,1577836800,201.929,171.652,1
0,3,AECI,EPE,1579154400,206.611,184.829,1
0,3,AECI,EPE,1580472000,168.682,179.08,2
0,3,AECI,EPE,1581789600,176.906,190.047,1
0,3,AECI,EPE,1583107200,202.005,177.533,1
0,3,AECI,EPE,1584424800,196.369,173.609,2
0,3,AECI,EPE,1585742400,134.084,130.078,3
0,3,AECI,EPE,1587060000,171.715,146.519,1
0,3,AECI,EPE,1588377600,183.522,154.192,1
0,3,AECI,EPE,1589695200,186.473,158.058,2
0,3,AECI,EPE,1591012800,151.782,151.782,0
0,3,AECI,EPE,1592330400,162.546,159.195,1
0,3,AECI,EPE,1593648000,197.901,183.868,1
0,3,AECI,EPE,1594965600,201.888,175.21,4
0,3,AECI,EPE,1596283200,191.491,180.832,2
0,3,AECI,EPE,1597600800,214.594,201.072,1
0,3,AECI,EPE,1598918400,202.521,180.384,3
0,3,AECI,EPE,1600236000,199.214,202.899,1
0,3,AECI,EPE,1601553600,193.596,182.573,2
0,3,AECI,EPE,1602871200,181.086,178.75,1
0,3,AECI,EPE,1604188800,215.111,219.569,1
0,3,AECI,EPE,1605506400,198.317,205.232,2
0,3,AECI,EPE,1606824000,195.647,196.187,3
0,3,AECI,EPE,1608141600,211.621,194.483,3
0,4,AECI,EPE,1577836800,171.652,171.652,0
0,4,AECI,EPE,1579154400,184.829,184.829,0
0,4,AECI,EPE,1580472000,172.897,179.08,2
0,4,AECI,EPE,1581789600,178.024,190.047,2
