overhead_min,policy,mean_total_carbon_kgco2eq,std_total_carbon_kgco2eq,mean_migration_count,n_samples
0,1,39.611,18.62,0,24
0,2,36.045,16.889,5.583,24
0,3,38.21,18.084,1.25,24
0,4,37.389,17.404,0.625,24
0,5,35.585,16.767,5.625,24
0,6,37.176,17.184,0.208,24
5,1,39.611,18.62,0,24
5,2,37.218,17.492,5.625,24
5,3,38.896,18.428,1.125,24
5,4,37.624,17.544,0.458,24
5,5,36.775,17.385,5.792,24
5,6,37.398,17.331,0.208,24
10,1,39.611,18.62,0,24
10,2,38.295,18.17,5.75,24
10,3,38.98,18.476,1.125,24
10,4,37.526,17.423,0.292,24
10,5,37.749,18.011,5.875,24
10,6,37.405,17.331,0.208,24
15,1,39.611,18.62,0,24
15,2,39.16,18.638,5.833,24
15,3,39.064,18.525,1.125,24
15,4,37.494,17.415,0.208,24
15,5,38.59,18.483,6,24
15,6,37.421,17.343,0.208,24
20,1,39.611,18.62,0,24
20,2,40.102,19.2,5.917,24
20,3,39.204,18.647,1.167,24
20,4,37.563,17.487,0.208,24
20,5,39.577,19.098,6.083,24
20,6,37.433,17.35,0.167,24
30,1,39.611,18.62,0,24
30,2,42.317,20.573,6.25,24
30,3,39.465,18.849,1.167,24
30,4,37.594,17.507,0.208,24
30,5,41.661,20.326,6.375,24
30,6,37.455,17.359,0.167,24
45,1,39.611,18.62,0,24
45,2,45.907,22.813,6.583,24
45,3,40.371,19.33,1.292,24
45,4,37.49,17.387,0.167,24
45,5,45.032,22.502,6.667,24
45,6,37.488,17.375,0.167,24
60,1,39.611,18.62,0,24
60,2,49.481,25.472,6.875,24
60,3,40.725,19.62,1.292,24
60,4,37.517,17.382,0.167,24
60,5,48.373,24.926,6.917,24
60,6,37.521,17.39,0.167,24
90,1,39.611,18.62,0,24
90,2,57.227,30.292,7,24
90,3,42.09,20.06,1.292,24
90,4,37.82,17.518,0.125,24
90,5,56.211,30.177,7.125,24
90,6,37.738,17.492,0.167,24
120,1,39.611,18.62,0,24
120,2,69.447,41.121,8.167,24
120,3,42.871,20.555,1.25,24
120,4,37.96,17.604,0.125,24
120,5,67.346,39.83,8.208,24
120,6,37.804,17.529,0.167,24
180,1,39.611,18.62,0,24
180,2,87.982,55.773,8.333,24
180,3,48.197,24.937,1.667,24
180,4,38.377,17.871,0.042,24
180,5,85.868,54.827,8.458,24
180,6,37.985,17.593,0.125,24
240,1,39.611,18.62,0,24
240,2,107.657,75.98,8.417,24
240,3,51.815,31.949,1.625,24
240,4,38.618,17.866,0.042,24
240,5,105.857,75.242,8.625,24
240,6,38.184,17.692,0.125,24
360,1,39.611,18.62,0,24
360,2,144.854,99.622,8.5,24
360,3,57.855,35.19,1.625,24
360,4,39.611,18.62,0,24
360,5,140.889,96.804,8.583,24
360,6,38.59,17.94,0.125,24
