overhead_min,start_ts,source_grid_chosen,policy,total_carbon_kgco2eq,migration_count,dest_grids_visited
0,1577836800,ISNE,1,48.2,0,
0,1579154400,ISNE,1,53.59,0,
0,1580472000,ISNE,1,56.508,0,
0,1581789600,PGE,1,36.054,0,
0,1583107200,PGE,1,42.213,0,
0,1584424800,ISNE,1,42.377,0,
0,1585742400,BANC,1,44.33,0,
0,1587060000,IPCO,1,64.871,0,
0,1588377600,PGE,1,15.283,0,
0,1589695200,PGE,1,7.918,0,
0,1591012800,PGE,1,3.769,0,
0,1592330400,PGE,1,3.207,0,
0,1593648000,PGE,1,4.802,0,
0,1594965600,PGE,1,33.633,0,
0,1596283200,PGE,1,44.201,0,
0,1597600800,PGE,1,57.441,0,
0,1598918400,PGE,1,56.229,0,
0,1600236000,ISNE,1,62.614,0,
0,1601553600,ISNE,1,58.707,0,
0,1602871200,PGE,1,44.825,0,
0,1604188800,PGE,1,38.972,0,
0,1605506400,ISNE,1,48.474,0,
0,1606824000,ISNE,1,42.761,0,
0,1608141600,PGE,1,39.69,0,
0,1577836800,ISNE,2,47.666,9,BANC|ISNE|PGE|IPCO|PGE|ISNE|PGE|ISNE|PGE
0,1579154400,ISNE,2,48.142,5,PGE|ISNE|PGE|ISNE|PGE
0,1580472000,ISNE,2,44.366,12,PGE|IPCO|PGE|IPCO|PGE|ISNE|PGE|IPCO|PGE|BANC|PGE|ISNE
0,1581789600,PGE,2,36.209,6,BANC|PGE|BANC|PGE|BANC|PGE
0,1583107200,PGE,2,41.895,9,BANC|PGE|ISNE|PGE|BANC|ISNE|PGE|BANC|PGE
0,1584424800,ISNE,2,42.377,0,
0,1585742400,BANC,2,37.043,6,IPCO|BANC|ISNE|BANC|IPCO|BANC
0,1587060000,IPCO,2,29.658,3,BANC|IPCO|BANC
0,1588377600,PGE,2,12.691,4,ISNE|IPCO|ISNE|PGE
0,1589695200,PGE,2,7.918,0,
0,1591012800,PGE,2,3.769,0,
0,1592330400,PGE,2,3.211,2,IPCO|PGE
0,1593648000,PGE,2,4.802,0,
0,1594965600,PGE,2,33.851,10,IPCO|PGE|IPCO|PGE|IPCO|PGE|IPCO|PGE|BANC|PGE
0,1596283200,PGE,2,42.694,7,IPCO|PGE|IPCO|BANC|PGE|IPCO|PGE
0,1597600800,PGE,2,55.489,8,ISNE|PGE|ISNE|PGE|ISNE|PGE|ISNE|PGE
0,1598918400,PGE,2,54.629,8,ISNE|PGE|ISNE|PGE|ISNE|PGE|ISNE|PGE
0,1600236000,ISNE,2,60.659,7,DUK|ISNE|PGE|ISNE|PGE|BANC|ISNE
0,1601553600,ISNE,2,57.391,7,PGE|ISNE|PGE|DUK|ISNE|PGE|ISNE
0,1602871200,PGE,2,43.385,12,ISNE|PGE|ISNE|PGE|IPCO|PGE|ISNE|NYIS|ISNE|PGE|NYIS|PGE
0,1604188800,PGE,2,36.421,4,NWMT|PGE|NWMT|PGE
0,1605506400,ISNE,2,39.109,7,PGE|ISNE|PGE|ISNE|PGE|ISNE|PGE
0,1606824000,ISNE,2,42.014,8,PGE|ISNE|PGE|ISNE|PGE|ISNE|PGE|ISNE
0,1608141600,PGE,2,39.69,0,
0,1577836800,ISNE,3,55.758,3,PGE|ISNE|PGE
0,1579154400,ISNE,3,50.007,1,PGE
0,1580472000,ISNE,3,44.222,3,PGE|NYIS|PGE
0,1581789600,PGE,3,36.054,0,
0,1583107200,PGE,3,42.213,0,
0,1584424800,ISNE,3,49.946,3,NYIS|ISNE|NYIS
0,1585742400,BANC,3,44.33,0,
0,1587060000,IPCO,3,32.693,2,BANC|CISO
0,1588377600,PGE,3,15.283,0,
0,1589695200,PGE,3,7.918,0,
0,1591012800,PGE,3,3.769,0,
0,1592330400,PGE,3,3.211,2,IPCO|PGE
0,1593648000,PGE,3,4.802,0,
0,1594965600,PGE,3,33.747,1,BANC
0,1596283200,PGE,3,43.493,2,BANC|PGE
0,1597600800,PGE,3,57.441,0,
0,1598918400,PGE,3,56.229,0,
0,1600236000,ISNE,3,66.527,2,PGE|DUK
0,1601553600,ISNE,3,61.031,2,PGE|ISNE
0,1602871200,PGE,3,44.81,4,NYIS|PGE|NYIS|PGE
0,1604188800,PGE,3,38.489,2,NWMT|PGE
0,1605506400,ISNE,3,39.688,1,PGE
0,1606824000,ISNE,3,45.684,2,PGE|ISNE
0,1608141600,PGE,3,39.69,0,
0,1577836800,ISNE,4,48.2,0,
0,1579154400,ISNE,4,49.907,3,PGE|ISNE|PGE
0,1580472000,ISNE,4,44.191,1,PGE
0,1581789600,PGE,4,36.054,0,
0,1583107200,PGE,4,42.213,0,
0,1584424800,ISNE,4,42.377,0,
0,1585742400,BANC,4,44.33,0,
0,1587060000,IPCO,4,32.693,1,BANC
0,1588377600,PGE,4,15.283,0,
0,1589695200,PGE,4,7.918,0,
0,1591012800,PGE,4,3.769,0,
0,1592330400,PGE,4,3.207,0,
0,1593648000,PGE,4,4.802,0,
0,1594965600,PGE,4,33.633,0,
0,1596283200,PGE,4,46.245,2,IPCO|PGE
0,1597600800,PGE,4,57.276,2,ISNE|PGE
0,1598918400,PGE,4,56.255,1,ISNE
0,1600236000,ISNE,4,63.106,2,PGE|ISNE
0,1601553600,ISNE,4,59.948,2,PGE|ISNE
0,1602871200,PGE,4,44.825,0,
0,1604188800,PGE,4,38.972,0,
0,1605506400,ISNE,4,39.688,1,PGE
0,1606824000,ISNE,4,42.761,0,
0,1608141600,PGE,4,39.69,0,
0,1577836800,ISNE,5,47.11,9,BANC|ISNE|PGE|IPCO|PGE|ISNE|PGE|ISNE|PGE
0,1579154400,ISNE,5,47.912,5,PGE|ISNE|PGE|ISNE|PGE
0,1580472000,ISNE,5,43.27,12,PGE|IPCO|PGE|IPCO|PGE|ISNE|PGE|IPCO|PGE|BANC|PGE|ISNE
0,1581789600,PGE,5,35.88,6,BANC|PGE|BANC|PGE|BANC|PGE
0,1583107200,PGE,5,40.795,9,BANC|PGE|ISNE|PGE|BANC|ISNE|PGE|BANC|PGE
0,1584424800,ISNE,5,42.377,0,
0,1585742400,BANC,5,35.964,6,IPCO|BANC|ISNE|BANC|IPCO|BANC
0,1587060000,IPCO,5,29.048,3,BANC|IPCO|BANC
0,1588377600,PGE,5,11.916,4,ISNE|IPCO|ISNE|PGE
0,1589695200,PGE,5,7.918,0,
0,1591012800,PGE,5,3.769,0,
0,1592330400,PGE,5,3.061,2,IPCO|PGE
0,1593648000,PGE,5,4.802,0,
0,1594965600,PGE,5,33.361,10,IPCO|PGE|IPCO|PGE|IPCO|PGE|IPCO|PGE|BANC|PGE
0,1596283200,PGE,5,42.28,7,IPCO|PGE|IPCO|BANC|PGE|IPCO|PGE
0,1597600800,PGE,5,55.034,8,ISNE|PGE|ISNE|PGE|ISNE|PGE|ISNE|PGE
0,1598918400,PGE,5,54.3,9,ISNE|PGE|ISNE|PGE|ISNE|PGE|ISNE|PGE|BANC
0,1600236000,ISNE,5,60.009,7,DUK|ISNE|PGE|ISNE|PGE|BANC|ISNE
0,1601553600,ISNE,5,56.836,7,PGE|ISNE|PGE|DUK|ISNE|PGE|ISNE
0,1602871200,PGE,5,42.99,12,ISNE|PGE|ISNE|PGE|IPCO|PGE|ISNE|NYIS|ISNE|PGE|NYIS|PGE
0,1604188800,PGE,5,35.461,4,NWMT|PGE|NWMT|PGE
0,1605506400,ISNE,5,38.672,7,PGE|ISNE|PGE|ISNE|PGE|ISNE|PGE
