direction,start_ts_iso,start_ts_unix,policy,overhead_min,app_size_mb,total_carbon_kgco2eq,migration_count,migration_hours,dest_grids_visited
BANC-CISO,2020-01-16,1579132800,1,30,64.0,81.758,0,,
BANC-CISO,2020-01-16,1579132800,2,30,64.0,81.758,0,,
BANC-CISO,2020-01-16,1579132800,3,30,64.0,88.101,2,39|45,CISO|BANC
BANC-CISO,2020-01-16,1579132800,4,30,64.0,81.758,0,,
BANC-CISO,2020-01-16,1579132800,5,30,64.0,81.758,0,,
BANC-CISO,2020-01-16,1579132800,6,30,64.0,81.758,0,,
BANC-CISO,2020-04-16,1586995200,1,30,64.0,41.561,0,,
BANC-CISO,2020-04-16,1586995200,2,30,64.0,41.561,0,,
BANC-CISO,2020-04-16,1586995200,3,30,64.0,41.561,0,,
BANC-CISO,2020-04-16,1586995200,4,30,64.0,41.561,0,,
BANC-CISO,2020-04-16,1586995200,5,30,64.0,41.561,0,,
BANC-CISO,2020-04-16,1586995200,6,30,64.0,41.561,0,,
BANC-CISO,2020-07-17,1594944000,1,30,64.0,54.816,0,,
BANC-CISO,2020-07-17,1594944000,2,30,64.0,59.283,4,16|19|40|43,CISO|BANC|CISO|BANC
BANC-CISO,2020-07-17,1594944000,3,30,64.0,60.079,2,34|43,CISO|BANC
BANC-CISO,2020-07-17,1594944000,4,30,64.0,54.816,0,,
BANC-CISO,2020-07-17,1594944000,5,30,64.0,58.987,4,15|18|39|42,CISO|BANC|CISO|BANC
BANC-CISO,2020-07-17,1594944000,6,30,64.0,54.816,0,,
BANC-CISO,2020-10-16,1602806400,1,30,64.0,76.567,0,,
BANC-CISO,2020-10-16,1602806400,2,30,64.0,76.567,0,,
BANC-CISO,2020-10-16,1602806400,3,30,64.0,76.567,0,,
BANC-CISO,2020-10-16,1602806400,4,30,64.0,76.567,0,,
BANC-CISO,2020-10-16,1602806400,5,30,64.0,76.567,0,,
BANC-CISO,2020-10-16,1602806400,6,30,64.0,76.567,0,,
CISO-BANC,2020-01-16,1579132800,1,30,64.0,141.077,0,,
CISO-BANC,2020-01-16,1579132800,2,30,64.0,86.418,1,0,BANC
CISO-BANC,2020-01-16,1579132800,3,30,64.0,91.509,3,0|40|45,BANC|CISO|BANC
CISO-BANC,2020-01-16,1579132800,4,30,64.0,86.418,1,0,BANC
CISO-BANC,2020-01-16,1579132800,5,30,64.0,86.418,1,0,BANC
CISO-BANC,2020-01-16,1579132800,6,30,64.0,86.418,1,0,BANC
CISO-BANC,2020-04-16,1586995200,1,30,64.0,83.145,0,,
CISO-BANC,2020-04-16,1586995200,2,30,64.0,42.94,1,0,BANC
CISO-BANC,2020-04-16,1586995200,3,30,64.0,42.94,1,0,BANC
CISO-BANC,2020-04-16,1586995200,4,30,64.0,42.94,1,0,BANC
CISO-BANC,2020-04-16,1586995200,5,30,64.0,42.94,1,0,BANC
CISO-BANC,2020-04-16,1586995200,6,30,64.0,42.94,1,0,BANC
CISO-BANC,2020-07-17,1594944000,1,30,64.0,89.489,0,,
CISO-BANC,2020-07-17,1594944000,2,30,64.0,61.785,5,0|16|19|40|43,BANC|CISO|BANC|CISO|BANC
CISO-BANC,2020-07-17,1594944000,3,30,64.0,61.552,3,0|35|43,BANC|CISO|BANC
CISO-BANC,2020-07-17,1594944000,4,30,64.0,57.243,1,0,BANC
CISO-BANC,2020-07-17,1594944000,5,30,64.0,61.489,5,0|15|18|39|42,BANC|CISO|BANC|CISO|BANC
CISO-BANC,2020-07-17,1594944000,6,30,64.0,57.243,1,0,BANC
CISO-BANC,2020-10-16,1602806400,1,30,64.0,144.791,0,,
CISO-BANC,2020-10-16,1602806400,2,30,64.0,80.844,1,0,BANC
CISO-BANC,2020-10-16,1602806400,3,30,64.0,80.844,1,0,BANC
CISO-BANC,2020-10-16,1602806400,4,30,64.0,80.844,1,0,BANC
CISO-BANC,2020-10-16,1602806400,5,30,64.0,80.844,1,0,BANC
CISO-BANC,2020-10-16,1602806400,6,30,64.0,80.844,1,0,BANC
