overhead_min,policy,mean_total_carbon_kgco2eq,std_total_carbon_kgco2eq,mean_migration_count,n_samples
0,1,5.338,2.566,0,24
0,2,4.945,2.362,5.583,24
0,3,5.087,2.425,1.042,24
0,4,5.095,2.413,0.458,24
0,5,4.873,2.341,5.667,24
0,6,5.101,2.433,0.208,24
5,1,5.338,2.566,0,24
5,2,5.118,2.461,5.667,24
5,3,5.168,2.468,1,24
5,4,5.131,2.44,0.458,24
5,5,5.04,2.438,5.833,24
5,6,5.127,2.453,0.208,24
10,1,5.338,2.566,0,24
10,2,5.247,2.546,5.75,24
10,3,5.178,2.473,1,24
10,4,5.126,2.438,0.333,24
10,5,5.168,2.519,6,24
10,6,5.129,2.455,0.208,24
15,1,5.338,2.566,0,24
15,2,5.372,2.621,5.875,24
15,3,5.188,2.478,1,24
15,4,5.121,2.438,0.25,24
15,5,5.293,2.594,6.042,24
15,6,5.13,2.455,0.208,24
20,1,5.338,2.566,0,24
20,2,5.518,2.711,6.042,24
20,3,5.198,2.483,1,24
20,4,5.131,2.447,0.25,24
20,5,5.414,2.675,6.083,24
20,6,5.132,2.457,0.208,24
30,1,5.338,2.566,0,24
30,2,5.782,2.889,6.083,24
30,3,5.223,2.497,1,24
30,4,5.142,2.458,0.167,24
30,5,5.706,2.887,6.333,24
30,6,5.134,2.459,0.208,24
45,1,5.338,2.566,0,24
45,2,6.288,3.247,6.458,24
45,3,5.338,2.552,1.125,24
45,4,5.147,2.465,0.125,24
45,5,6.162,3.198,6.583,24
45,6,5.145,2.468,0.208,24
60,1,5.338,2.566,0,24
60,2,6.817,3.676,6.875,24
60,3,5.372,2.571,1.125,24
60,4,5.155,2.478,0.042,24
60,5,6.694,3.609,7.125,24
60,6,5.15,2.472,0.125,24
90,1,5.338,2.566,0,24
90,2,8.018,4.505,7.333,24
90,3,5.614,2.704,1.333,24
90,4,5.159,2.477,0.042,24
90,5,7.774,4.405,7.333,24
90,6,5.165,2.488,0.083,24
120,1,5.338,2.566,0,24
120,2,9.481,5.723,8.208,24
120,3,5.683,2.752,1.208,24
120,4,5.159,2.477,0.042,24
120,5,9.156,5.56,8.167,24
120,6,5.165,2.486,0.083,24
180,1,5.338,2.566,0,24
180,2,11.801,7.758,8.042,24
180,3,6.104,3.052,1.375,24
180,4,5.164,2.475,0.042,24
180,5,11.405,7.497,8.083,24
180,6,5.164,2.475,0.042,24
240,1,5.338,2.566,0,24
240,2,14.904,10.61,8.542,24
240,3,6.925,4.316,1.708,24
240,4,5.159,2.477,0.042,24
240,5,14.548,10.309,8.792,24
240,6,5.168,2.474,0.042,24
360,1,5.338,2.566,0,24
360,2,24.175,23.224,10.625,24
360,3,8.129,5.543,1.875,24
360,4,5.338,2.566,0,24
360,5,23.526,22.651,10.792,24
360,6,5.178,2.472,0.042,24
