overhead_min,start_ts,source_grid_chosen,policy,total_carbon_kgco2eq,migration_count,dest_grids_visited
0,1577836800,PGE,1,7.706,0,
0,1579154400,PGE,1,6.678,0,
0,1580472000,PGE,1,5.899,0,
0,1581789600,PGE,1,4.807,0,
0,1583107200,PGE,1,5.628,0,
0,1584424800,ISNE,1,6.796,0,
0,1585742400,BANC,1,5.601,0,
0,1587060000,IPCO,1,8.649,0,
0,1588377600,PGE,1,2.038,0,
0,1589695200,PGE,1,1.056,0,
0,1591012800,PGE,1,0.502,0,
0,1592330400,PGE,1,0.427,0,
0,1593648000,PGE,1,0.64,0,
0,1594965600,PGE,1,4.484,0,
0,1596283200,PGE,1,5.894,0,
0,1597600800,PGE,1,7.659,0,
0,1598918400,PGE,1,7.497,0,
0,1600236000,DUK,1,9.295,0,
0,1601553600,PGE,1,8.247,0,
0,1602871200,PGE,1,5.977,0,
0,1604188800,PGE,1,5.196,0,
0,1605506400,PGE,1,5.295,0,
0,1606824000,ISNE,1,6.857,0,
0,1608141600,PGE,1,5.292,0,
0,1577836800,PGE,2,6.997,9,BANC|ISNE|TVA|PGE|IPCO|PGE|ISNE|NYIS|PGE
0,1579154400,PGE,2,6.675,7,NYIS|PGE|NYIS|ISNE|PGE|ISNE|PGE
0,1580472000,PGE,2,5.957,10,IPCO|PGE|IPCO|PGE|IPCO|PGE|BANC|PGE|NYIS|PGE
0,1581789600,PGE,2,4.787,6,BANC|PGE|BANC|PGE|BANC|PGE
0,1583107200,PGE,2,5.568,9,BANC|PGE|NYIS|BANC|PGE|BANC|PGE|BANC|PGE
0,1584424800,ISNE,2,6.51,5,NYIS|ISNE|NYIS|ISNE|NYIS
0,1585742400,BANC,2,4.816,6,CISO|IPCO|BANC|CISO|IPCO|BANC
0,1587060000,IPCO,2,3.787,4,BANC|IPCO|BANC|CISO
0,1588377600,PGE,2,1.883,6,BANC|ISNE|PGE|IPCO|ISNE|PGE
0,1589695200,PGE,2,1.056,0,
0,1591012800,PGE,2,0.502,0,
0,1592330400,PGE,2,0.428,2,IPCO|PGE
0,1593648000,PGE,2,0.64,0,
0,1594965600,PGE,2,4.519,11,IPCO|PGE|IPCO|PGE|IPCO|PGE|IPCO|PGE|CISO|PGE|BANC
0,1596283200,PGE,2,5.611,7,CISO|PGE|CISO|BANC|PGE|IPCO|PGE
0,1597600800,PGE,2,7.638,2,ISNE|PGE
0,1598918400,PGE,2,7.508,7,CISO|PGE|BANC|PGE|BANC|ISNE|PGE
0,1600236000,DUK,2,8.339,14,PGE|DUK|CISO|BANC|PGE|BANC|PGE|ISNE|DUK|PGE|BANC|PGE|BANC|DUK
0,1601553600,PGE,2,8.113,11,TVA|BANC|PGE|BANC|PGE|DUK|PGE|BANC|ISNE|PGE|ISNE
0,1602871200,PGE,2,5.866,8,NYIS|PGE|IPCO|PGE|NYIS|PGE|NYIS|PGE
0,1604188800,PGE,2,4.856,4,NWMT|PGE|NWMT|PGE
0,1605506400,PGE,2,5.303,2,ISNE|PGE
0,1606824000,ISNE,2,6.03,4,PGE|ISNE|PGE|ISNE
0,1608141600,PGE,2,5.292,0,
0,1577836800,PGE,3,7.588,2,ISNE|PGE
0,1579154400,PGE,3,6.678,0,
0,1580472000,PGE,3,5.878,2,NYIS|PGE
0,1581789600,PGE,3,4.807,0,
0,1583107200,PGE,3,5.628,0,
0,1584424800,ISNE,3,6.541,3,NYIS|ISNE|NYIS
0,1585742400,BANC,3,5.601,0,
0,1587060000,IPCO,3,4.132,2,BANC|CISO
0,1588377600,PGE,3,2.038,0,
0,1589695200,PGE,3,1.056,0,
0,1591012800,PGE,3,0.502,0,
0,1592330400,PGE,3,0.428,2,IPCO|PGE
0,1593648000,PGE,3,0.64,0,
0,1594965600,PGE,3,4.458,1,BANC
0,1596283200,PGE,3,5.764,2,BANC|PGE
0,1597600800,PGE,3,7.659,0,
0,1598918400,PGE,3,7.497,0,
0,1600236000,DUK,3,8.86,2,PGE|DUK
0,1601553600,PGE,3,8.219,1,ISNE
0,1602871200,PGE,3,5.919,4,NYIS|PGE|NYIS|PGE
0,1604188800,PGE,3,5.132,2,NWMT|PGE
0,1605506400,PGE,3,5.295,0,
0,1606824000,ISNE,3,6.476,2,PGE|ISNE
0,1608141600,PGE,3,5.292,0,
0,1577836800,PGE,4,7.251,2,ISNE|PGE
0,1579154400,PGE,4,6.678,0,
0,1580472000,PGE,4,5.899,0,
0,1581789600,PGE,4,4.807,0,
0,1583107200,PGE,4,5.628,0,
0,1584424800,ISNE,4,6.584,3,NYIS|ISNE|NYIS
0,1585742400,BANC,4,5.601,0,
0,1587060000,IPCO,4,4.132,1,BANC
0,1588377600,PGE,4,2.038,0,
0,1589695200,PGE,4,1.056,0,
0,1591012800,PGE,4,0.502,0,
0,1592330400,PGE,4,0.427,0,
0,1593648000,PGE,4,0.64,0,
0,1594965600,PGE,4,4.484,0,
0,1596283200,PGE,4,6.149,3,BANC|IPCO|PGE
0,1597600800,PGE,4,7.659,0,
0,1598918400,PGE,4,7.497,0,
0,1600236000,DUK,4,8.721,1,PGE
0,1601553600,PGE,4,8.247,0,
0,1602871200,PGE,4,5.977,0,
0,1604188800,PGE,4,5.196,0,
0,1605506400,PGE,4,5.295,0,
0,1606824000,ISNE,4,6.525,1,PGE
0,1608141600,PGE,4,5.292,0,
0,1577836800,PGE,5,6.865,9,BANC|ISNE|TVA|PGE|IPCO|PGE|ISNE|NYIS|PGE
0,1579154400,PGE,5,6.631,7,NYIS|PGE|NYIS|ISNE|PGE|ISNE|PGE
0,1580472000,PGE,5,5.828,10,IPCO|PGE|IPCO|PGE|IPCO|PGE|BANC|PGE|NYIS|PGE
0,1581789600,PGE,5,4.731,6,BANC|PGE|BANC|PGE|BANC|PGE
0,1583107200,PGE,5,5.43,9,BANC|PGE|NYIS|BANC|PGE|BANC|PGE|BANC|PGE
0,1584424800,ISNE,5,6.489,5,NYIS|ISNE|NYIS|ISNE|NYIS
0,1585742400,BANC,5,4.635,6,CISO|IPCO|BANC|CISO|IPCO|BANC
0,1587060000,IPCO,5,3.697,4,BANC|IPCO|BANC|CISO
0,1588377600,PGE,5,1.736,6,BANC|ISNE|PGE|IPCO|ISNE|PGE
0,1589695200,PGE,5,1.056,0,
0,1591012800,PGE,5,0.502,0,
0,1592330400,PGE,5,0.408,2,IPCO|PGE
0,1593648000,PGE,5,0.64,0,
0,1594965600,PGE,5,4.417,12,IPCO|PGE|IPCO|PGE|IPCO|PGE|IPCO|PGE|CISO|PGE|BANC|PGE
0,1596283200,PGE,5,5.556,7,CISO|PGE|CISO|BANC|PGE|IPCO|PGE
0,1597600800,PGE,5,7.629,2,ISNE|PGE
0,1598918400,PGE,5,7.413,8,CISO|PGE|BANC|PGE|BANC|ISNE|PGE|BANC
