overhead_min,start_ts,source_grid_chosen,policy,total_carbon_kgco2eq,migration_count,dest_grids_visited
0,1577836800,ISNE,1,48.2,0,
0,1579154400,ISNE,1,53.59,0,
0,1580472000,ISNE,1,56.508,0,
0,1581789600,PGE,1,36.054,0,
0,1583107200,PGE,1,42.213,0,
0,1584424800,ISNE,1,42.377,0,
0,1585742400,BANC,1,44.33,0,
0,1587060000,IPCO,1,64.871,0,
0,1588377600,PGE,1,15.283,0,
0,1589695200,PGE,1,7.918,0,
0,1591012800,PGE,1,3.769,0,
0,1592330400,PGE,1,3.207,0,
0,1593648000,PGE,1,4.802,0,
0,1594965600,PGE,1,33.633,0,
0,1596283200,PGE,1,44.201,0,
0,1597600800,PGE,1,57.441,0,
0,1598918400,PGE,1,56.229,0,
0,1600236000,ISNE,1,62.614,0,
0,1601553600,ISNE,1,58.707,0,
0,1602871200,PGE,1,44.825,0,
0,1604188800,PGE,1,38.972,0,
0,1605506400,ISNE,1,48.474,0,
0,1606824000,ISNE,1,42.761,0,
0,1608141600,PGE,1,39.69,0,
0,1577836800,ISNE,2,50.544,10,PGE|BANC|ISNE|TVA|PGE|IPCO|PGE|ISNE|NYIS|PGE
0,1579154400,ISNE,2,49.153,8,PGE|NYIS|PGE|NYIS|ISNE|PGE|ISNE|PGE
0,1580472000,ISNE,2,44.867,11,PGE|IPCO|PGE|IPCO|PGE|IPCO|PGE|BANC|PGE|NYIS|PGE
0,1581789600,PGE,2,36.388,6,BANC|PGE|BANC|PGE|BANC|PGE
0,1583107200,PGE,2,42.436,9,BANC|PGE|NYIS|BANC|PGE|BANC|PGE|BANC|PGE
0,1584424800,ISNE,2,46.614,5,NYIS|ISNE|NYIS|ISNE|NYIS
0,1585742400,BANC,2,38.604,6,CISO|IPCO|BANC|CISO|IPCO|BANC
0,1587060000,IPCO,2,29.658,4,BANC|IPCO|BANC|CISO
0,1588377600,PGE,2,13.249,6,BANC|ISNE|PGE|IPCO|ISNE|PGE
0,1589695200,PGE,2,7.918,0,
0,1591012800,PGE,2,3.769,0,
0,1592330400,PGE,2,3.211,2,IPCO|PGE
0,1593648000,PGE,2,4.802,0,
0,1594965600,PGE,2,34.635,11,IPCO|PGE|IPCO|PGE|IPCO|PGE|IPCO|PGE|CISO|PGE|BANC
0,1596283200,PGE,2,43.556,7,CISO|PGE|CISO|BANC|PGE|IPCO|PGE
0,1597600800,PGE,2,56.631,2,ISNE|PGE
0,1598918400,PGE,2,56.623,7,CISO|PGE|BANC|PGE|BANC|ISNE|PGE
0,1600236000,ISNE,2,65.663,15,DUK|PGE|DUK|CISO|BANC|PGE|BANC|PGE|ISNE|DUK|PGE|BANC|PGE|BANC|DUK
0,1601553600,ISNE,2,66.952,12,PGE|TVA|BANC|PGE|BANC|PGE|DUK|PGE|BANC|ISNE|PGE|ISNE
0,1602871200,PGE,2,44.641,8,NYIS|PGE|IPCO|PGE|NYIS|PGE|NYIS|PGE
0,1604188800,PGE,2,36.421,4,NWMT|PGE|NWMT|PGE
0,1605506400,ISNE,2,39.572,3,PGE|ISNE|PGE
0,1606824000,ISNE,2,42.533,4,PGE|ISNE|PGE|ISNE
0,1608141600,PGE,2,39.69,0,
0,1577836800,ISNE,3,55.758,3,PGE|ISNE|PGE
0,1579154400,ISNE,3,50.007,1,PGE
0,1580472000,ISNE,3,44.222,3,PGE|NYIS|PGE
0,1581789600,PGE,3,36.054,0,
0,1583107200,PGE,3,42.213,0,
0,1584424800,ISNE,3,49.946,3,NYIS|ISNE|NYIS
0,1585742400,BANC,3,44.33,0,
0,1587060000,IPCO,3,32.693,2,BANC|CISO
0,1588377600,PGE,3,15.283,0,
0,1589695200,PGE,3,7.918,0,
0,1591012800,PGE,3,3.769,0,
0,1592330400,PGE,3,3.211,2,IPCO|PGE
0,1593648000,PGE,3,4.802,0,
0,1594965600,PGE,3,33.747,1,BANC
0,1596283200,PGE,3,43.493,2,BANC|PGE
0,1597600800,PGE,3,57.441,0,
0,1598918400,PGE,3,56.229,0,
0,1600236000,ISNE,3,66.527,2,PGE|DUK
0,1601553600,ISNE,3,61.031,2,PGE|ISNE
0,1602871200,PGE,3,44.81,4,NYIS|PGE|NYIS|PGE
0,1604188800,PGE,3,38.489,2,NWMT|PGE
0,1605506400,ISNE,3,39.688,1,PGE
0,1606824000,ISNE,3,45.684,2,PGE|ISNE
0,1608141600,PGE,3,39.69,0,
0,1577836800,ISNE,4,51.783,1,PGE
0,1579154400,ISNE,4,50.007,1,PGE
0,1580472000,ISNE,4,44.191,1,PGE
0,1581789600,PGE,4,36.054,0,
0,1583107200,PGE,4,42.213,0,
0,1584424800,ISNE,4,49.046,3,NYIS|ISNE|NYIS
0,1585742400,BANC,4,44.33,0,
0,1587060000,IPCO,4,32.693,1,BANC
0,1588377600,PGE,4,15.283,0,
0,1589695200,PGE,4,7.918,0,
0,1591012800,PGE,4,3.769,0,
0,1592330400,PGE,4,3.207,0,
0,1593648000,PGE,4,4.802,0,
0,1594965600,PGE,4,33.633,0,
0,1596283200,PGE,4,46.223,3,BANC|IPCO|PGE
0,1597600800,PGE,4,57.441,0,
0,1598918400,PGE,4,56.229,0,
0,1600236000,ISNE,4,65.784,2,DUK|PGE
0,1601553600,ISNE,4,61.841,1,PGE
0,1602871200,PGE,4,44.825,0,
0,1604188800,PGE,4,38.972,0,
0,1605506400,ISNE,4,39.688,1,PGE
0,1606824000,ISNE,4,48.786,1,PGE
0,1608141600,PGE,4,39.69,0,
0,1577836800,ISNE,5,49.522,9,BANC|ISNE|TVA|PGE|IPCO|PGE|ISNE|NYIS|PGE
0,1579154400,ISNE,5,48.88,7,NYIS|PGE|NYIS|ISNE|PGE|ISNE|PGE
0,1580472000,ISNE,5,43.891,11,PGE|IPCO|PGE|IPCO|PGE|IPCO|PGE|BANC|PGE|NYIS|PGE
0,1581789600,PGE,5,35.948,6,BANC|PGE|BANC|PGE|BANC|PGE
0,1583107200,PGE,5,41.381,9,BANC|PGE|NYIS|BANC|PGE|BANC|PGE|BANC|PGE
0,1584424800,ISNE,5,46.726,5,NYIS|ISNE|NYIS|ISNE|NYIS
0,1585742400,BANC,5,37.271,6,CISO|IPCO|BANC|CISO|IPCO|BANC
0,1587060000,IPCO,5,29.229,4,BANC|IPCO|BANC|CISO
0,1588377600,PGE,5,12.141,6,BANC|ISNE|PGE|IPCO|ISNE|PGE
0,1589695200,PGE,5,7.918,0,
0,1591012800,PGE,5,3.769,0,
0,1592330400,PGE,5,3.061,2,IPCO|PGE
0,1593648000,PGE,5,4.802,0,
0,1594965600,PGE,5,33.873,12,IPCO|PGE|IPCO|PGE|IPCO|PGE|IPCO|PGE|CISO|PGE|BANC|PGE
0,1596283200,PGE,5,43.088,7,CISO|PGE|CISO|BANC|PGE|IPCO|PGE
0,1597600800,PGE,5,56.563,2,ISNE|PGE
0,1598918400,PGE,5,55.866,8,CISO|PGE|BANC|PGE|BANC|ISNE|PGE|BANC
0,1600236000,ISNE,5,64.603,15,DUK|PGE|DUK|CISO|BANC|PGE|BANC|PGE|ISNE|DUK|PGE|BANC|PGE|BANC|DUK
0,1601553600,ISNE,5,65.419,12,PGE|TVA|BANC|PGE|BANC|PGE|DUK|PGE|BANC|ISNE|PGE|ISNE
0,1602871200,PGE,5,44.205,8,NYIS|PGE|IPCO|PGE|NYIS|PGE|NYIS|PGE
0,1604188800,PGE,5,35.461,4,NWMT|PGE|NWMT|PGE
