Datetime (UTC),Average Carbon Intensity gCO₂eq/kWh (direct)
2024-01-01 00:00:00,187.96
2024-01-01 01:00:00,186.11
2024-01-01 02:00:00,185.285
2024-01-01 03:00:00,182.185
2024-01-01 04:00:00,182.69
2024-01-01 05:00:00,184.235
2024-01-01 06:00:00,186.72
2024-01-01 07:00:00,186.73499999999999
2024-01-01 08:00:00,190.69
2024-01-01 09:00:00,198.58
2024-01-01 10:00:00,200.23000000000002
2024-01-01 11:00:00,200.23
2024-01-01 12:00:00,196.555
2024-01-01 13:00:00,196.515
2024-01-01 14:00:00,188.87
2024-01-01 15:00:00,185.23000000000002
2024-01-01 16:00:00,181.125
2024-01-01 17:00:00,190.4
2024-01-01 18:00:00,186.84
2024-01-01 19:00:00,188.97
2024-01-01 20:00:00,191.3
2024-01-01 21:00:00,185.73000000000002
2024-01-01 22:00:00,188.44500000000002
2024-01-01 23:00:00,186.065
2024-01-02 00:00:00,191.23499999999999
2024-01-02 01:00:00,189.92000000000002
2024-01-02 02:00:00,186.83
2024-01-02 03:00:00,186.585
2024-01-02 04:00:00,188.97
2024-01-02 05:00:00,189.07
2024-01-02 06:00:00,192.355
2024-01-02 07:00:00,192.545
2024-01-02 08:00:00,196.965
2024-01-02 09:00:00,196.625
2024-01-02 10:00:00,195.82500000000002
2024-01-02 11:00:00,197.42
2024-01-02 12:00:00,195.64
2024-01-02 13:00:00,195.58499999999998
2024-01-02 14:00:00,187.745
2024-01-02 15:00:00,186.05
2024-01-02 16:00:00,180.1
2024-01-02 17:00:00,189.805
2024-01-02 18:00:00,187.265
2024-01-02 19:00:00,188.35
2024-01-02 20:00:00,189.655
2024-01-02 21:00:00,187.615
2024-01-02 22:00:00,188.79000000000002
2024-01-02 23:00:00,186.785
2024-01-03 00:00:00,191.385
2024-01-03 01:00:00,189.655
2024-01-03 02:00:00,187.49
2024-01-03 03:00:00,187.09
2024-01-03 04:00:00,189.26000000000002
2024-01-03 05:00:00,189.06
2024-01-03 06:00:00,190.92499999999998
2024-01-03 07:00:00,191.6
2024-01-03 08:00:00,197.26999999999998
2024-01-03 09:00:00,194.71
2024-01-03 10:00:00,193.38
2024-01-03 11:00:00,194.01
2024-01-03 12:00:00,188.71
2024-01-03 13:00:00,188.065
2024-01-03 14:00:00,183.38
2024-01-03 15:00:00,184.88
2024-01-03 16:00:00,179.255
2024-01-03 17:00:00,189.37
2024-01-03 18:00:00,187.115
2024-01-03 19:00:00,188.845
2024-01-03 20:00:00,189.705
2024-01-03 21:00:00,186.1
2024-01-03 22:00:00,187.85000000000002
2024-01-03 23:00:00,186.595
2024-01-04 00:00:00,190.995
2024-01-04 01:00:00,190.01500000000001
2024-01-04 02:00:00,188.01
2024-01-04 03:00:00,189.22
2024-01-04 04:00:00,191.925
2024-01-04 05:00:00,191.865
2024-01-04 06:00:00,192.875
2024-01-04 07:00:00,193.23
2024-01-04 08:00:00,197.92499999999998
2024-01-04 09:00:00,195.76500000000001
2024-01-04 10:00:00,195.81
2024-01-04 11:00:00,196.82
2024-01-04 12:00:00,192.325
2024-01-04 13:00:00,194.03
2024-01-04 14:00:00,186.385
2024-01-04 15:00:00,183.66500000000002
