Datetime (UTC),Average Carbon Intensity gCO₂eq/kWh (direct)
2024-01-01 00:00:00,326.55
2024-01-01 01:00:00,326.892
2024-01-01 02:00:00,319.736
2024-01-01 03:00:00,315.49799999999993
2024-01-01 04:00:00,320.8639999999999
2024-01-01 05:00:00,323.944
2024-01-01 06:00:00,323.772
2024-01-01 07:00:00,321.866
2024-01-01 08:00:00,319.30600000000004
2024-01-01 09:00:00,319.06600000000003
2024-01-01 10:00:00,314.852
2024-01-01 11:00:00,307.00200000000007
2024-01-01 12:00:00,307.24799999999993
2024-01-01 13:00:00,299.404
2024-01-01 14:00:00,287.87
2024-01-01 15:00:00,278.05
2024-01-01 16:00:00,266.974
2024-01-01 17:00:00,262.06
2024-01-01 18:00:00,262.75
2024-01-01 19:00:00,272.018
2024-01-01 20:00:00,284.44399999999996
2024-01-01 21:00:00,306.71999999999997
2024-01-01 22:00:00,325.61199999999997
2024-01-01 23:00:00,324.592
2024-01-02 00:00:00,325.308
2024-01-02 01:00:00,327.8
2024-01-02 02:00:00,332.858
2024-01-02 03:00:00,334.64000000000004
2024-01-02 04:00:00,335.896
2024-01-02 05:00:00,341.806
2024-01-02 06:00:00,341.078
2024-01-02 07:00:00,346.08000000000004
2024-01-02 08:00:00,346.906
2024-01-02 09:00:00,343.88800000000003
2024-01-02 10:00:00,346.66999999999996
2024-01-02 11:00:00,335.492
2024-01-02 12:00:00,334.878
2024-01-02 13:00:00,321.59
2024-01-02 14:00:00,297.18600000000004
2024-01-02 15:00:00,300.284
2024-01-02 16:00:00,301.31800000000004
2024-01-02 17:00:00,297.06
2024-01-02 18:00:00,293.236
2024-01-02 19:00:00,289.392
2024-01-02 20:00:00,301.556
2024-01-02 21:00:00,333.27400000000006
2024-01-02 22:00:00,363.63200000000006
2024-01-02 23:00:00,372.26800000000003
2024-01-03 00:00:00,368.8
2024-01-03 01:00:00,369.454
2024-01-03 02:00:00,376.012
2024-01-03 03:00:00,380.98
2024-01-03 04:00:00,381.858
2024-01-03 05:00:00,378.07399999999996
2024-01-03 06:00:00,382.61400000000003
2024-01-03 07:00:00,376.92600000000004
2024-01-03 08:00:00,373.536
2024-01-03 09:00:00,371.29
2024-01-03 10:00:00,365.242
2024-01-03 11:00:00,352.92
2024-01-03 12:00:00,353.6
2024-01-03 13:00:00,340.13
2024-01-03 14:00:00,331.28200000000004
2024-01-03 15:00:00,330.8
2024-01-03 16:00:00,334.61199999999997
2024-01-03 17:00:00,334.402
2024-01-03 18:00:00,341.048
2024-01-03 19:00:00,348.376
2024-01-03 20:00:00,356.428
2024-01-03 21:00:00,366.63800000000003
2024-01-03 22:00:00,376.61800000000005
2024-01-03 23:00:00,375.31000000000006
2024-01-04 00:00:00,372.91200000000003
2024-01-04 01:00:00,373.714
2024-01-04 02:00:00,368.662
2024-01-04 03:00:00,358.216
2024-01-04 04:00:00,352.008
2024-01-04 05:00:00,352.73
2024-01-04 06:00:00,356.78000000000003
2024-01-04 07:00:00,357.172
2024-01-04 08:00:00,359.20599999999996
2024-01-04 09:00:00,365.56
2024-01-04 10:00:00,368.21400000000006
2024-01-04 11:00:00,366.74399999999997
2024-01-04 12:00:00,367.504
2024-01-04 13:00:00,344.954
2024-01-04 14:00:00,310.61400000000003
