Datetime (UTC),Average Carbon Intensity gCO₂eq/kWh (direct)
2024-01-01 00:00:00,220.705
2024-01-01 01:00:00,215.64
2024-01-01 02:00:00,221.6
2024-01-01 03:00:00,224.6
2024-01-01 04:00:00,236.78
2024-01-01 05:00:00,251.33
2024-01-01 06:00:00,268.65
2024-01-01 07:00:00,298.28999999999996
2024-01-01 08:00:00,290.03499999999997
2024-01-01 09:00:00,289.705
2024-01-01 10:00:00,270.21500000000003
2024-01-01 11:00:00,262.36
2024-01-01 12:00:00,255.57
2024-01-01 13:00:00,262.495
2024-01-01 14:00:00,264.275
2024-01-01 15:00:00,261.84
2024-01-01 16:00:00,266.815
2024-01-01 17:00:00,292.505
2024-01-01 18:00:00,295.45500000000004
2024-01-01 19:00:00,263.055
2024-01-01 20:00:00,245.02
2024-01-01 21:00:00,231.11
2024-01-01 22:00:00,227.7
2024-01-01 23:00:00,224.78
2024-01-02 00:00:00,212.08
2024-01-02 01:00:00,196.87
2024-01-02 02:00:00,185.59
2024-01-02 03:00:00,194.29999999999998
2024-01-02 04:00:00,217.635
2024-01-02 05:00:00,228.045
2024-01-02 06:00:00,202.57
2024-01-02 07:00:00,203.165
2024-01-02 08:00:00,228.875
2024-01-02 09:00:00,222.96
2024-01-02 10:00:00,236.855
2024-01-02 11:00:00,238.865
2024-01-02 12:00:00,176.77
2024-01-02 13:00:00,183.145
2024-01-02 14:00:00,182.64
2024-01-02 15:00:00,202.2
2024-01-02 16:00:00,226.855
2024-01-02 17:00:00,239.105
2024-01-02 18:00:00,255.62
2024-01-02 19:00:00,277.465
2024-01-02 20:00:00,276.42
2024-01-02 21:00:00,281.67499999999995
2024-01-02 22:00:00,267.685
2024-01-02 23:00:00,267.08
2024-01-03 00:00:00,257.7
2024-01-03 01:00:00,265.61
2024-01-03 02:00:00,309.365
2024-01-03 03:00:00,326.53000000000003
2024-01-03 04:00:00,352.46
2024-01-03 05:00:00,372.53
2024-01-03 06:00:00,379.75
2024-01-03 07:00:00,370.3
2024-01-03 08:00:00,360.25
2024-01-03 09:00:00,352.28999999999996
2024-01-03 10:00:00,341.825
2024-01-03 11:00:00,321.71
2024-01-03 12:00:00,275.215
2024-01-03 13:00:00,276.755
2024-01-03 14:00:00,283.445
2024-01-03 15:00:00,295.6
2024-01-03 16:00:00,304.22
2024-01-03 17:00:00,357.89
2024-01-03 18:00:00,365.06
2024-01-03 19:00:00,364.375
2024-01-03 20:00:00,377.66
2024-01-03 21:00:00,381.255
2024-01-03 22:00:00,358.935
2024-01-03 23:00:00,282.195
2024-01-04 00:00:00,263.55
2024-01-04 01:00:00,246.39
2024-01-04 02:00:00,281.56
2024-01-04 03:00:00,295.18
2024-01-04 04:00:00,302.205
2024-01-04 05:00:00,289.075
2024-01-04 06:00:00,288.305
