Datetime (UTC),Average Carbon Intensity gCO₂eq/kWh (direct)
2024-01-01 00:00:00,414.92333333333335
2024-01-01 01:00:00,413.7077777777778
2024-01-01 02:00:00,411.4166666666667
2024-01-01 03:00:00,408.90111111111116
2024-01-01 04:00:00,413.2322222222222
2024-01-01 05:00:00,409.9522222222222
2024-01-01 06:00:00,407.08555555555563
2024-01-01 07:00:00,406.0311111111111
2024-01-01 08:00:00,405.7366666666667
2024-01-01 09:00:00,410.4211111111111
2024-01-01 10:00:00,414.8888888888889
2024-01-01 11:00:00,418.3033333333334
2024-01-01 12:00:00,407.4488888888889
2024-01-01 13:00:00,391.5333333333333
2024-01-01 14:00:00,376.1544444444443
2024-01-01 15:00:00,368.8311111111111
2024-01-01 16:00:00,368.0888888888889
2024-01-01 17:00:00,367.3788888888889
2024-01-01 18:00:00,369.55555555555554
2024-01-01 19:00:00,371.75888888888886
2024-01-01 20:00:00,377.6844444444444
2024-01-01 21:00:00,396.8177777777778
2024-01-01 22:00:00,410.45777777777784
2024-01-01 23:00:00,419.2711111111111
2024-01-02 00:00:00,421.0266666666666
2024-01-02 01:00:00,417.06444444444446
2024-01-02 02:00:00,416.5444444444445
2024-01-02 03:00:00,414.05888888888893
2024-01-02 04:00:00,410.6722222222222
2024-01-02 05:00:00,405.3666666666667
2024-01-02 06:00:00,402.6455555555556
2024-01-02 07:00:00,402.3322222222222
2024-01-02 08:00:00,402.58000000000004
2024-01-02 09:00:00,406.3133333333333
2024-01-02 10:00:00,412.49444444444447
2024-01-02 11:00:00,417.6055555555556
2024-01-02 12:00:00,408.7766666666667
2024-01-02 13:00:00,397.8633333333333
2024-01-02 14:00:00,376.19222222222226
2024-01-02 15:00:00,369.8311111111111
2024-01-02 16:00:00,362.5677777777778
2024-01-02 17:00:00,358.35111111111115
2024-01-02 18:00:00,359.45888888888896
2024-01-02 19:00:00,359.9411111111111
2024-01-02 20:00:00,368.6933333333333
2024-01-02 21:00:00,382.7522222222222
2024-01-02 22:00:00,405.47
2024-01-02 23:00:00,419.7611111111111
2024-01-03 00:00:00,417.88111111111107
2024-01-03 01:00:00,418.2088888888889
2024-01-03 02:00:00,417.5777777777777
2024-01-03 03:00:00,414.8033333333333
2024-01-03 04:00:00,414.51666666666665
2024-01-03 05:00:00,408.5877777777778
2024-01-03 06:00:00,407.85555555555555
2024-01-03 07:00:00,408.01888888888897
2024-01-03 08:00:00,408.76
2024-01-03 09:00:00,408.48222222222216
2024-01-03 10:00:00,407.8822222222222
2024-01-03 11:00:00,408.0422222222222
2024-01-03 12:00:00,402.2377777777777
2024-01-03 13:00:00,388.9044444444445
2024-01-03 14:00:00,373.75222222222226
2024-01-03 15:00:00,374.88222222222225
2024-01-03 16:00:00,378.9266666666667
2024-01-03 17:00:00,378.9433333333334
2024-01-03 18:00:00,379.6766666666667
2024-01-03 19:00:00,375.22555555555556
2024-01-03 20:00:00,387.7211111111111
2024-01-03 21:00:00,402.35555555555555
2024-01-03 22:00:00,418.60777777777776
2024-01-03 23:00:00,427.5766666666666
2024-01-04 00:00:00,424.80111111111114
2024-01-04 01:00:00,422.77555555555557
2024-01-04 02:00:00,416.22777777777776
2024-01-04 03:00:00,411.9144444444444
2024-01-04 04:00:00,407.62888888888887
2024-01-04 05:00:00,403.47333333333336
2024-01-04 06:00:00,403.1111111111111
2024-01-04 07:00:00,405.4822222222222
2024-01-04 08:00:00,405.81000000000006
2024-01-04 09:00:00,406.31
2024-01-04 10:00:00,406.8444444444445
2024-01-04 11:00:00,412.0199999999999
2024-01-04 12:00:00,408.73555555555555
2024-01-04 13:00:00,401.82888888888897
2024-01-04 14:00:00,388.20000000000005
2024-01-04 15:00:00,384.25555555555553
2024-01-04 16:00:00,379.48777777777775
2024-01-04 17:00:00,376.1533333333333
2024-01-04 18:00:00,367.10333333333335
2024-01-04 19:00:00,362.2788888888889
2024-01-04 20:00:00,362.2088888888889
2024-01-04 21:00:00,378.16888888888883
2024-01-04 22:00:00,408.3066666666666
2024-01-04 23:00:00,425.16999999999996
2024-01-05 00:00:00,425.01
2024-01-05 01:00:00,425.2977777777777
2024-01-05 02:00:00,420.8311111111111
2024-01-05 03:00:00,416.47111111111116
2024-01-05 04:00:00,413.3566666666667
2024-01-05 05:00:00,413.8855555555556
2024-01-05 06:00:00,413.9911111111111
2024-01-05 07:00:00,412.5188888888889
2024-01-05 08:00:00,411.561111111111
2024-01-05 09:00:00,414.6055555555555
2024-01-05 10:00:00,413.68666666666667
2024-01-05 11:00:00,421.1222222222222
2024-01-05 12:00:00,417.95888888888885
2024-01-05 13:00:00,399.24
2024-01-05 14:00:00,381.22222222222223
2024-01-05 15:00:00,374.9088888888889
2024-01-05 16:00:00,368.0877777777777
