Datetime (UTC),Average Carbon Intensity gCO₂eq/kWh (direct)
2024-01-01 00:00:00,243.38
2024-01-01 01:00:00,256.28
2024-01-01 02:00:00,262.23
2024-01-01 03:00:00,291.09
2024-01-01 04:00:00,317.46
2024-01-01 05:00:00,336.02
2024-01-01 06:00:00,346.23
2024-01-01 07:00:00,342.9
2024-01-01 08:00:00,337.24
2024-01-01 09:00:00,332.82
2024-01-01 10:00:00,331.57
2024-01-01 11:00:00,328.86
2024-01-01 12:00:00,329.02
2024-01-01 13:00:00,326.26
2024-01-01 14:00:00,322.68
2024-01-01 15:00:00,322.07
2024-01-01 16:00:00,313.49
2024-01-01 17:00:00,310.74
2024-01-01 18:00:00,271.38
2024-01-01 19:00:00,261.23
2024-01-01 20:00:00,252.89
2024-01-01 21:00:00,244.81
2024-01-01 22:00:00,234.94
2024-01-01 23:00:00,237.51
2024-01-02 00:00:00,246.72
2024-01-02 01:00:00,254.3
2024-01-02 02:00:00,258.32
2024-01-02 03:00:00,287.84
2024-01-02 04:00:00,309.24
2024-01-02 05:00:00,318.78
2024-01-02 06:00:00,324.57
2024-01-02 07:00:00,323.6
2024-01-02 08:00:00,321.65
2024-01-02 09:00:00,316.65
2024-01-02 10:00:00,315.63
2024-01-02 11:00:00,315.26
2024-01-02 12:00:00,314.27
2024-01-02 13:00:00,314.9
2024-01-02 14:00:00,311.0
2024-01-02 15:00:00,313.66
2024-01-02 16:00:00,298.16
2024-01-02 17:00:00,295.59
2024-01-02 18:00:00,257.63
2024-01-02 19:00:00,249.95
2024-01-02 20:00:00,243.32
2024-01-02 21:00:00,237.13
2024-01-02 22:00:00,236.56
2024-01-02 23:00:00,241.89
2024-01-03 00:00:00,260.27
2024-01-03 01:00:00,270.0
2024-01-03 02:00:00,274.27
2024-01-03 03:00:00,304.09
2024-01-03 04:00:00,325.87
2024-01-03 05:00:00,336.78
2024-01-03 06:00:00,343.39
2024-01-03 07:00:00,343.29
2024-01-03 08:00:00,342.1
2024-01-03 09:00:00,339.12
2024-01-03 10:00:00,334.23
2024-01-03 11:00:00,333.27
2024-01-03 12:00:00,333.17
2024-01-03 13:00:00,334.44
2024-01-03 14:00:00,328.95
