Datetime (UTC),Average Carbon Intensity gCO₂eq/kWh (direct)
2024-01-01 00:00:00,317.3
2024-01-01 01:00:00,317.14
2024-01-01 02:00:00,319.6
2024-01-01 03:00:00,316.04
2024-01-01 04:00:00,316.55
2024-01-01 05:00:00,315.2
2024-01-01 06:00:00,315.95
2024-01-01 07:00:00,310.98
2024-01-01 08:00:00,309.56
2024-01-01 09:00:00,307.35
2024-01-01 10:00:00,309.52
2024-01-01 11:00:00,310.14
2024-01-01 12:00:00,312.18
2024-01-01 13:00:00,315.73
2024-01-01 14:00:00,316.2
2024-01-01 15:00:00,321.09
2024-01-01 16:00:00,323.2
2024-01-01 17:00:00,326.46
2024-01-01 18:00:00,331.88
2024-01-01 19:00:00,332.0
2024-01-01 20:00:00,332.2
2024-01-01 21:00:00,335.52
2024-01-01 22:00:00,337.84
2024-01-01 23:00:00,335.2
2024-01-02 00:00:00,336.65
2024-01-02 01:00:00,339.3
2024-01-02 02:00:00,341.67
2024-01-02 03:00:00,346.02
2024-01-02 04:00:00,341.69
2024-01-02 05:00:00,329.78
2024-01-02 06:00:00,321.11
2024-01-02 07:00:00,316.68
2024-01-02 08:00:00,317.07
2024-01-02 09:00:00,314.51
2024-01-02 10:00:00,314.93
2024-01-02 11:00:00,313.88
2024-01-02 12:00:00,320.04
2024-01-02 13:00:00,324.21
2024-01-02 14:00:00,322.15
2024-01-02 15:00:00,324.89
2024-01-02 16:00:00,316.17
2024-01-02 17:00:00,312.33
2024-01-02 18:00:00,312.19
2024-01-02 19:00:00,313.06
2024-01-02 20:00:00,315.85
2024-01-02 21:00:00,324.3
2024-01-02 22:00:00,328.11
2024-01-02 23:00:00,331.83
2024-01-03 00:00:00,334.3
2024-01-03 01:00:00,339.11
2024-01-03 02:00:00,348.57
2024-01-03 03:00:00,350.56
2024-01-03 04:00:00,348.16
2024-01-03 05:00:00,345.87
2024-01-03 06:00:00,346.67
2024-01-03 07:00:00,349.72
2024-01-03 08:00:00,350.55
2024-01-03 09:00:00,350.16
2024-01-03 10:00:00,350.66
2024-01-03 11:00:00,346.09
2024-01-03 12:00:00,352.54
2024-01-03 13:00:00,357.61
2024-01-03 14:00:00,353.41
2024-01-03 15:00:00,352.88
2024-01-03 16:00:00,347.23
2024-01-03 17:00:00,345.29
2024-01-03 18:00:00,347.04
2024-01-03 19:00:00,348.61
2024-01-03 20:00:00,349.56
2024-01-03 21:00:00,353.03
2024-01-03 22:00:00,354.7
2024-01-03 23:00:00,352.79
2024-01-04 00:00:00,357.23
2024-01-04 01:00:00,364.96
2024-01-04 02:00:00,370.03
2024-01-04 03:00:00,368.14
2024-01-04 04:00:00,362.24
2024-01-04 05:00:00,354.54
2024-01-04 06:00:00,351.25
2024-01-04 07:00:00,350.43
2024-01-04 08:00:00,346.97
2024-01-04 09:00:00,347.29
