Datetime (UTC),Average Carbon Intensity gCO₂eq/kWh (direct)
2024-01-01 00:00:00,638.9666666666667
2024-01-01 01:00:00,637.7066666666666
2024-01-01 02:00:00,633.92
2024-01-01 03:00:00,630.9233333333333
2024-01-01 04:00:00,634.6999999999999
2024-01-01 05:00:00,636.5300000000001
2024-01-01 06:00:00,636.0666666666667
2024-01-01 07:00:00,639.7066666666667
2024-01-01 08:00:00,646.3233333333334
2024-01-01 09:00:00,652.8066666666666
2024-01-01 10:00:00,655.14
2024-01-01 11:00:00,654.08
2024-01-01 12:00:00,646.42
2024-01-01 13:00:00,647.98
2024-01-01 14:00:00,644.7233333333334
2024-01-01 15:00:00,643.2099999999999
2024-01-01 16:00:00,648.6733333333333
2024-01-01 17:00:00,659.0733333333334
2024-01-01 18:00:00,654.8333333333334
2024-01-01 19:00:00,644.6066666666667
2024-01-01 20:00:00,645.1733333333333
2024-01-01 21:00:00,642.5600000000001
2024-01-01 22:00:00,640.9833333333335
2024-01-01 23:00:00,636.2766666666666
2024-01-02 00:00:00,625.8733333333333
2024-01-02 01:00:00,619.9799999999999
2024-01-02 02:00:00,600.68
2024-01-02 03:00:00,599.0333333333334
2024-01-02 04:00:00,590.6933333333334
2024-01-02 05:00:00,589.6333333333333
2024-01-02 06:00:00,572.1266666666667
2024-01-02 07:00:00,578.9633333333333
2024-01-02 08:00:00,592.4033333333333
2024-01-02 09:00:00,587.9266666666666
2024-01-02 10:00:00,601.7333333333333
2024-01-02 11:00:00,608.9499999999999
2024-01-02 12:00:00,619.27
2024-01-02 13:00:00,620.25
2024-01-02 14:00:00,616.35
2024-01-02 15:00:00,629.9366666666666
2024-01-02 16:00:00,639.0233333333333
2024-01-02 17:00:00,647.11
2024-01-02 18:00:00,648.0766666666667
2024-01-02 19:00:00,644.0333333333333
2024-01-02 20:00:00,644.2499999999999
2024-01-02 21:00:00,647.4266666666666
2024-01-02 22:00:00,653.4166666666667
2024-01-02 23:00:00,650.1766666666666
2024-01-03 00:00:00,655.9666666666666
2024-01-03 01:00:00,658.6766666666666
2024-01-03 02:00:00,656.48
2024-01-03 03:00:00,660.4633333333333
2024-01-03 04:00:00,660.7800000000001
2024-01-03 05:00:00,657.5833333333334
2024-01-03 06:00:00,656.5966666666667
2024-01-03 07:00:00,655.8566666666667
2024-01-03 08:00:00,666.13
2024-01-03 09:00:00,670.4366666666666
2024-01-03 10:00:00,672.3
2024-01-03 11:00:00,674.12
2024-01-03 12:00:00,655.93
2024-01-03 13:00:00,651.4433333333333
2024-01-03 14:00:00,654.9900000000001
2024-01-03 15:00:00,651.9266666666666
2024-01-03 16:00:00,653.78
2024-01-03 17:00:00,657.5866666666667
2024-01-03 18:00:00,658.1466666666666
2024-01-03 19:00:00,656.4333333333333
2024-01-03 20:00:00,655.5366666666667
2024-01-03 21:00:00,657.67
2024-01-03 22:00:00,664.1766666666667
2024-01-03 23:00:00,653.82
2024-01-04 00:00:00,649.5433333333334
2024-01-04 01:00:00,662.3033333333334
2024-01-04 02:00:00,670.46
2024-01-04 03:00:00,667.8166666666667
2024-01-04 04:00:00,661.7866666666667
2024-01-04 05:00:00,661.5033333333333
2024-01-04 06:00:00,663.4399999999999
2024-01-04 07:00:00,660.9066666666666
2024-01-04 08:00:00,661.04
2024-01-04 09:00:00,659.35
2024-01-04 10:00:00,663.0699999999999
