Datetime (UTC),Average Carbon Intensity gCO₂eq/kWh (direct)
2024-01-01 00:00:00,283.25058823529406
2024-01-01 01:00:00,278.4405882352941
2024-01-01 02:00:00,275.98058823529414
2024-01-01 03:00:00,283.0435294117647
2024-01-01 04:00:00,275.6288235294118
2024-01-01 05:00:00,273.9152941176471
2024-01-01 06:00:00,281.3311764705882
2024-01-01 07:00:00,273.0711764705883
2024-01-01 08:00:00,295.93588235294123
2024-01-01 09:00:00,294.6029411764706
2024-01-01 10:00:00,304.1217647058824
2024-01-01 11:00:00,311.33588235294116
2024-01-01 12:00:00,306.13352941176475
2024-01-01 13:00:00,302.2629411764706
2024-01-01 14:00:00,296.6699999999999
2024-01-01 15:00:00,289.88882352941175
2024-01-01 16:00:00,276.4994117647059
2024-01-01 17:00:00,277.50647058823535
2024-01-01 18:00:00,277.5811764705882
2024-01-01 19:00:00,274.91470588235296
2024-01-01 20:00:00,267.34764705882344
2024-01-01 21:00:00,262.77764705882356
2024-01-01 22:00:00,275.98705882352937
2024-01-01 23:00:00,291.3464705882353
2024-01-02 00:00:00,281.7199999999999
2024-01-02 01:00:00,289.3947058823529
2024-01-02 02:00:00,289.2241176470588
2024-01-02 03:00:00,291.0252941176471
2024-01-02 04:00:00,296.9464705882353
2024-01-02 05:00:00,301.29411764705884
2024-01-02 06:00:00,304.97235294117644
2024-01-02 07:00:00,309.8205882352941
2024-01-02 08:00:00,306.85823529411766
2024-01-02 09:00:00,305.9688235294118
2024-01-02 10:00:00,313.77764705882356
2024-01-02 11:00:00,318.4029411764707
2024-01-02 12:00:00,305.42294117647054
2024-01-02 13:00:00,290.79411764705884
2024-01-02 14:00:00,287.7011764705882
2024-01-02 15:00:00,285.4829411764706
2024-01-02 16:00:00,274.93882352941176
2024-01-02 17:00:00,268.11176470588236
2024-01-02 18:00:00,274.3529411764706
2024-01-02 19:00:00,270.6958823529411
2024-01-02 20:00:00,264.69294117647064
2024-01-02 21:00:00,264.5411764705882
2024-01-02 22:00:00,287.1194117647059
2024-01-02 23:00:00,296.68647058823524
2024-01-03 00:00:00,287.8729411764706
2024-01-03 01:00:00,285.74882352941177
2024-01-03 02:00:00,287.6952941176471
2024-01-03 03:00:00,290.3394117647059
2024-01-03 04:00:00,294.04
2024-01-03 05:00:00,292.24529411764706
2024-01-03 06:00:00,297.5035294117647
2024-01-03 07:00:00,306.94588235294117
2024-01-03 08:00:00,304.04176470588243
2024-01-03 09:00:00,305.9541176470588
2024-01-03 10:00:00,312.9429411764706
2024-01-03 11:00:00,323.6235294117647
2024-01-03 12:00:00,310.56352941176465
2024-01-03 13:00:00,301.5923529411765
2024-01-03 14:00:00,287.6417647058824
2024-01-03 15:00:00,287.88705882352946
2024-01-03 16:00:00,285.38058823529406
2024-01-03 17:00:00,287.30764705882353
2024-01-03 18:00:00,290.1476470588236
2024-01-03 19:00:00,294.10647058823525
