Datetime (UTC),Average Carbon Intensity gCO₂eq/kWh (direct)
2024-01-01 00:00:00,215.91
2024-01-01 01:00:00,215.42
2024-01-01 02:00:00,215.24
2024-01-01 03:00:00,211.19
2024-01-01 04:00:00,212.53
2024-01-01 05:00:00,212.79
2024-01-01 06:00:00,213.89
2024-01-01 07:00:00,210.51
2024-01-01 08:00:00,208.85
2024-01-01 09:00:00,205.94
2024-01-01 10:00:00,207.62
2024-01-01 11:00:00,211.64
2024-01-01 12:00:00,202.58
2024-01-01 13:00:00,200.64
2024-01-01 14:00:00,208.42
2024-01-01 15:00:00,208.09
2024-01-01 16:00:00,204.84
2024-01-01 17:00:00,206.24
2024-01-01 18:00:00,207.03
2024-01-01 19:00:00,210.42
2024-01-01 20:00:00,208.63
2024-01-01 21:00:00,214.48
2024-01-01 22:00:00,218.27
2024-01-01 23:00:00,213.66
2024-01-02 00:00:00,214.05
2024-01-02 01:00:00,216.62
2024-01-02 02:00:00,212.81
2024-01-02 03:00:00,208.37
2024-01-02 04:00:00,202.14
2024-01-02 05:00:00,211.64
2024-01-02 06:00:00,209.95
2024-01-02 07:00:00,206.48
2024-01-02 08:00:00,205.67
2024-01-02 09:00:00,206.46
2024-01-02 10:00:00,214.3
2024-01-02 11:00:00,209.79
2024-01-02 12:00:00,203.67
2024-01-02 13:00:00,205.64
2024-01-02 14:00:00,204.73
2024-01-02 15:00:00,203.06
2024-01-02 16:00:00,202.13
2024-01-02 17:00:00,200.78
2024-01-02 18:00:00,202.23
2024-01-02 19:00:00,201.46
2024-01-02 20:00:00,200.85
2024-01-02 21:00:00,205.12
2024-01-02 22:00:00,209.44
2024-01-02 23:00:00,207.04
2024-01-03 00:00:00,207.48
2024-01-03 01:00:00,205.71
2024-01-03 02:00:00,199.43
2024-01-03 03:00:00,194.86
2024-01-03 04:00:00,192.5
2024-01-03 05:00:00,195.0
2024-01-03 06:00:00,191.83
2024-01-03 07:00:00,195.03
2024-01-03 08:00:00,202.65
2024-01-03 09:00:00,210.27
2024-01-03 10:00:00,218.19
2024-01-03 11:00:00,219.32
2024-01-03 12:00:00,215.28
2024-01-03 13:00:00,215.41
2024-01-03 14:00:00,216.76
2024-01-03 15:00:00,215.29
2024-01-03 16:00:00,218.27
2024-01-03 17:00:00,216.64
2024-01-03 18:00:00,213.04
2024-01-03 19:00:00,214.8
2024-01-03 20:00:00,217.17
2024-01-03 21:00:00,218.75
2024-01-03 22:00:00,222.02
2024-01-03 23:00:00,219.98
2024-01-04 00:00:00,217.79
2024-01-04 01:00:00,216.6
2024-01-04 02:00:00,210.26
2024-01-04 03:00:00,207.75
2024-01-04 04:00:00,214.85
2024-01-04 05:00:00,215.91
2024-01-04 06:00:00,214.52
2024-01-04 07:00:00,211.31
2024-01-04 08:00:00,212.04
2024-01-04 09:00:00,212.13
2024-01-04 10:00:00,213.61
2024-01-04 11:00:00,211.71
2024-01-04 12:00:00,208.0
2024-01-04 13:00:00,207.43
2024-01-04 14:00:00,208.34
2024-01-04 15:00:00,208.55
2024-01-04 16:00:00,210.16
2024-01-04 17:00:00,205.45
2024-01-04 18:00:00,202.54
2024-01-04 19:00:00,204.64
2024-01-04 20:00:00,210.07
2024-01-04 21:00:00,212.55
2024-01-04 22:00:00,217.2
2024-01-04 23:00:00,216.64
2024-01-05 00:00:00,216.87
