Datetime (UTC),Average Carbon Intensity gCO₂eq/kWh (direct)
2024-01-01 00:00:00,398.77
2024-01-01 01:00:00,397.47
2024-01-01 02:00:00,418.435
2024-01-01 03:00:00,406.405
2024-01-01 04:00:00,409.0
2024-01-01 05:00:00,410.51
2024-01-01 06:00:00,411.42999999999995
2024-01-01 07:00:00,410.41999999999996
2024-01-01 08:00:00,406.15999999999997
2024-01-01 09:00:00,407.95500000000004
2024-01-01 10:00:00,311.42
2024-01-01 11:00:00,304.56
2024-01-01 12:00:00,289.315
2024-01-01 13:00:00,291.095
2024-01-01 14:00:00,277.31
2024-01-01 15:00:00,268.59499999999997
2024-01-01 16:00:00,310.305
2024-01-01 17:00:00,342.90999999999997
2024-01-01 18:00:00,340.71500000000003
2024-01-01 19:00:00,345.18
2024-01-01 20:00:00,353.72
2024-01-01 21:00:00,373.78
2024-01-01 22:00:00,362.87
2024-01-01 23:00:00,345.475
2024-01-02 00:00:00,297.18
2024-01-02 01:00:00,375.405
2024-01-02 02:00:00,444.195
2024-01-02 03:00:00,448.93
2024-01-02 04:00:00,454.81
2024-01-02 05:00:00,462.95
2024-01-02 06:00:00,457.54999999999995
2024-01-02 07:00:00,456.53499999999997
2024-01-02 08:00:00,451.02000000000004
2024-01-02 09:00:00,438.47
2024-01-02 10:00:00,205.57000000000002
2024-01-02 11:00:00,183.81
2024-01-02 12:00:00,178.705
2024-01-02 13:00:00,174.735
2024-01-02 14:00:00,169.965
2024-01-02 15:00:00,290.78999999999996
2024-01-02 16:00:00,344.305
2024-01-02 17:00:00,361.78999999999996
2024-01-02 18:00:00,360.705
2024-01-02 19:00:00,355.875
2024-01-02 20:00:00,356.5
2024-01-02 21:00:00,384.83500000000004
2024-01-02 22:00:00,397.385
2024-01-02 23:00:00,198.16
2024-01-03 00:00:00,192.95000000000002
2024-01-03 01:00:00,186.88
2024-01-03 02:00:00,189.96
2024-01-03 03:00:00,472.84
2024-01-03 04:00:00,471.905
2024-01-03 05:00:00,467.96
