Datetime (UTC),Average Carbon Intensity gCO₂eq/kWh (direct)
2024-01-01 00:00:00,445.2533333333334
2024-01-01 01:00:00,434.3183333333333
2024-01-01 02:00:00,429.88333333333327
2024-01-01 03:00:00,427.26666666666665
2024-01-01 04:00:00,429.73
2024-01-01 05:00:00,437.60166666666663
2024-01-01 06:00:00,435.53833333333336
2024-01-01 07:00:00,440.6266666666667
2024-01-01 08:00:00,443.9966666666667
2024-01-01 09:00:00,447.7183333333334
2024-01-01 10:00:00,451.31999999999994
2024-01-01 11:00:00,456.51500000000004
2024-01-01 12:00:00,461.65333333333336
2024-01-01 13:00:00,467.74333333333334
2024-01-01 14:00:00,462.2716666666667
2024-01-01 15:00:00,424.96000000000004
2024-01-01 16:00:00,401.6483333333333
2024-01-01 17:00:00,388.80999999999995
2024-01-01 18:00:00,365.67666666666673
2024-01-01 19:00:00,348.79833333333335
2024-01-01 20:00:00,342.865
2024-01-01 21:00:00,351.97333333333336
2024-01-01 22:00:00,359.5183333333334
2024-01-01 23:00:00,412.2366666666667
2024-01-02 00:00:00,452.14000000000004
2024-01-02 01:00:00,443.2383333333333
2024-01-02 02:00:00,441.90666666666675
2024-01-02 03:00:00,443.2183333333334
2024-01-02 04:00:00,444.32500000000005
2024-01-02 05:00:00,446.81
2024-01-02 06:00:00,449.8533333333333
2024-01-02 07:00:00,454.12833333333333
2024-01-02 08:00:00,446.0833333333333
2024-01-02 09:00:00,440.5216666666667
2024-01-02 10:00:00,441.0083333333334
2024-01-02 11:00:00,442.39000000000004
2024-01-02 12:00:00,445.93499999999995
2024-01-02 13:00:00,448.0
2024-01-02 14:00:00,438.9433333333334
2024-01-02 15:00:00,442.1666666666667
2024-01-02 16:00:00,400.96166666666664
2024-01-02 17:00:00,365.365
2024-01-02 18:00:00,361.215
2024-01-02 19:00:00,358.37999999999994
2024-01-02 20:00:00,352.3433333333333
2024-01-02 21:00:00,357.885
2024-01-02 22:00:00,384.56999999999994
2024-01-02 23:00:00,458.50499999999994
2024-01-03 00:00:00,494.74333333333334
2024-01-03 01:00:00,493.1000000000001
2024-01-03 02:00:00,495.01833333333326
2024-01-03 03:00:00,492.01499999999993
2024-01-03 04:00:00,497.74499999999995
2024-01-03 05:00:00,500.7083333333333
2024-01-03 06:00:00,503.15333333333325
2024-01-03 07:00:00,501.29833333333335
2024-01-03 08:00:00,488.8283333333333
2024-01-03 09:00:00,478.0449999999999
2024-01-03 10:00:00,470.47499999999997
2024-01-03 11:00:00,461.1566666666666
2024-01-03 12:00:00,458.69000000000005
2024-01-03 13:00:00,455.13999999999993
2024-01-03 14:00:00,439.16166666666663
2024-01-03 15:00:00,407.95000000000005
2024-01-03 16:00:00,398.33666666666676
2024-01-03 17:00:00,395.66166666666663
2024-01-03 18:00:00,393.7733333333333
2024-01-03 19:00:00,386.10666666666674
2024-01-03 20:00:00,392.71166666666676
2024-01-03 21:00:00,397.32
2024-01-03 22:00:00,415.05
2024-01-03 23:00:00,445.18
2024-01-04 00:00:00,453.81166666666667
2024-01-04 01:00:00,445.9883333333334
2024-01-04 02:00:00,451.77500000000003
2024-01-04 03:00:00,453.2483333333333
2024-01-04 04:00:00,472.8
2024-01-04 05:00:00,483.9083333333333
2024-01-04 06:00:00,493.34666666666664
2024-01-04 07:00:00,500.3883333333334
2024-01-04 08:00:00,490.1383333333333
2024-01-04 09:00:00,478.4183333333333
2024-01-04 10:00:00,466.44166666666666
2024-01-04 11:00:00,454.57166666666666
2024-01-04 12:00:00,457.295
2024-01-04 13:00:00,454.2799999999999
2024-01-04 14:00:00,456.02
2024-01-04 15:00:00,455.9166666666667
2024-01-04 16:00:00,425.52
2024-01-04 17:00:00,412.93833333333333
2024-01-04 18:00:00,403.1616666666667
2024-01-04 19:00:00,399.935
2024-01-04 20:00:00,378.42
2024-01-04 21:00:00,372.43666666666667
2024-01-04 22:00:00,368.8883333333333
2024-01-04 23:00:00,375.99333333333334
2024-01-05 00:00:00,411.02666666666664
2024-01-05 01:00:00,410.1116666666667
2024-01-05 02:00:00,416.8683333333333
2024-01-05 03:00:00,434.48333333333335
2024-01-05 04:00:00,441.59499999999997
2024-01-05 05:00:00,429.67333333333335
2024-01-05 06:00:00,423.5233333333333
2024-01-05 07:00:00,423.4283333333333
2024-01-05 08:00:00,415.90333333333325
2024-01-05 09:00:00,418.3433333333333
2024-01-05 10:00:00,419.5566666666667
2024-01-05 11:00:00,421.07666666666665
2024-01-05 12:00:00,428.3033333333333
2024-01-05 13:00:00,425.77500000000003
2024-01-05 14:00:00,417.2533333333333
2024-01-05 15:00:00,390.08166666666665
2024-01-05 16:00:00,381.5016666666667
2024-01-05 17:00:00,365.78333333333336
2024-01-05 18:00:00,372.64333333333326
2024-01-05 19:00:00,379.795
2024-01-05 20:00:00,372.05
2024-01-05 21:00:00,360.76500000000004
2024-01-05 22:00:00,369.1766666666667
2024-01-05 23:00:00,410.2049999999999
2024-01-06 00:00:00,434.8300000000001
2024-01-06 01:00:00,433.93
2024-01-06 02:00:00,433.59833333333336
2024-01-06 03:00:00,436.6666666666667
2024-01-06 04:00:00,424.98499999999996
2024-01-06 05:00:00,414.2616666666666
2024-01-06 06:00:00,404.81166666666667
2024-01-06 07:00:00,412.2416666666666
2024-01-06 08:00:00,421.105
2024-01-06 09:00:00,427.59499999999997
2024-01-06 10:00:00,430.72
2024-01-06 11:00:00,439.7466666666666
2024-01-06 12:00:00,455.72
2024-01-06 13:00:00,474.94166666666666
2024-01-06 14:00:00,482.00499999999994
2024-01-06 15:00:00,428.19166666666666
2024-01-06 16:00:00,398.615
2024-01-06 17:00:00,388.21166666666664
2024-01-06 18:00:00,378.77833333333336
2024-01-06 19:00:00,340.53499999999997
2024-01-06 20:00:00,316.9866666666666
2024-01-06 21:00:00,318.67833333333334
