Datetime (UTC),Average Carbon Intensity gCO₂eq/kWh (direct)
2024-01-01 00:00:00,297.0
2024-01-01 01:00:00,289.61
2024-01-01 02:00:00,287.14
2024-01-01 03:00:00,293.14
2024-01-01 04:00:00,298.68
2024-01-01 05:00:00,291.37
2024-01-01 06:00:00,295.06
2024-01-01 07:00:00,294.17
2024-01-01 08:00:00,293.43
2024-01-01 09:00:00,292.87
2024-01-01 10:00:00,286.83
2024-01-01 11:00:00,285.02
2024-01-01 12:00:00,280.31
2024-01-01 13:00:00,278.04
2024-01-01 14:00:00,276.67
2024-01-01 15:00:00,273.61
2024-01-01 16:00:00,276.52
2024-01-01 17:00:00,292.85
2024-01-01 18:00:00,309.25
2024-01-01 19:00:00,310.19
2024-01-01 20:00:00,311.16
2024-01-01 21:00:00,311.8
2024-01-01 22:00:00,305.8
2024-01-01 23:00:00,296.94
2024-01-02 00:00:00,292.03
2024-01-02 01:00:00,292.37
2024-01-02 02:00:00,291.2
2024-01-02 03:00:00,294.35
2024-01-02 04:00:00,297.0
2024-01-02 05:00:00,289.02
2024-01-02 06:00:00,300.88
2024-01-02 07:00:00,305.28
2024-01-02 08:00:00,314.44
2024-01-02 09:00:00,309.8
2024-01-02 10:00:00,304.6
2024-01-02 11:00:00,303.59
2024-01-02 12:00:00,299.2
2024-01-02 13:00:00,297.81
2024-01-02 14:00:00,291.63
2024-01-02 15:00:00,293.72
2024-01-02 16:00:00,291.07
2024-01-02 17:00:00,297.28
2024-01-02 18:00:00,302.75
2024-01-02 19:00:00,302.65
2024-01-02 20:00:00,303.26
2024-01-02 21:00:00,310.26
2024-01-02 22:00:00,311.31
2024-01-02 23:00:00,318.64
2024-01-03 00:00:00,325.5
2024-01-03 01:00:00,328.36
2024-01-03 02:00:00,331.04
2024-01-03 03:00:00,335.77
2024-01-03 04:00:00,343.5
2024-01-03 05:00:00,351.51
2024-01-03 06:00:00,366.54
2024-01-03 07:00:00,373.33
2024-01-03 08:00:00,376.33
2024-01-03 09:00:00,369.84
2024-01-03 10:00:00,361.74
2024-01-03 11:00:00,347.33
2024-01-03 12:00:00,335.05
2024-01-03 13:00:00,338.8
2024-01-03 14:00:00,345.64
2024-01-03 15:00:00,350.17
2024-01-03 16:00:00,362.44
2024-01-03 17:00:00,368.85
2024-01-03 18:00:00,375.91
2024-01-03 19:00:00,376.47
2024-01-03 20:00:00,376.49
2024-01-03 21:00:00,372.42
2024-01-03 22:00:00,367.73
2024-01-03 23:00:00,361.34
2024-01-04 00:00:00,352.96
2024-01-04 01:00:00,352.69
2024-01-04 02:00:00,353.35
2024-01-04 03:00:00,362.1
2024-01-04 04:00:00,365.84
2024-01-04 05:00:00,367.94
2024-01-04 06:00:00,358.52
2024-01-04 07:00:00,355.24
2024-01-04 08:00:00,354.84
2024-01-04 09:00:00,349.24
2024-01-04 10:00:00,346.22
2024-01-04 11:00:00,341.51
2024-01-04 12:00:00,343.05
2024-01-04 13:00:00,342.35
2024-01-04 14:00:00,344.24
2024-01-04 15:00:00,349.75
2024-01-04 16:00:00,358.47
2024-01-04 17:00:00,369.02
2024-01-04 18:00:00,372.24
2024-01-04 19:00:00,374.68
2024-01-04 20:00:00,374.51
2024-01-04 21:00:00,373.4
2024-01-04 22:00:00,370.31
2024-01-04 23:00:00,348.51
2024-01-05 00:00:00,338.96
2024-01-05 01:00:00,340.95
2024-01-05 02:00:00,343.47
2024-01-05 03:00:00,353.25
2024-01-05 04:00:00,359.8
2024-01-05 05:00:00,368.04
2024-01-05 06:00:00,371.62
2024-01-05 07:00:00,373.12
2024-01-05 08:00:00,373.7
2024-01-05 09:00:00,370.68
2024-01-05 10:00:00,370.94
2024-01-05 11:00:00,364.3
2024-01-05 12:00:00,352.85
2024-01-05 13:00:00,343.84
2024-01-05 14:00:00,340.74
2024-01-05 15:00:00,338.35
2024-01-05 16:00:00,338.49
2024-01-05 17:00:00,341.1
2024-01-05 18:00:00,339.76
2024-01-05 19:00:00,343.51
2024-01-05 20:00:00,338.55
2024-01-05 21:00:00,336.54
2024-01-05 22:00:00,345.98
2024-01-05 23:00:00,345.35
2024-01-06 00:00:00,346.0
2024-01-06 01:00:00,350.87
2024-01-06 02:00:00,346.62
2024-01-06 03:00:00,351.21
2024-01-06 04:00:00,352.13
2024-01-06 05:00:00,350.97
2024-01-06 06:00:00,356.16
2024-01-06 07:00:00,351.18
2024-01-06 08:00:00,350.87
2024-01-06 09:00:00,351.4
2024-01-06 10:00:00,352.63
2024-01-06 11:00:00,350.61
2024-01-06 12:00:00,341.34
2024-01-06 13:00:00,340.6
2024-01-06 14:00:00,330.27
2024-01-06 15:00:00,325.1
2024-01-06 16:00:00,325.13
2024-01-06 17:00:00,319.06
2024-01-06 18:00:00,321.19
2024-01-06 19:00:00,345.66
2024-01-06 20:00:00,363.89
2024-01-06 21:00:00,363.25
2024-01-06 22:00:00,355.48
2024-01-06 23:00:00,351.85
2024-01-07 00:00:00,352.71
2024-01-07 01:00:00,352.61
2024-01-07 02:00:00,360.38
2024-01-07 03:00:00,362.65
2024-01-07 04:00:00,358.06
2024-01-07 05:00:00,342.97
2024-01-07 06:00:00,334.29
2024-01-07 07:00:00,341.78
2024-01-07 08:00:00,336.75
2024-01-07 09:00:00,337.87
2024-01-07 10:00:00,347.77
2024-01-07 11:00:00,363.39
2024-01-07 12:00:00,369.27
2024-01-07 13:00:00,360.4
2024-01-07 14:00:00,351.24
2024-01-07 15:00:00,346.11
2024-01-07 16:00:00,344.48
2024-01-07 17:00:00,348.05
2024-01-07 18:00:00,350.76
2024-01-07 19:00:00,352.69
2024-01-07 20:00:00,350.29
2024-01-07 21:00:00,344.77
2024-01-07 22:00:00,343.22
2024-01-07 23:00:00,338.83
2024-01-08 00:00:00,340.11
2024-01-08 01:00:00,339.88
2024-01-08 02:00:00,334.32
2024-01-08 03:00:00,337.44
2024-01-08 04:00:00,345.41
2024-01-08 05:00:00,345.24
2024-01-08 06:00:00,351.53
2024-01-08 07:00:00,358.14
2024-01-08 08:00:00,353.23
2024-01-08 09:00:00,350.33
2024-01-08 10:00:00,348.01
2024-01-08 11:00:00,336.65
2024-01-08 12:00:00,332.88
2024-01-08 13:00:00,337.66
2024-01-08 14:00:00,341.25
2024-01-08 15:00:00,334.98
2024-01-08 16:00:00,337.25
2024-01-08 17:00:00,329.21
2024-01-08 18:00:00,320.53
2024-01-08 19:00:00,322.86
2024-01-08 20:00:00,323.37
2024-01-08 21:00:00,329.26
2024-01-08 22:00:00,336.81
2024-01-08 23:00:00,342.45
2024-01-09 00:00:00,343.48
2024-01-09 01:00:00,341.69
2024-01-09 02:00:00,349.98
2024-01-09 03:00:00,348.78
2024-01-09 04:00:00,351.35
2024-01-09 05:00:00,329.63
2024-01-09 06:00:00,323.73
2024-01-09 07:00:00,331.66
2024-01-09 08:00:00,333.71
2024-01-09 09:00:00,333.08
2024-01-09 10:00:00,335.19
2024-01-09 11:00:00,336.86
2024-01-09 12:00:00,352.18
2024-01-09 13:00:00,354.82
2024-01-09 14:00:00,354.33
2024-01-09 15:00:00,349.1
2024-01-09 16:00:00,343.9
2024-01-09 17:00:00,345.92
2024-01-09 18:00:00,345.05
2024-01-09 19:00:00,337.05
2024-01-09 20:00:00,328.65
2024-01-09 21:00:00,330.51
2024-01-09 22:00:00,329.41
2024-01-09 23:00:00,317.68
2024-01-10 00:00:00,312.2
2024-01-10 01:00:00,312.34
2024-01-10 02:00:00,305.1
2024-01-10 03:00:00,297.73
2024-01-10 04:00:00,297.41
2024-01-10 05:00:00,296.16
2024-01-10 06:00:00,303.4
2024-01-10 07:00:00,305.95
2024-01-10 08:00:00,308.29
2024-01-10 09:00:00,308.0
2024-01-10 10:00:00,309.41
2024-01-10 11:00:00,312.29
2024-01-10 12:00:00,308.26
2024-01-10 13:00:00,304.24
2024-01-10 14:00:00,314.61
2024-01-10 15:00:00,321.13
2024-01-10 16:00:00,320.01
2024-01-10 17:00:00,326.01
2024-01-10 18:00:00,334.36
2024-01-10 19:00:00,351.43
2024-01-10 20:00:00,357.15
2024-01-10 21:00:00,357.16
2024-01-10 22:00:00,359.32
2024-01-10 23:00:00,344.04
2024-01-11 00:00:00,335.73
2024-01-11 01:00:00,339.68
2024-01-11 02:00:00,343.46
2024-01-11 03:00:00,345.46
2024-01-11 04:00:00,357.42
2024-01-11 05:00:00,352.31
2024-01-11 06:00:00,352.18
2024-01-11 07:00:00,349.88
2024-01-11 08:00:00,350.59
2024-01-11 09:00:00,350.45
2024-01-11 10:00:00,345.79
2024-01-11 11:00:00,349.22
2024-01-11 12:00:00,337.18
2024-01-11 13:00:00,334.76
2024-01-11 14:00:00,338.75
2024-01-11 15:00:00,328.13
2024-01-11 16:00:00,310.45
2024-01-11 17:00:00,313.28
2024-01-11 18:00:00,319.55
2024-01-11 19:00:00,330.05
2024-01-11 20:00:00,337.55
2024-01-11 21:00:00,343.78
2024-01-11 22:00:00,342.42
2024-01-11 23:00:00,334.24
2024-01-12 00:00:00,333.6
2024-01-12 01:00:00,335.41
2024-01-12 02:00:00,328.59
2024-01-12 03:00:00,324.85
2024-01-12 04:00:00,316.22
2024-01-12 05:00:00,322.45
2024-01-12 06:00:00,327.18
2024-01-12 07:00:00,333.03
2024-01-12 08:00:00,333.47
2024-01-12 09:00:00,332.05
2024-01-12 10:00:00,336.51
2024-01-12 11:00:00,337.54
2024-01-12 12:00:00,323.11
2024-01-12 13:00:00,310.56
2024-01-12 14:00:00,304.79
2024-01-12 15:00:00,301.79
2024-01-12 16:00:00,299.74
2024-01-12 17:00:00,304.98
2024-01-12 18:00:00,307.74
2024-01-12 19:00:00,305.56
2024-01-12 20:00:00,299.62
2024-01-12 21:00:00,299.53
2024-01-12 22:00:00,298.69
2024-01-12 23:00:00,288.11
2024-01-13 00:00:00,283.92
2024-01-13 01:00:00,281.27
2024-01-13 02:00:00,276.73
2024-01-13 03:00:00,278.38
2024-01-13 04:00:00,282.02
2024-01-13 05:00:00,287.16
2024-01-13 06:00:00,296.07
2024-01-13 07:00:00,302.5
2024-01-13 08:00:00,301.62
2024-01-13 09:00:00,303.18
2024-01-13 10:00:00,302.56
2024-01-13 11:00:00,298.11
2024-01-13 12:00:00,295.65
2024-01-13 13:00:00,307.85
